OID_,GISJOIN,REGION
0,G06000104001001,Bay Area
1,G06000104002001,Bay Area
2,G06000104002002,Bay Area
3,G06000104003001,Bay Area
4,G06000104003002,Bay Area
5,G06000104003003,Bay Area
6,G06000104003004,Bay Area
7,G06000104004001,Bay Area
8,G06000104004002,Bay Area
9,G06000104004003,Bay Area
10,G06000104005001,Bay Area
11,G06000104005002,Bay Area
12,G06000104005003,Bay Area
13,G06000104006001,Bay Area
14,G06000104006002,Bay Area
15,G06000104007001,Bay Area
16,G06000104007002,Bay Area
17,G06000104007003,Bay Area
18,G06000104007004,Bay Area
19,G06000104008001,Bay Area
20,G06000104008002,Bay Area
21,G06000104008003,Bay Area
22,G06000104009001,Bay Area
23,G06000104009002,Bay Area
24,G06000104010001,Bay Area
25,G06000104010002,Bay Area
26,G06000104010003,Bay Area
27,G06000104010004,Bay Area
28,G06000104010005,Bay Area
29,G06000104010006,Bay Area
30,G06000104011001,Bay Area
31,G06000104011002,Bay Area
32,G06000104011003,Bay Area
33,G06000104011004,Bay Area
34,G06000104012001,Bay Area
35,G06000104012002,Bay Area
36,G06000104012003,Bay Area
37,G06000104013001,Bay Area
38,G06000104013002,Bay Area
39,G06000104013003,Bay Area
40,G06000104014001,Bay Area
41,G06000104014002,Bay Area
42,G06000104014003,Bay Area
43,G06000104015001,Bay Area
44,G06000104015002,Bay Area
45,G06000104015003,Bay Area
46,G06000104016001,Bay Area
47,G06000104016002,Bay Area
48,G06000104017001,Bay Area
49,G06000104017002,Bay Area
50,G06000104017003,Bay Area
51,G06000104018001,Bay Area
52,G06000104018002,Bay Area
53,G06000104022001,Bay Area
54,G06000104022002,Bay Area
55,G06000104022003,Bay Area
56,G06000104024001,Bay Area
57,G06000104024002,Bay Area
58,G06000104025001,Bay Area
59,G06000104025002,Bay Area
60,G06000104026001,Bay Area
61,G06000104027001,Bay Area
62,G06000104027002,Bay Area
63,G06000104028001,Bay Area
64,G06000104028002,Bay Area
65,G06000104029001,Bay Area
66,G06000104030001,Bay Area
67,G06000104030002,Bay Area
68,G06000104031001,Bay Area
69,G06000104033001,Bay Area
70,G06000104033002,Bay Area
71,G06000104034001,Bay Area
72,G06000104034002,Bay Area
73,G06000104034003,Bay Area
74,G06000104034004,Bay Area
75,G06000104035011,Bay Area
76,G06000104035012,Bay Area
77,G06000104035013,Bay Area
78,G06000104035021,Bay Area
79,G06000104035022,Bay Area
80,G06000104036001,Bay Area
81,G06000104036002,Bay Area
82,G06000104036003,Bay Area
83,G06000104037011,Bay Area
84,G06000104037012,Bay Area
85,G06000104037021,Bay Area
86,G06000104037022,Bay Area
87,G06000104038001,Bay Area
88,G06000104038002,Bay Area
89,G06000104038003,Bay Area
90,G06000104038004,Bay Area
91,G06000104039001,Bay Area
92,G06000104039002,Bay Area
93,G06000104039003,Bay Area
94,G06000104040001,Bay Area
95,G06000104040002,Bay Area
96,G06000104041011,Bay Area
97,G06000104041012,Bay Area
98,G06000104041021,Bay Area
99,G06000104041022,Bay Area
100,G06000104042001,Bay Area
101,G06000104042002,Bay Area
102,G06000104042003,Bay Area
103,G06000104043001,Bay Area
104,G06000104043002,Bay Area
105,G06000104043003,Bay Area
106,G06000104044001,Bay Area
107,G06000104044002,Bay Area
108,G06000104044003,Bay Area
109,G06000104045011,Bay Area
110,G06000104045021,Bay Area
111,G06000104045022,Bay Area
112,G06000104045023,Bay Area
113,G06000104045024,Bay Area
114,G06000104046001,Bay Area
115,G06000104046002,Bay Area
116,G06000104046003,Bay Area
117,G06000104046004,Bay Area
118,G06000104047001,Bay Area
119,G06000104047002,Bay Area
120,G06000104048001,Bay Area
121,G06000104048002,Bay Area
122,G06000104049001,Bay Area
123,G06000104049002,Bay Area
124,G06000104049003,Bay Area
125,G06000104049004,Bay Area
126,G06000104050001,Bay Area
127,G06000104050002,Bay Area
128,G06000104050003,Bay Area
129,G06000104051001,Bay Area
130,G06000104051002,Bay Area
131,G06000104051003,Bay Area
132,G06000104051004,Bay Area
133,G06000104051005,Bay Area
134,G06000104052001,Bay Area
135,G06000104052002,Bay Area
136,G06000104052003,Bay Area
137,G06000104052004,Bay Area
138,G06000104053011,Bay Area
139,G06000104053012,Bay Area
140,G06000104053021,Bay Area
141,G06000104053022,Bay Area
142,G06000104054011,Bay Area
143,G06000104054012,Bay Area
144,G06000104054013,Bay Area
145,G06000104054021,Bay Area
146,G06000104054022,Bay Area
147,G06000104055001,Bay Area
148,G06000104055002,Bay Area
149,G06000104055003,Bay Area
150,G06000104055004,Bay Area
151,G06000104056001,Bay Area
152,G06000104056002,Bay Area
153,G06000104056003,Bay Area
154,G06000104057001,Bay Area
155,G06000104057002,Bay Area
156,G06000104057003,Bay Area
157,G06000104058001,Bay Area
158,G06000104058002,Bay Area
159,G06000104058003,Bay Area
160,G06000104058004,Bay Area
161,G06000104059011,Bay Area
162,G06000104059012,Bay Area
163,G06000104059013,Bay Area
164,G06000104059021,Bay Area
165,G06000104059022,Bay Area
166,G06000104060001,Bay Area
167,G06000104060002,Bay Area
168,G06000104060003,Bay Area
169,G06000104061001,Bay Area
170,G06000104061002,Bay Area
171,G06000104061003,Bay Area
172,G06000104061004,Bay Area
173,G06000104062011,Bay Area
174,G06000104062012,Bay Area
175,G06000104062013,Bay Area
176,G06000104062014,Bay Area
177,G06000104062021,Bay Area
178,G06000104062022,Bay Area
179,G06000104062023,Bay Area
180,G06000104063001,Bay Area
181,G06000104063002,Bay Area
182,G06000104063003,Bay Area
183,G06000104063004,Bay Area
184,G06000104064001,Bay Area
185,G06000104064002,Bay Area
186,G06000104065001,Bay Area
187,G06000104065002,Bay Area
188,G06000104065003,Bay Area
189,G06000104065004,Bay Area
190,G06000104066011,Bay Area
191,G06000104066012,Bay Area
192,G06000104066013,Bay Area
193,G06000104066014,Bay Area
194,G06000104066021,Bay Area
195,G06000104066022,Bay Area
196,G06000104067001,Bay Area
197,G06000104067002,Bay Area
198,G06000104067003,Bay Area
199,G06000104067004,Bay Area
200,G06000104067005,Bay Area
201,G06000104068001,Bay Area
202,G06000104068002,Bay Area
203,G06000104068003,Bay Area
204,G06000104068004,Bay Area
205,G06000104069001,Bay Area
206,G06000104069002,Bay Area
207,G06000104069003,Bay Area
208,G06000104070001,Bay Area
209,G06000104070002,Bay Area
210,G06000104070003,Bay Area
211,G06000104070004,Bay Area
