,GISJOIN,REGION,POP
0,G06000104001001,Bay Area,3120
1,G06000104002001,Bay Area,990
2,G06000104002002,Bay Area,1017
3,G06000104003001,Bay Area,1134
4,G06000104003002,Bay Area,1237
5,G06000104003003,Bay Area,1136
6,G06000104003004,Bay Area,1544
7,G06000104004001,Bay Area,1749
8,G06000104004002,Bay Area,884
9,G06000104004003,Bay Area,1374
10,G06000104005001,Bay Area,2708
11,G06000104005002,Bay Area,833
12,G06000104005003,Bay Area,583
13,G06000104006001,Bay Area,1085
14,G06000104006002,Bay Area,660
15,G06000104007001,Bay Area,1128
16,G06000104007002,Bay Area,1557
17,G06000104007003,Bay Area,1328
18,G06000104007004,Bay Area,1115
19,G06000104008001,Bay Area,1481
20,G06000104008002,Bay Area,1131
21,G06000104008003,Bay Area,1457
22,G06000104009001,Bay Area,1396
23,G06000104009002,Bay Area,1075
24,G06000104010001,Bay Area,899
25,G06000104010002,Bay Area,979
26,G06000104010003,Bay Area,1525
27,G06000104010004,Bay Area,809
28,G06000104010005,Bay Area,1165
29,G06000104010006,Bay Area,756
30,G06000104011001,Bay Area,446
31,G06000104011002,Bay Area,1547
32,G06000104011003,Bay Area,958
33,G06000104011004,Bay Area,1336
34,G06000104012001,Bay Area,1143
35,G06000104012002,Bay Area,700
36,G06000104012003,Bay Area,776
37,G06000104013001,Bay Area,1332
38,G06000104013002,Bay Area,1361
39,G06000104013003,Bay Area,1228
40,G06000104014001,Bay Area,1864
41,G06000104014002,Bay Area,1860
42,G06000104014003,Bay Area,1008
43,G06000104015001,Bay Area,1058
44,G06000104015002,Bay Area,1041
45,G06000104015003,Bay Area,740
46,G06000104016001,Bay Area,1260
47,G06000104016002,Bay Area,1029
48,G06000104017001,Bay Area,935
49,G06000104017002,Bay Area,1998
50,G06000104017003,Bay Area,85
51,G06000104018001,Bay Area,949
52,G06000104018002,Bay Area,852
53,G06000104022001,Bay Area,1161
54,G06000104022002,Bay Area,929
55,G06000104022003,Bay Area,387
56,G06000104024001,Bay Area,1761
57,G06000104024002,Bay Area,1105
58,G06000104025001,Bay Area,1023
59,G06000104025002,Bay Area,758
60,G06000104026001,Bay Area,1243
61,G06000104027001,Bay Area,797
62,G06000104027002,Bay Area,1093
63,G06000104028001,Bay Area,1566
64,G06000104028002,Bay Area,2914
65,G06000104029001,Bay Area,1406
66,G06000104030001,Bay Area,1666
67,G06000104030002,Bay Area,1239
68,G06000104031001,Bay Area,2101
69,G06000104033001,Bay Area,1887
70,G06000104033002,Bay Area,2291
71,G06000104034001,Bay Area,908
72,G06000104034002,Bay Area,1086
73,G06000104034003,Bay Area,1082
74,G06000104034004,Bay Area,1264
75,G06000104035011,Bay Area,1764
76,G06000104035012,Bay Area,2079
77,G06000104035013,Bay Area,649
78,G06000104035021,Bay Area,743
79,G06000104035022,Bay Area,1301
80,G06000104036001,Bay Area,1883
81,G06000104036002,Bay Area,1726
82,G06000104036003,Bay Area,1961
83,G06000104037011,Bay Area,1399
84,G06000104037012,Bay Area,1569
85,G06000104037021,Bay Area,541
86,G06000104037022,Bay Area,1389
87,G06000104038001,Bay Area,419
88,G06000104038002,Bay Area,851
89,G06000104038003,Bay Area,732
90,G06000104038004,Bay Area,1349
91,G06000104039001,Bay Area,1769
92,G06000104039002,Bay Area,832
93,G06000104039003,Bay Area,1450
94,G06000104040001,Bay Area,1654
95,G06000104040002,Bay Area,1241
96,G06000104041011,Bay Area,1202
97,G06000104041012,Bay Area,1815
98,G06000104041021,Bay Area,1598
99,G06000104041022,Bay Area,1055
100,G06000104042001,Bay Area,944
101,G06000104042002,Bay Area,1479
102,G06000104042003,Bay Area,1454
103,G06000104043001,Bay Area,1109
104,G06000104043002,Bay Area,1097
105,G06000104043003,Bay Area,1237
106,G06000104044001,Bay Area,2373
107,G06000104044002,Bay Area,1209
108,G06000104044003,Bay Area,2046
109,G06000104045011,Bay Area,1809
110,G06000104045021,Bay Area,914
111,G06000104045022,Bay Area,1584
112,G06000104045023,Bay Area,1613
113,G06000104045024,Bay Area,1780
114,G06000104046001,Bay Area,1106
115,G06000104046002,Bay Area,757
116,G06000104046003,Bay Area,1341
117,G06000104046004,Bay Area,1421
118,G06000104047001,Bay Area,1103
119,G06000104047002,Bay Area,1034
120,G06000104048001,Bay Area,1162
121,G06000104048002,Bay Area,1485
122,G06000104049001,Bay Area,806
123,G06000104049002,Bay Area,1279
124,G06000104049003,Bay Area,773
125,G06000104049004,Bay Area,1339
126,G06000104050001,Bay Area,850
127,G06000104050002,Bay Area,1341
128,G06000104050003,Bay Area,1203
129,G06000104051001,Bay Area,818
130,G06000104051002,Bay Area,752
