,101154252,102523039,102523042,102524134,102717671,102720223,102746114,103386331,103386332,103386335,104441907,107246811,107254920,107668079,10864077,112192615,112758049,11776665,11779295,118422329,118825227,118825237,118825251,12007024,12007026,12025305,122089656,122089657,124375996,124693854,124842735,124954655,12563891,125686118,128110768,128516367,128575309,129284386,134659129,135668191,135955171,138533981,145086293,148091049,154966452,154966462,155252956,155528401,155531631,157034407,157034611,157172569,170140050,1738284,1738339,1738630,1745416,1752726,185034120,186603373,186603376,186603378,186603445,189326807,189789116,195245479,195247925,195248360,195257367,196329693,199124638,199124646,199894417,202055927,203193334,203290644,203290645,203316809,203316816,204092696,204092699,204197288,204197573,204197574,204197940,204197942,204198144,205501689,206599464,206599465,206599467,206599468,208161491,208176862,208973178,209399838,209734785,2099387,210717799,211503858,214487314,215827733,220367341,220503726,220839211,220839215,220840122,220840123,220840125,221426714,222844194,224890325,225531967,226363714,226365561,226420947,226852756,226852758,226855353,22775119,227756285,228856907,22916692,22942715,22958127,22958176,22961553,22961558,22989041,230197323,230391604,230604912,230605410,230610300,230612046,230612047,230612048,23074364,231662080,232201429,232201433,233066648,233077461,233173242,233703125,233704347,233937591,233937592,235772357,23597202,236493068,23810205,238476902,24221444,24225610,242732941,242743665,24303437,24303469,24303743,24513728,24638973,24638974,246539680,25207153,25338967,25338999,25340322,2595141,2595142,260876196,260895266,265367795,268094933,268094934,268175747,26968878,270240088,27203778,27203843,27203914,27204048,27204114,27204180,27204250,27204523,27209009,27209058,27209089,27209094,27209109,27209305,27209414,27209468,27225724,27226181,27226749,27227246,27227736,27232624,27232740,27232917,27233174,27293332,27293403,27293409,27293425,27293436,27293449,27293459,27293464,27293487,27293521,274608785,275284039,277457140,277463465,27762630,27808403,27828344,278746051,279235237,27946043,27946100,27946155,27946364,27946379,27946480,28004223,28004379,28004451,28004607,28004644,28004809,28004810,28004871,28005196,28006024,28113846,28293990,28376124,284646126,285328949,285594249,286003491,286003500,28671562,28671563,28671566,28673511,286961510,28773522,28773527,28779808,28843523,28861405,28861587,28861634,288996927,28922004,28968812,28969541,291410727,291934082,293614930,297119132,297190486,297190488,297190632,297311582,297312336,297782025,297782971,298442827,298448800,2991272,2991275,30010910,301425030,304755227,305960940,305960943,308163454,308184300,308184302,308194193,308527502,308695433,309031101,30909403,30910549,30910550,30910551,30910552,310190142,310320436,310320451,310343940,310586843,310901754,310901759,311006347,311699922,312023664,312882020,312882024,312889730,312889732,313290864,313350513,313350516,313350518,313502696,313593336,313774495,314026642,314683371,315372386,315405573,315532967,315551698,315559541,315574337,315706729,315706875,31722830,317368,31804519,31804539,318127797,319348283,319475467,32829570,329251260,334466890,334626228,336954670,339654220,345641606,346413950,34667649,347986753,348756169,348756170,348819781,348819788,348819789,348819790,349295674,349306142,349308594,349311586,349316160,349336610,349338591,349340425,349340498,349627863,349646430,349647581,349649806,349650335,349650442,35577836,355803146,35602477,356814724,356814726,361625477,361625826,361627377,361628304,363532968,363532969,36811248,369011575,36976077,36977219,36978222,36978623,36979325,36979428,36979430,36979722,37127439,372782926,372839965,373176550,373176557,37326169,37584756,376427450,376599077,376600554,37751677,37784252,37784271,37784278,37784279,382136774,382345477,382346296,382350400,382351521,383936196,384162497,38738862,388152882,388956990,389095579,389095580,389095581,38915558,38915602,38915607,38916650,389967091,390262478,390269430,390271193,391111228,39159601,392017852,39245165,39245355,39259623,39259994,39260091,39260124,39260131,39260276,395161000,395161002,397125289,397125316,39812039,398849848,398872606,398872612,398886769,399158623,399751108,400024172,400024174,400203203,400277094,400536209,401098506,40218482,40223286,40223530,40255525,40255529,40255534,40255537,40255541,40300761,40301572,403124167,40316453,403574704,403578769,403918296,404588385,404589154,40476352,40476366,40479838,405132472,407800032,407832611,4083050,4115471,412109090,412280921,413470998,414717587,416692599,416745748,41871652,419357597,419357602,42989617,42989621,42991416,43001974,43002046,430285893,43075604,43075605,431330555,431580180,43160734,43255308,432716160,43292195,43292207,433769471,437240428,43919815,43919816,43919846,43919847,43919850,43919891,43968117,43985470,43985780,44032539,44032719,44032725,44033002,44033003,44033008,44040166,446773009,446773010,44770550,44770554,447802155,447803484,451472144,451777798,451777804,451777808,45285127,45303398,45303399,455631057,460494875,460842820,461512477,462266622,463573502,463573517,463788611,464108843,464457431,464921954,465431624,465610234,465897982,466046556,466172299,466208730,466290218,467189178,467707976,468559665,468826325,470382436,470796041,471283205,473029495,473154118,473154199,473154541,473174477,473175247,473175833,473175869,473407590,473407593,473836614,473836727,473837042,473837169,473838582,47389510,47389511,47390130,475126698,475143248,475303625,475331878,475900673,476174384,477272996,477323741,477325103,477526235,477590666,478114061,478543195,479030247,479137283,484542797,485724361,492902543,517122090,517724756,52199696,52380678,52380707,52391545,52391566,53293096,5406935,5406936,54123022,544075075,544075080,544075083,544102009,544302980,544302987,544303050,544695951,54582535,546980831,548270018,548298619,548485518,548485524,55066138,551921780,555344749,555344750,556187236,556198207,580153625,580859649,589494326,593879876,595240698,595240924,60117887,605916614,6068529,609062498,610373298,610373302,62354237,626329583,627363761,627698276,6320066,649813012,650287584,650287591,650287592,650287593,650560998,651210464,651217099,66218613,666575394,677593569,677593572,678597112,6827544,6849383,68675196,687893493,687918943,688078398,688078399,688084065,6882803,69020458,69020512,69020906,690868523,69502453,695638926,699276678,69963281,699693691,699693695,700474942,700762792,701006900,70215040,70267340,707542973,71089287,73978282,73979746,767924567,772268351,780653815,781357753,7923533,79292881,79292896,79292897,79293253,79430607,81458139,823961879,824734791,825084384,825084471,826209199,836908456,84728673,8731344,879097443,880811657,8812309,881763300,881783192,883599295,89182131,89533739,89782118,911134555,91234879,918959740,919024933,91964820,91968099,93172678,93173018,93173065,93173527,93173607,93173975,933529564,936210329,936210330,936210331,936459680,9387379,953854559,953858217,959886162,971466957
G06000104001001,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,1.31,,2.01,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,0.73,0.36,0.7,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104002002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,0.07,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104003001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,0.31,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,0.08,0.68,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104003002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104003003,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104003004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,0.65,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104004001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06000104004002,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,0.57,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
