,393297931,393299987,396812465,490106239,490106260,596289075,596297182,627404816,662180761,883059873,883059885,883070299,895116834,947925000,947925247
G06000500001011,,26.64,,,26.6,,,11.38,19.74,19.64,19.53,19.82,22.84,20.27,20.22
G06000500001012,,29.15,,,29.25,,,11.74,20.1,20.0,19.89,20.18,29.58,21.34,21.29
G06000500001013,,25.62,,,25.72,,,8.21,16.57,16.47,16.36,16.65,26.05,17.81,17.76
G06000500001014,,27.1,,,27.2,,,9.69,18.05,17.95,17.84,18.13,27.53,19.29,19.24
G06000500001021,,,,,,48.31,48.11,30.17,38.53,38.43,38.31,38.6,42.34,39.77,39.71
G06000500001022,,25.94,,,26.04,,,8.53,16.89,16.79,16.68,16.97,26.37,18.13,18.08
G06000500002001,,,,,,15.76,15.56,19.69,16.8,16.72,16.52,16.88,9.79,15.92,15.87
G06000500002002,,15.19,,,15.15,,,12.62,9.7,9.62,9.41,9.77,13.92,8.82,8.76
G06000500002003,,,,,,23.25,23.05,11.01,19.37,19.27,19.16,19.44,17.28,19.62,19.57
G06000500002004,,19.87,,,19.84,,,17.91,18.22,18.15,17.94,18.3,14.06,17.34,17.29
G06000500002005,8.28,8.24,8.21,8.2,8.2,7.79,7.59,,,,,,1.68,10.02,9.97
G06000500003011,12.04,12.0,11.97,11.96,11.96,7.12,6.92,,,,,,3.26,14.97,14.91
G06000500003012,8.46,8.42,8.32,8.38,8.39,7.93,7.73,,,,,,6.68,17.74,17.69
G06000500003031,5.5,5.46,5.43,5.42,5.42,,,,9.14,,8.86,9.22,,8.26,8.21
G06000500003032,2.95,2.97,2.68,2.87,2.87,13.06,12.86,,,,,,10.75,13.08,13.03
G06000500003041,4.73,4.46,5.02,4.65,4.56,,,,11.35,,10.91,11.43,,10.29,10.24
G06000500003042,7.49,7.22,7.78,7.41,7.32,,,,,14.7,14.5,15.02,,13.88,13.83
G06000500004011,,16.49,,,16.59,,,2.98,7.6,7.89,7.78,7.68,16.92,9.23,9.18
G06000500004012,,10.88,,11.07,10.98,,,9.01,0.54,0.88,0.99,0.62,,2.53,2.48
G06000500004013,,11.62,,,11.59,,,11.35,5.77,5.69,5.48,5.84,10.69,4.89,4.83
G06000500004014,,10.89,,,10.98,,,7.58,3.24,3.58,3.69,3.32,11.31,3.94,3.89
G06000500004021,,20.71,,,20.81,,,3.3,11.66,11.56,11.45,11.73,21.14,12.9,12.85
G06000500004022,,19.46,,,19.56,,,2.05,10.41,10.31,10.2,10.48,19.89,11.65,11.6
G06000500004023,,16.84,,,16.94,,,4.91,7.11,7.0,6.89,7.18,17.27,8.34,8.29
G06000500004024,,18.5,,,18.6,,,1.8,8.12,8.02,7.91,8.19,19.32,9.36,9.31
G06000500005001,,14.2,,14.39,14.3,,,6.31,3.82,3.72,3.61,3.9,,5.06,5.01
G06000500005002,,14.49,,14.68,14.59,,,8.01,4.38,4.08,3.93,4.46,,5.35,5.3
G06000500005003,14.6,14.33,,14.52,14.43,,,,4.24,3.94,3.8,4.32,,5.19,5.14
