,12243174,127243699,139962217,184198433,186727461,259158442,269429649,28551317,285842331,301850353,302144588,302144591,460975283,460976026,461041054,474290885,474290894,474290895,474425441,474529272,474576147,475915316,475915317,539691268,544413576,545148263,546499677,577823410,595179956,602152529,602166925,657363284,673806745,744792459,84968563,84969018,85064987,85243499,85308860,85318806,85450504,85465037,85465948,85631934,951425104
G06000700001021,1.05,2.23,,,,,,2.18,,,,,,,1.27,,,,,,,,,,,,,,1.62,,,,,,1.83,0.98,2.34,2.83,,,,,,0.49,
G06000700001022,0.9,2.39,,,,,,2.34,,,,,,,1.43,,,,,,,,,,,,,,1.68,,,,,,1.89,0.83,2.19,2.99,,,,,,0.55,
G06000700001023,0.49,,,,,,,2.86,,2.71,,,,,1.93,,,,,,,,,,,,,,2.38,,,,,,2.6,0.34,1.27,3.17,,,,,,1.25,
G06000700001031,0.59,,,,,,,3.34,,3.58,,,,,2.42,,,,,,,,,,,,,,1.64,,,,,,1.92,0.96,2.14,3.72,,,,,,1.32,
G06000700001041,1.54,,,,3.39,,,2.57,,,,,,,2.23,,,,,,,,,,,,,,0.61,,,,,,0.89,1.73,3.09,3.89,,,,,,0.76,
G06000700001042,1.71,,,,3.24,,,3.04,,,,,,,2.68,,,,,,,,,,,,,,0.57,,,,,,0.83,2.08,3.29,4.24,,,,,,1.13,
G06000700001043,1.52,2.51,,,,,,2.26,,,,,,,1.9,,,,,,,,,,,,,,1.3,,,,,,1.51,1.45,2.81,3.46,,,,,,0.67,
G06000700002011,2.45,,,,2.25,,,3.09,,,,,,,2.75,,,,,,,,,,,,,,0.89,,,,,,0.25,2.76,4.12,4.46,,,,,,1.85,
G06000700002012,3.96,,,,1.78,,,3.61,,,,,,,3.74,,,,,,,,,,,4.49,,,2.4,,,,,,1.76,4.15,5.52,,,,,,,3.36,
G06000700002013,3.25,3.49,,,1.59,,,3.24,,,,,,,3.24,,,,,,,,,,,,,,1.69,,,,,,1.05,3.34,4.7,,,,,,,2.56,
G06000700002014,2.76,2.85,,,2.2,,,2.6,,,,,,,2.6,,,,,,,,,,,,,,1.28,,,,,,0.87,2.7,4.06,,,,,,,1.92,
G06000700002021,2.03,,,,3.26,,,2.3,,,,,,,1.96,,,,,,,,,,,,,,0.76,,,,,,0.96,1.97,3.33,3.67,,,,,,1.19,
G06000700002022,2.24,,,,2.88,,,2.91,,,,,,,2.57,,,,,,,,,,,,,,0.6,,,,,,0.39,2.58,3.83,4.28,,,,,,1.66,
G06000700002023,2.66,,,,2.8,,,2.56,,,,,,,2.49,,,,,,,,,,,,,,1.2,,,,,,0.79,2.59,3.95,4.02,,,,,,1.8,
G06000700002024,2.34,2.39,,,2.93,,,2.14,,,,,,,2.07,,,,,,,,,,,,,,1.55,,,,,,1.31,2.27,3.63,,,,,,,1.49,
G06000700003001,2.87,1.45,,,,,,1.2,2.14,,,,1.64,,1.56,,,,,,,,,,,,,,2.15,,,,,,2.1,2.79,,,,,,,,2.01,
G06000700003002,3.65,,,,1.04,,,2.88,,,,,,,3.09,,,,,,,,,,,3.75,,,2.09,,,,,,1.45,3.62,4.98,,,,,,,2.83,
G06000700003003,3.04,2.16,,,2.14,,,1.92,2.86,,,,,,2.48,,,,,,,,,,,,,,1.56,,,,,,1.15,2.98,,,,,,,,2.2,
G06000700003004,2.42,1.85,,,,,,1.6,2.55,,,,,,1.82,,,,,,,,,,,2.48,,,1.62,,,,,,1.39,2.35,,,,,,,,1.56,
G06000700004011,4.88,,,,1.35,,,3.86,4.81,,,,,,4.32,,,,,,,,,,,4.74,,,3.32,,,,,,2.68,4.84,,,,,,,,4.06,
G06000700004021,4.19,,,,1.49,,,2.97,3.92,,,,,,3.53,,,,,,,,,,,3.85,,,2.79,,,,,,2.15,4.12,,,,,,,,3.33,
G06000700004022,,2.54,,,,,2.92,2.18,2.64,,,,2.75,,2.93,,,,,,,,,,,1.62,2.92,,,,,,,,2.6,,,,,,,,,2.9,
G06000700004023,,2.23,,,,,,1.98,2.78,,,,2.42,,2.54,,,,,,,,,,,2.31,,,2.15,,,,,,1.74,3.13,,,,,,,,2.35,
