,108190875,125604047,165777788,218125927,218128677,222561756,222663712,222663729,222663878,222688249,222695820,222773078,234742172,235418414,235418415,305787026,462636875,474267770,563066733,568436932,574636695,588194784,588608887,588991125,588991126,59777298,60822851,656616830,694801922,749936906,893435570,921532269,921543958,921912624,922786999,922787000
G06001700302001,2.07,,,,,0.79,1.93,2.05,1.92,1.32,2.45,,,,,,,0.46,,,,,,,,,1.42,,,,0.32,,,,,
G06001700302002,2.5,,,,,1.15,2.35,2.48,2.34,1.41,1.95,,,,,,,0.96,,,,,,,,,1.85,,,,0.18,,,,,
G06001700302003,2.3,,,,,1.05,2.16,2.28,2.15,,2.23,4.95,,,,,,0.69,,,,,,,,,1.65,,,,0.75,,,,,
G06001700302004,1.72,,,,,0.47,1.57,1.69,1.56,1.04,2.12,,,,,,,0.1,,,,,,,,,1.06,,,,0.67,,,,,
G06001700302005,1.33,,,,,0.13,1.19,1.31,1.18,0.44,1.84,,,,,,,0.5,,,,,,,,,0.68,,,,1.24,,,,,
G06001700303011,1.06,,,,,,1.23,1.32,1.21,,1.73,1.97,2.33,,2.03,,,2.67,,,,,,,,,,,,,3.05,,,,,
G06001700303012,1.01,,,,,2.47,1.17,1.26,1.16,,1.67,1.96,,,,,,2.62,,,,,,,,,1.66,,,,3.33,,,,,
G06001700303013,1.34,,,,,,1.5,1.6,1.49,,2.0,1.69,2.05,,2.3,,,2.95,,,,,,,,,,,,,3.32,,,,,
G06001700303021,1.32,,,,,2.78,1.48,1.57,1.47,,1.98,2.02,,,,,,2.93,,,,,,,,,1.97,,,,3.64,,,,,
G06001700303022,0.92,,,,,2.02,0.79,1.03,0.8,2.33,2.05,,,,,,,2.17,,,,,,,,,1.21,,,,2.95,,,,,
G06001700303023,0.38,,,,,1.68,0.36,0.49,0.37,1.99,1.51,,,,,,,1.82,,,,,,,,,0.87,,,,2.6,,,,,
G06001700303024,0.72,,,,,1.42,0.59,0.83,0.6,1.73,1.85,,,,,,,1.57,,,,,,,,,0.61,,,,2.35,,,,,
G06001700304011,3.6,,,,,5.06,3.76,3.85,3.75,,4.26,1.42,,,,,,5.21,,,,,,,,,4.25,,,,5.92,,,,,
G06001700304012,3.12,,,,,,3.28,3.37,3.27,,3.78,0.94,1.73,,,,,4.73,,,,,,,,,3.77,,,,5.45,,,,,
G06001700304013,2.53,,,,,,2.69,2.79,2.68,,3.2,0.5,1.94,,,,,4.14,,,,,,,,,3.18,,,,4.86,,,,,
G06001700304014,2.33,,,,,,2.49,2.58,2.48,,2.99,0.95,1.13,,3.66,,,3.94,,,,,,,,,,,,,4.65,,,,,
G06001700304015,3.0,,,,,,3.16,3.26,3.15,,3.66,1.62,0.93,,4.33,,,4.61,,,,,,,,,,,,,5.33,,,,,
G06001700304021,3.49,,,,,,3.65,3.75,3.64,,4.16,2.3,0.75,,4.83,,,5.1,,,,,,,,,,,,,5.82,,,,,
G06001700304022,3.04,,,,,,3.2,3.29,3.19,,3.7,2.08,1.38,,4.37,,,4.65,,,,,,,,,,,,,5.36,,,,,
G06001700304023,2.94,,,,,,3.11,3.2,3.1,,3.61,1.77,0.31,,4.28,,,4.55,,,,,,,,,,,,,5.27,,,,,
G06001700304024,2.54,,,,,,2.7,2.79,2.69,,3.2,1.58,0.48,,3.87,,,4.15,,,,,,,,,,,,,4.86,,,,,
G06001700304025,3.67,,,,,,3.83,3.93,3.82,,4.34,2.72,1.39,4.27,5.01,,,,,,,,,,,,,,,,6.0,,,,,
G06001700305021,7.11,,,,,,7.27,7.37,,,7.78,6.16,4.83,2.98,7.32,,,,,,,,,,,9.85,,,,,9.27,,,,,
G06001700305022,5.4,,,,,,5.57,5.66,5.56,,6.07,4.45,3.12,4.22,6.74,,,,,,,,,,,,,,,,7.73,,,,,
G06001700305023,6.57,,,,,,6.74,6.83,,,7.23,5.62,4.78,0.0,5.2,,,,,,,,,,,9.96,,,,,7.15,,,,,
G06001700305041,3.76,,,,,,3.92,4.01,3.91,,3.07,4.87,5.23,,1.04,,,3.72,,,,,,,,,,,,,2.99,,,,,
G06001700305042,3.01,,,,,,3.17,3.27,3.16,,2.32,4.13,4.49,,1.15,,,2.97,,,,,,,,,,,,,2.24,,,,,
G06001700305043,5.13,,,,,,5.29,5.39,5.28,,5.8,4.18,3.33,1.67,4.3,,,,,,,,,,,,,,,,6.25,,,,,
G06001700305051,12.15,,,,,,12.31,12.4,,,12.46,11.19,10.35,6.17,10.43,,,,,,,,,,,13.52,,,,,12.38,,,,,
G06001700305052,5.67,,,,,,5.83,5.93,5.82,,6.12,4.72,3.87,1.45,4.08,,,,,,,,,,,,,,,,6.04,,,,,
G06001700305053,10.82,,,,,,,11.08,,,10.15,9.87,9.03,5.99,8.12,,,10.8,,,,,,,,15.09,,,,,10.07,,,,,
G06001700306011,,,22.33,,,,,,,,,,,,,22.87,20.2,,,23.91,22.92,21.49,19.59,,,,,,,19.66,,,25.17,26.74,,
G06001700306012,,,18.82,16.32,21.37,,,,,,,,,,,18.97,14.77,,,20.97,19.98,16.06,14.16,,,,,,,14.23,,,,,,
G06001700306021,77.15,,26.11,,,,77.31,,77.3,,,76.2,75.35,,,27.42,,,,27.69,26.7,,,,,,77.8,,,,,,,,,
G06001700306022,,,18.82,,,,,,,,,,,,,20.13,28.42,,,20.4,19.41,,27.81,,,,,,,27.88,,23.36,22.37,23.91,,
G06001700306023,,,22.27,,,,,,,,,,,,,22.91,22.55,,,23.85,22.86,,21.94,,,,,,,22.01,,26.8,25.21,26.78,,
G06001700306024,,,13.02,,,,,,,,,,,,,13.18,23.15,,,15.17,14.18,,22.3,,,,,,,21.32,,18.12,15.48,17.05,,
G06001700306025,,,7.94,,,,,,,,,,,,,9.25,23.37,,,9.53,8.54,,22.52,,,,,,,21.54,,12.48,11.49,13.03,,
G06001700306031,,,17.34,,,,,,,,,,,,,18.65,28.72,,,18.92,17.93,,27.87,,,,,,,26.89,,21.88,20.89,22.43,,
G06001700306032,,,12.17,,,,,,,,,,,,,13.48,27.69,,,13.75,12.76,,26.83,,,,,,,25.85,,16.7,15.72,17.25,,
G06001700306033,,,17.9,,,,,,,,,,,,,19.01,35.96,,,16.49,16.53,,35.1,,,,,,,34.12,,21.61,20.63,22.16,,
G06001700306034,46.64,,,,,,46.8,46.9,46.79,,46.96,45.69,44.84,40.59,44.93,,,,,,,,,,,30.99,,,,,,,,,,
G06001700307011,,,,5.38,10.42,,,,,,,,,,,,1.31,,,,,4.78,2.91,9.25,9.25,,,6.41,,3.28,,,,,,9.99
G06001700307012,,,,5.66,10.71,,,,,,,,,,,,4.11,,,,,5.4,3.5,9.53,9.53,,,7.03,,3.57,,,,,,10.28
G06001700307041,,,,9.21,10.1,,,,,,,,,,,,,,9.38,,,9.17,,10.69,10.69,,,8.62,10.01,,,,,,10.0,10.01
G06001700307042,,,,3.78,6.24,,,,,,,,,,,,,,,,,3.73,5.75,5.26,5.26,,,3.18,5.92,,,,,,5.95,5.82
G06001700307061,,,,2.01,6.95,,,,,,,,,,,,3.63,,,,,0.37,2.27,5.97,5.97,,,2.08,,3.31,,,,,,6.53
G06001700307062,,,,3.56,8.51,,,,,,,,,,,,3.36,,,,,1.92,2.23,7.52,7.52,,,3.64,,3.28,,,,,,8.08
G06001700307091,,,,3.08,6.53,,,,,,,,,,,,3.87,,,,,3.18,2.82,5.36,5.36,,,4.81,,3.01,,,,,,6.1
G06001700307092,,,,2.6,7.85,,,,,,,,,,,,1.77,,,,,1.98,0.4,6.86,6.86,,,3.61,,1.43,,,,,,7.43
G06001700307101,,,,1.13,6.38,,,,,,,,,,,,,,,,,1.22,2.28,5.39,5.39,,,2.47,6.06,3.2,,,,,,5.95
G06001700307102,,,,3.58,4.97,,,,,,,,,,,,,,,,,4.12,3.76,3.79,3.79,,,5.24,,3.96,,,,,4.67,4.54
G06001700307103,,,,2.82,5.79,,,,,,,,,,,,4.44,,,,,3.75,3.38,4.62,4.62,,,4.49,,3.58,,,,,,5.37
G06001700308011,,,,8.37,6.66,,,,,,,,,,,,8.92,,,,,,8.07,7.35,7.35,,,,6.89,7.09,,,,,6.56,6.69
G06001700308012,,,,7.71,7.64,,,,,,,,,,,,6.67,,,,,7.72,5.82,7.96,7.96,,,,,4.84,,,,,7.54,7.67
G06001700308031,,,,6.87,3.65,,,,,,,,,,,,,,4.99,,,8.52,,4.68,4.68,,,,3.88,5.93,,,,,3.55,3.68
G06001700308032,,,,8.88,6.55,,,,,,,,,,,,,,5.16,,,,,7.58,7.58,,,,6.78,7.61,,,,10.0,6.45,6.58
G06001700308033,,,,8.75,4.9,,,,,,,,,,,,,,3.37,,,10.41,,5.93,5.93,,,,5.13,,,,,8.22,4.8,4.93
G06001700308041,,,,7.17,3.35,,,,,,,,,,,,,,3.75,,,8.78,,4.23,4.23,,,8.23,3.26,,,,,,3.25,3.27
G06001700308042,,,,9.88,6.16,,,,,,,,,,,,,,2.09,,,,,7.08,7.08,,,,6.11,,,,8.34,7.05,6.06,6.12
G06001700308043,,,,10.56,6.84,,,,,,,,,,,,,,3.49,,,,,7.76,7.76,,,,6.79,,,,8.22,6.93,6.74,6.8
G06001700308071,,,,5.49,0.96,,,,,,,,,,,,,,4.78,,,7.09,,2.1,2.1,,,6.54,1.33,,,,,,0.97,1.1
G06001700308072,,,,4.19,1.71,,,,,,,,,,,,,,6.26,,,5.8,,0.28,0.28,,,5.25,1.39,,,,,,1.41,1.28
G06001700308081,,,,5.05,3.74,,,,,,,,,,,,,,,,,6.7,5.08,4.03,4.03,,,,3.97,4.1,,,,,3.64,3.77
G06001700308082,,,,4.51,4.26,,,,,,,,,,,,,,7.03,,,6.16,,3.49,3.49,,,6.18,4.34,,,,,,4.27,4.24
G06001700308083,,,,5.28,2.77,,,,,,,,,,,,,,5.35,,,6.94,,3.88,3.88,,,,3.08,5.29,,,,,2.75,2.88
G06001700308091,,,,6.64,2.48,,,,,,,,,,,,,,3.48,,,8.24,,3.51,3.51,,,7.69,2.71,,,,,,2.38,2.51
G06001700308092,,,,5.34,1.18,,,,,,,,,,,,,,4.62,,,6.94,,2.21,2.21,,,6.39,1.41,,,,,,1.08,1.21
G06001700308101,,,,5.31,3.46,,,,,,,,,,,,,,,,,6.96,5.67,4.29,4.29,,,,3.69,4.69,,,,,3.36,3.49
G06001700308102,,,,6.03,2.17,,,,,,,,,,,,,,4.36,,,7.68,,3.2,3.2,,,7.39,2.4,,,,,,2.07,2.2
G06001700309011,,,10.54,,,,,,,,,,,,,9.9,16.16,,,12.82,11.78,17.21,15.31,,,,,,,14.33,,,12.21,13.39,,
G06001700309012,,,12.26,12.82,11.35,,,,,,,,,,,11.63,11.78,,,14.54,13.5,12.83,10.93,,,,,,,9.95,,,,,,
G06001700309021,,,7.79,,8.69,,,,,,,,,,,6.62,,,5.74,,8.93,,,,,,,,8.64,,,,7.54,7.45,8.59,8.65
G06001700309022,,,3.64,,10.64,,,,,,,,,,,2.46,,,7.69,5.81,4.77,,,,,,,,,,,6.09,3.12,4.68,10.54,
G06001700309023,,,6.5,,11.45,,,,,,,,,,,5.32,,,8.5,8.67,7.63,,,,,,,,,12.56,,9.22,6.25,7.7,,
G06001700310001,,,0.03,,13.33,,,,,,,,,,,1.92,,,10.38,2.51,1.48,,,,,,,,,,,5.39,4.32,5.89,13.23,
G06001700310002,,,4.05,,,,,,,,,,,,,5.36,18.25,,13.5,6.19,5.21,,,,,,,,,16.42,,9.15,7.76,9.32,,
G06001700310003,,,1.66,,13.28,,,,,,,,,,,1.87,,,10.33,3.94,2.9,,,,,,,,,16.47,,6.8,4.27,5.84,,
G06001700310004,,,2.43,,12.46,,,,,,,,,,,1.25,,,9.51,4.6,3.56,,,,,,,,,,,6.53,3.55,5.12,12.36,
G06001700311001,,15.64,2.35,,14.73,,,,,,,,,,,3.45,,,11.78,1.0,0.97,,,,,,,,,,,6.06,5.08,6.61,,
G06001700311002,,,2.09,,14.63,,,,,,,,,,,3.36,,,11.68,2.33,1.61,,,,,,,,,,,6.07,5.08,6.61,14.53,
G06001700311003,,18.21,4.93,,,,,,,,,,,,,6.03,,,14.36,3.51,3.55,,,,,,,,,21.15,,8.64,7.65,9.19,,
G06001700312001,,14.5,2.77,,15.1,,,,,,,,,,,3.74,,,12.15,3.5,2.44,,,,,,,,,,,3.5,4.91,6.39,,
G06001700312002,,15.86,2.69,,15.04,,,,,,,,,,,3.68,,,12.09,0.83,1.19,,,,,,,,,,,6.28,5.3,6.83,,
G06001700312003,,,1.18,,12.7,,,,,,,,,,,1.14,,,9.75,2.41,1.35,,,,,,,,,,,5.25,3.69,5.26,12.6,
G06001700313011,,22.21,17.5,,,,,,,,,,,,,18.6,,,26.93,15.35,16.17,,,,,,,,,33.72,,19.4,20.27,21.8,,
G06001700313012,,15.19,9.28,,21.66,,,,,,,,,,,10.32,,,18.71,6.77,7.84,,,,,,,,,,,12.38,11.94,13.47,,
G06001700313013,,15.56,7.06,,19.44,,,,,,,,,,,8.16,,,16.49,5.13,5.72,,,,,,,,,,,9.89,9.83,11.36,,
G06001700313021,,19.77,15.23,,,,,,,,,,,,,16.33,,,24.66,13.08,13.89,,,,,30.59,,,,,,16.96,18.0,19.53,,
G06001700313022,,18.12,13.57,,25.96,,,,,,,,,,,14.68,,,23.0,11.42,12.24,,,,,,,,,,,15.31,16.34,17.88,,
G06001700313023,,18.26,13.71,,,,,,,,,,,,,14.82,,,23.15,11.56,12.38,,,,,30.61,,,,,,15.45,16.48,18.02,,
G06001700314021,,9.26,16.41,,,,,,,,,,,,,17.39,,,19.54,15.99,15.19,,,,,,,,,,,11.38,14.65,14.43,22.79,
G06001700314022,,4.85,18.38,,,,,,,,,,,,,19.37,,,24.11,17.96,17.16,,,,,,,,,,,13.35,16.62,18.1,27.36,
G06001700314023,,22.12,29.92,,,,,,,,,,,,,30.91,,,35.65,29.5,28.7,,,,,43.92,,,,,,24.89,28.16,29.64,,
G06001700314024,,15.76,29.3,,,,,,,,,,,,,30.28,,,35.02,28.87,28.07,,,,,,,,,,,24.27,27.54,29.02,38.28,
G06001700314041,,12.25,7.39,,19.77,,,,,,,,,,,8.43,,,16.82,5.47,5.95,,,,,,,,,,,8.33,10.06,11.59,,
G06001700314042,,10.28,13.12,,,,,,,,,,,,,14.16,,,19.58,11.19,11.68,,,,,,,,,,,8.82,12.09,13.57,22.83,
G06001700314051,,14.68,15.36,,25.99,,,,,,,,,,,16.4,,,22.63,13.44,13.92,,,,,,,,,,,11.87,15.14,16.62,,
G06001700314061,,17.39,19.33,,29.96,,,,,,,,,,,20.38,,,26.6,17.41,17.9,,,,,,,,,,,15.85,19.12,20.6,,
G06001700314062,,14.85,16.79,,27.41,,,,,,,,,,,17.83,,,24.06,14.87,15.35,,,,,,,,,,,13.3,16.57,18.05,,
G06001700314063,,13.85,17.45,,27.27,,,,,,,,,,,18.5,,,23.91,15.53,16.02,,,,,,,,,,,13.16,16.43,17.91,,
G06001700314064,,17.9,16.7,,,,,,,,,,,,,17.81,,,26.13,14.55,15.37,,,,,27.85,,,,,,15.37,18.65,20.12,,
G06001700315021,,,4.77,,10.44,,,,,,,,,,,3.5,,,7.09,6.02,4.98,,,,,,,,,,,4.52,1.48,1.53,10.34,
G06001700315022,,12.98,3.44,,14.24,,,,,,,,,,,4.41,,,10.88,4.17,3.11,,,,,,,,,,,1.99,3.39,4.87,,
G06001700315023,,,5.49,,9.76,,,,,,,,,,,4.28,,,6.4,6.79,5.76,,,,,,,,,,,6.38,3.34,2.39,9.66,
G06001700315031,,19.69,9.59,,12.74,,,,,,,,,,,8.33,,,9.39,,9.42,,,,,,,,,,,8.52,5.72,4.29,12.64,
G06001700315032,,,,,8.37,,,,,,,,,,,,,,5.02,,,,,9.3,9.3,,,,8.33,,,11.41,8.61,7.32,8.27,8.33
G06001700315041,,15.61,5.66,,,,,,,,,,,,,5.21,,,8.55,6.39,5.33,,,,,,,,,,,4.44,1.96,2.54,11.8,
G06001700315042,,12.86,7.65,,,,,,,,,,,,,8.45,,,12.98,8.38,7.32,,,,,,,,,,,2.22,5.49,6.97,16.24,
G06001700315043,,12.66,8.0,,,,,,,,,,,,,8.8,,,13.34,8.73,7.68,,,,,,,,,,,2.58,5.85,7.33,16.59,
G06001700315044,,14.92,4.97,,,,,,,,,,,,,4.52,,,8.02,5.7,4.64,,,,,,,,,,,3.75,1.27,2.01,11.28,
G06001700316001,3.61,,,,,2.18,3.46,3.59,3.45,1.84,3.74,,,,,,,2.35,,,,,,,,,2.96,,,,1.8,,,,,
G06001700316002,2.86,,,,,1.43,2.72,2.84,2.71,1.46,2.95,,,,,,,1.58,,,,,,,,,2.21,,,,1.01,,,,,
G06001700316003,2.82,,,,,1.62,2.68,2.8,2.67,1.05,3.33,,,,,,,1.99,,,,,,,,,2.17,,,,2.23,,,,,
G06001700316004,1.77,,,,,0.57,1.63,1.75,1.62,0.0,2.28,,,,,,,0.94,,,,,,,,,1.12,,,,1.41,,,,,
