,155215114,161731049,163124312,167724364,183654806,191505220,194080950,195058724,195058725,195058750,195071693,233973761,280435651,292148094,292517475,292517491,292686066,309859463,309859467,310202721,321090873,338950781,348494814,383852930,407806002,407806002,407806002,407806012,407807281,428342517,443634077,454965233,457196946,457810468,457810526,458230796,465507704,465515633,469480285,501867919,503889816,551917738,583721463,609335593,60952483,61101863,61103943,61104660,61104824,61105442,61105489,61106976,61107185,61107357,61147646,61148236,61148797,61149245,61149590,61150014,61150603,61151235,61152171,61153382,61153848,61165212,61167499,61169134,61175112,61180054,61181028,61195502,61208045,61210616,61218440,61246904,61283949,61286455,61290211,61342970,61353208,61364772,613690406,61448941,61464352,61467516,61470708,61474368,61476460,61534588,61539401,61544424,61545000,61545182,61547257,61548528,61548693,61549507,61549673,61549855,61551715,61555570,61571834,61571880,61608496,61611203,61657681,61661465,61665605,61700943,61701041,61705696,61710231,61712416,61712671,61715278,61801265,61801265,61801265,61809584,61809584,61809875,61823587,61827280,61868070,61871253,61871550,61874791,62013577,62016546,62017487,659617349,738094899,761821926,764883692,767384304,800883366,814565569,815953886,832379598,853513832,940625663,9492198,973910495,HD6,HD8
G06001900001001,,,,,0.63,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,2.28,1.68,,,,,,0.52,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,2.21,2.05,,,,,,,
G06001900002001,,,,,1.03,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,1.97,,2.12,2.04,,,,,1.05,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,2.91,,,,,,,
G06001900002002,,,,,1.6,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,2.62,,2.64,,,,,,1.49,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,3.02,,,,,,,
G06001900002003,,,,,1.49,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,,,2.42,,2.58,2.49,,,,,1.5,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,3.36,,,,,,,
G06001900003001,,,,,1.97,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,3.43,3.71,0.4,,,,,,,2.37,,,,,,3.71,,,,,,,,,,,,,,2.26,,,,,,,,,,
G06001900003002,,,,,1.44,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,3.45,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,1.32,2.77,,0.96,,,,,,,,,,,,,3.05,,,,,,,,,,,,,,1.72,,,,,,,,,,
G06001900003003,,,,,1.85,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,3.01,3.29,0.47,,,,,,,2.07,,,,,,3.29,,,,,,,,,,,,,,2.14,,,,,,,,,,
G06001900004001,,,,,2.09,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,2.07,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,1.85,1.86,2.14,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,1.95,,,,,,,,,,
G06001900004002,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,1.67,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.46,1.74,2.84,,2.66,,2.34,,,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,
G06001900004003,,,,,1.55,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,2.4,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,2.02,2.3,1.9,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,1.78,,,,,,,,,,
G06001900004004,,,,,1.67,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,2.3,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,2.65,,1.44,2.09,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,
G06001900005011,,,,,1.71,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1.56,,,1.72,1.68,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,1.21,1.3,,,,,,,
G06001900005012,,,,,1.38,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,1.57,1.93,,,,2.44,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,1.7,1.55,,,,,,,
G06001900005021,,,,,1.0,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,1.6,,,1.6,1.63,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,1.5,1.34,,,,,,,
G06001900005022,,,,,1.04,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,1.13,,,1.85,1.26,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,1.03,0.88,,,,,,,
G06001900005023,,,,,0.79,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,1.38,,,1.67,1.09,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.28,1.12,,,,,,,
G06001900006001,,,,,0.34,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,1.64,,,,1.27,,1.43,1.34,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.21,,,,,,,
G06001900006002,,,,,0.73,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,1.42,,,,0.98,,1.21,1.05,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,1.99,,,,,,,
G06001900006003,,,,,0.27,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,1.43,,0.88,1.51,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,1.78,1.62,,,,,,,
G06001900006004,,,,,0.68,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,1.96,1.37,,,,,,0.45,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,1.89,1.73,,,,,,,
G06001900007001,,,,,3.05,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.09,4.07,,,,,2.93,,,1.67,,,,,,,3.63,,,,,,,,,,,,,,,,,,,,3.34,,,,,,,,,,
G06001900007002,,,,,2.62,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.82,,,,3.37,,3.62,3.44,,,,,2.64,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,
G06001900007003,,,,,2.48,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,,2.37,3.96,,0.93,,,,,,,2.9,,,,,,4.25,,,,,,,,,,,,,,2.77,,,,,,,,,,
G06001900008001,,,,,3.99,,,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,4.28,4.56,2.0,,,,,,,3.09,,,,,,4.57,,,,,,,,,,,,,,4.28,,,,,,,,,,
G06001900009011,,,,,3.05,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,3.25,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.54,2.82,0.85,,,,,,,1.36,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,
G06001900009021,,,,,2.4,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,3.17,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.46,2.74,0.78,,,,,,,1.67,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,
G06001900009022,,,,,2.57,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,3.33,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.62,2.9,0.64,,,,,,,1.44,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,
G06001900009023,,,,,2.58,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,3.41,3.69,0.34,,,,,,,2.33,,,,,,3.69,,,,,,,,,,,,,,2.87,,,,,,,,,,
G06001900010001,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,,,,,,,3.5,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,2.86,1.73,,3.78,,3.88,,,0.35,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,
G06001900010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.85,1.61,,4.77,,4.88,,,1.1,,,,,,3.64,,,,,,,,,,,,,,,,,,,,4.46,,,,
G06001900011001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,2.02,2.4,,2.96,3.38,2.83,,,1.41,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,
G06001900011002,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,2.33,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,1.61,1.89,1.62,,,,2.71,,,2.24,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,
