,147177860,147177867,147177890,207627971,264573794,354190914,423508548,423508549,426411279,44388759,44388762,44388766,44388808,44388899,44388937,44388979,44389025,44389215,44389494,462623815,520162941,583551901,596623657,596677278,596677279,596678804,597047829,597047832,597047835,597047838,597047841,597047843,597047849,597530231,597530232,600876234,601764467,601764468,601787912,601834392,602680103,602680426,603094233,603472554,604039643,604039651,604039655,604039659,604039665,604039667,604039670,604039674,604039829,604756742,604756747,604756984,604756985,604756986,604760621,605352310,605356090,605689466,607116291,607116292,607116300,607116314,607119148,607119158,607164854,610328247,610328248,610328250,631052544,631052546,632245719,632245722,632245723,632245724,7876253,7876318,7876319,820892817,826346605,826346607,826346608,826787855,826787915,826787917,888264702,HD10
G06002500101011,,,,48.69,54.38,,,,,48.2,,,,,,,28.27,,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.12,19.11,19.04,,,,,,,28.16,7.51,
G06002500101021,,,,42.78,48.46,,,,,42.28,,,,,,,28.45,,11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,13.23,13.16,,,,,,,28.34,11.15,
G06002500101022,,,,41.73,47.42,,,,,41.24,,,,,,,21.32,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,12.15,12.08,,,,,,,21.21,8.1,
G06002500101023,,,,41.16,,,,,,40.67,,,,,,,21.23,,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,11.58,11.5,,,,,,21.08,21.12,8.64,
G06002500101024,,,,41.58,47.27,,,,,41.09,,,,,,,21.51,,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,12.0,11.93,,,,,,,21.4,7.71,
G06002500102001,,,,,,,,,,,,,21.2,,,,21.0,,20.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,5.35,5.28,,,,,,21.43,20.87,20.21,25.07
G06002500102002,,,,,,,,,,,,,16.0,,,,15.8,,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.29,0.36,,,,,,16.23,15.67,19.88,19.87
G06002500103001,,,,,,,,,16.66,,,15.9,14.1,,,,13.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.97,11.04,,,,,,13.67,13.71,,12.33
G06002500104001,,,,,,,,,19.45,,,18.56,11.72,,,,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,8.59,8.66,,,,,,11.29,11.33,,11.99
G06002500104002,,,,,,,,,19.6,,,18.71,11.41,,,,11.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.27,8.34,,,,,,10.98,11.02,,12.14
G06002500104003,,,,,,,,,20.0,,,19.11,11.14,,,,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,7.93,8.0,,,,,,10.71,10.75,,12.55
G06002500104004,,,,,,,,,19.68,,,18.79,12.44,,,,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,9.3,9.37,,,,,,12.01,12.05,,12.22
G06002500104005,,,,,,,,,21.0,,,20.11,11.86,,,,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,8.12,8.2,,,,,,11.43,11.47,,13.54
G06002500105001,,,,,,,,,20.95,,,20.06,11.39,,,,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,7.66,7.73,,,,,,10.96,11.0,,13.5
G06002500105002,,,,,,,,,20.24,,,19.35,10.74,,,,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,7.53,7.6,,,,,,10.31,10.35,,12.79
G06002500105003,,,,,,,,,21.1,,,20.21,11.18,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,7.33,7.41,,,,,,10.75,10.79,,13.65
G06002500105004,,,,,,,,,20.95,,,20.06,10.84,,,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,6.89,6.96,,,,,,10.41,10.44,,13.49
G06002500106001,,,,,,,,,20.04,,,19.15,10.23,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,7.17,7.24,,,,,,9.8,9.84,,12.58
G06002500106002,,,,,,,,,19.41,,,18.52,10.25,,,,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,7.75,7.82,,,,,,9.82,9.86,,11.96
G06002500106003,,,,,,,,,20.56,,,19.67,10.29,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,6.64,6.71,,,,,,9.86,9.9,,13.1
G06002500106004,,,,,,,,,20.84,,,19.95,9.44,,,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,7.92,8.0,,,,,,9.01,9.05,,13.38
G06002500107001,,,,,,,,,19.25,,,18.36,10.82,,,,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.98,8.05,,,,,,10.39,10.43,,11.8
G06002500107002,,,,,,,,,18.86,,,17.98,11.24,,,,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,8.38,8.45,,,,,,10.81,10.85,,11.41
G06002500107003,,,,,,,,,18.5,,,17.61,11.02,,,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55,8.72,8.79,,,,,,10.59,10.63,,11.05
G06002500108001,,,,,,,,,2.47,,,3.62,13.51,,,,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,3.24,3.24,2.75,13.29,,,10.8
G06002500108002,,,,,,,,,,,,,,,,,,10.16,,,,,,,10.46,,10.25,10.25,10.18,9.92,10.11,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,,,,,,,,,,,,,10.59,,,,,,,,
G06002500109001,,,,,,,,,1.08,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.69,,,11.81,,12.42,,,,,,,,,,,0.53,0.46,0.46,0.8,,,,8.67
G06002500109002,,,,,,,,,0.18,,,1.33,,,,,,,,,,,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,,13.63,,,,,,,,,,,1.02,0.95,0.95,0.46,,,,9.89
G06002500109003,,,,,,,,,0.36,,,0.8,,,,,,,,,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,13.1,,,,,,,,,,,0.49,0.41,0.41,0.08,,,,9.35
G06002500109004,,,,,,,,,0.74,,,0.42,,,,,,,,,,,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13,,12.73,,,,,,,,,,,0.39,0.47,0.47,0.7,,,,8.99
G06002500109005,,,,,,,,,1.41,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56,12.17,12.17,,,,,,,,,,,0.57,0.64,0.64,1.12,,,,8.37
G06002500109006,,,,,,,,,0.75,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,12.7,12.7,,,,,,,,,,,0.34,0.27,0.27,0.47,,,,8.95
G06002500110001,,,,,,,,,14.23,,,,0.51,,,,0.14,,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.23,3.23,,,,,,,,,,,,,,,0.43,1.03,,5.99
G06002500110002,,,,,,,,,13.91,,,,0.9,,,,0.54,,,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,2.92,2.92,,,,,,,,,,,,,,,0.39,0.71,,5.67
G06002500110003,,,,,,,,,,,,12.98,0.99,,,,1.21,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,2.13,2.13,,,,,,,,,,,,,,,0.78,1.52,,4.9
G06002500110004,,,,,,,,,,,,,0.7,,,,1.07,,,,,,2.35,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.31,2.31,,,,,,,,,,,,,,,0.78,1.81,,5.15
G06002500110005,,,,,,,,,,,,13.59,0.45,,,,0.81,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,3.46,3.46,,,,,,,,,,,,,,,0.95,1.61,,6.23
G06002500110006,,,,,,,,,14.96,,,14.07,2.95,,,,2.62,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.96,,,,,,,,,,,,,,,2.47,2.51,,6.72
