,182325578,231044487,295191080,316103968,316111394,432657123,595696423,596233526,596233542,599142811,599167108,603586837,603586864,604519539,607834095,607834096,608722571,608725098,608725103,616812200,762083105,77857709,785125365,787320164,832060056,832060058,832060059,832282406,832422750,901803773,944963553,944966933,944966935,944966937,963323823,963325561
G06002700001001,,,,11.95,11.71,11.66,12.06,11.76,,11.92,,,12.17,11.95,11.7,11.77,,,,,,,,,,,,,,,,,,,,
G06002700001002,,,,,,,,4.18,,,4.34,,,,,,4.53,,4.26,,,,2.74,4.47,3.33,3.48,,2.51,4.47,,,,,,,
G06002700002001,9.55,,,,,,,,,,,12.25,,,,,12.84,,,,,3.75,11.01,12.78,11.64,11.78,12.25,10.82,,,,,,,,
G06002700002002,14.7,,,,,,14.99,,,,,14.48,15.18,,,,15.06,,,,,,13.39,,14.18,14.01,14.48,14.0,,,,,,,,
G06002700003001,3.64,,,,,,,,,,4.18,3.78,,,,,4.37,,,,,,2.58,4.31,3.17,3.31,3.78,2.35,,,,,,,,
G06002700003002,,,,,,,,,1.92,,,1.41,,,,,2.0,1.86,,,,,1.12,2.16,1.12,0.94,1.41,0.93,,,,,,,,
G06002700004001,,,,,,,,,,,2.39,1.47,,,,,2.05,,,,,,1.17,2.21,0.83,1.0,1.47,0.0,2.21,,,,,,,
G06002700004002,,,,0.45,,,0.35,,0.35,,,0.39,,0.56,,0.63,0.43,0.28,,0.47,,,,,,,0.39,,,,,,,,,
G06002700004003,,,,0.62,0.38,0.33,,0.43,,0.59,,,,0.62,0.37,0.44,,,0.51,0.61,,,,,,,,,,,,,,,,
G06002700004004,,,,0.77,0.68,0.96,0.87,,0.87,0.83,,,0.25,0.87,1.18,,,1.05,,,,,,,,,,,,,,,,,,
G06002700005001,,83.43,,141.18,141.61,141.38,141.29,,141.29,141.25,,,140.95,141.29,,,,141.46,,,,,,,,,,,,,,,,,,
G06002700005002,,,,16.15,16.58,,16.26,,16.26,16.22,,16.55,15.92,16.26,,,,16.44,,,,,,,,,16.55,,,,,,,,,
G06002700008001,,114.59,109.93,,,,,,,,,,,,,,,,,,64.09,,,,,,,,,14.39,94.09,93.97,94.09,94.09,68.43,63.03
G06002700008002,,55.17,32.2,,,,,,,,,,,,,,,,,,189.88,,,,,,,,,130.76,225.1,224.98,225.1,225.1,199.44,188.82
G06002700008003,,2.46,25.42,,,,,,,,,,,,,,,,,,164.81,,,,,,,,,105.69,200.03,199.91,200.03,200.03,174.37,163.76
G06002700008004,,5.71,28.01,,,,,,,,,,,,,,,,,,168.06,,,,,,,,,108.95,203.28,203.16,203.28,203.28,177.63,167.01
