,102657755,102758106,151021085,151111328,151965320,151992254,151992677,155241228,155245388,155245389,156753895,156754139,156754144,156754148,158775100,158785236,163704793,163783522,166482579,167193388,167227570,167294633,167297276,167964052,168300934,168447817,171298735,171298737,171298749,173699001,173699158,174012711,174547751,174651918,175112644,175370317,175370663,175391373,175391414,175391415,175391968,175391969,175502919,175503698,176273441,177402242,177402251,177402330,177433663,177583197,178580838,178881887,178881891,178881894,178881896,178882104,179391860,179391866,179392420,179886063,190752426,191045835,192135079,192151368,221909530,2278012,250079336,251120173,252412869,253553432,253566977,318308949,318789783,330736883,372383650,382334229,44402487,44402499,44402509,44402873,44403479,44403486,44403568,44403576,471492203,472236780,495746451,508164725,52979358,52979430,54627813,54629299,54778169,54853898,54856066,56034780,56036110,56174777,56526508,56527388,56693724,58649065,58887330,58887632,58888716,58889088,58890595,58891584,58983095,59253339,59253440,59254430,59254444,59254817,59254830,59256479,59256584,59256645,59256679,59256894,59258310,59258330,59258394,59259429,59259458,59259508,59259593,59259948,59260588,59261031,59327571,59329425,59434896,59434958,59435382,59436214,59436968,59438763,59439549,59474684,59474830,59475033,59477883,59484843,59485540,59485747,59486210,59486331,59503842,59505473,59516374,59516469,59516767,59517765,59518869,59519332,59520022,59520328,59520607,59521971,59522336,59522452,59522985,59522991,59523542,59523771,59523961,59524309,59524507,59566366,59566632,59568333,59570304,59573487,59573680,59574138,59576191,59591833,59592548,59593411,59593913,59597142,59599175,59599709,59692682,59694533,59695275,59716548,59717334,59726837,59727258,59731296,59732662,59788722,59790573,59791631,59792568,59794512,59794813,59795248,59796441,59798027,59802059,59802188,59802814,59803019,59803045,59807884,59808125,59808710,59808765,59808872,59809892,59811770,59814425,59815346,59815628,59815774,59819374,59819842,59819971,59821019,59823136,59823314,59874056,59874948,59876276,59888679,59889576,59890187,59890232,59892176,59893847,59927066,59927543,59927912,59930190,59933394,59974104,59974623,59975025,59975731,59976058,59979495,59980058,59981222,59981611,60013917,60015333,60015923,60016401,60016578,60017593,60018348,60020134,60020183,60020231,60020715,60021023,60021321,60021989,60023448,60023503,60025256,60028708,60029255,60030325,60030548,60030839,60030856,60030945,60031475,60032082,60032375,60032398,60033571,60033886,60035438,60035717,60036132,60037241,60037451,60051895,60052145,60052974,60053509,60053813,60056334,60056804,60059220,60060107,60060752,60062535,60062545,60063410,60078154,60078523,60078726,60078772,60079091,60079232,60079701,60081063,60081295,60082479,60083614,60084112,60084411,60086452,60086906,60086922,60089324,60089759,60090992,60092463,60092913,60093118,60103628,60166712,60238773,60239137,60240182,60335232,60453104,60507958,60510473,60510600,60511183,60516053,60517281,60519808,60572217,60592619,60606438,60607759,60779936,60787483,60787885,60823494,60861350,60863089,60863090,61331682,616951088,659747714,664771876,667544682,670632497,682033838,693997391,762779461,763991105,788251060,79885711,80278293,80310404,809853224,818009529,82490754,832069942,841066401,841068080,84517127,8523551,888679912,909277580,911211740,911419571,911419572,911419574,911456045,911456052,911456053,911644667,911652714,918372,94875130,99141146,HD7
G06002900001011,,,,,,,,,,,,,,,,,,,,,,0.64,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.73,,,,,0.51,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001012,,,,,,,,,,,,,,,,,,,,,,0.77,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.34,0.91,,,,0.12,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001013,,,,,,,,,,,,,,,,,,,,,,1.09,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.73,1.04,,,,0.29,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001014,,,,,,,,,,,,,,,,,,,,,,2.16,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.79,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001015,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.97,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001021,,,,,,,,,,,,,,,,,,,,,,1.03,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900001022,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,1.2,0.67,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900002001,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,1.15,0.74,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.56,,,,,0.87,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002900002002,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,0.78,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.19,0.81,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
