,292517470,37016858,419119412,44367152,459670141,548037172,673504565,677364177,685033900,700180514,826029157,932275414
G06003900001021,38.43,78.77,43.94,81.97,39.27,81.83,40.22,53.59,43.5,,75.52,
G06003900001022,6.28,43.52,16.49,46.12,11.69,46.57,12.35,17.73,17.33,,39.67,
G06003900001023,5.34,46.28,27.23,48.88,22.43,49.34,23.09,20.5,28.0,,42.43,
G06003900001024,21.85,27.21,31.6,29.82,27.33,30.27,27.47,6.68,32.44,,23.37,
G06003900001031,41.63,71.09,36.26,75.29,31.59,74.15,32.54,50.96,35.82,,68.84,
G06003900001032,22.01,47.71,8.4,52.07,11.37,50.72,12.33,30.75,7.97,,48.62,
G06003900001033,20.44,41.79,4.03,46.16,4.92,44.8,3.21,23.46,4.87,,41.33,
G06003900001034,21.85,40.96,1.66,45.32,8.04,43.97,6.34,26.58,1.22,,44.45,
G06003900001041,16.86,39.19,6.77,43.39,1.97,42.25,2.63,19.07,7.61,,36.94,
G06003900001042,14.95,41.94,8.11,46.14,3.32,45.0,3.98,21.82,8.95,,39.69,
G06003900001043,14.34,43.25,9.42,47.45,4.62,46.31,5.28,23.12,10.26,,41.0,
G06003900001044,15.71,44.55,10.72,48.75,5.92,47.6,6.58,24.42,11.56,,42.29,
G06003900001061,24.54,28.13,22.1,32.5,17.83,31.18,17.97,9.37,22.95,,27.25,
G06003900001062,24.63,23.81,22.6,28.17,18.33,26.86,18.47,9.46,23.44,,26.38,
G06003900001081,21.16,35.55,10.48,39.75,6.21,38.6,6.35,15.42,11.33,,33.29,
G06003900001082,16.62,32.67,19.78,35.28,15.51,35.73,15.64,6.89,20.62,,28.82,
G06003900001083,25.01,31.49,15.52,35.86,11.25,34.55,11.38,12.99,16.36,,30.87,
G06003900001091,,23.73,15.57,28.1,20.21,26.74,18.51,18.8,16.42,,28.44,28.39
G06003900001092,30.01,14.29,27.14,18.66,26.49,17.35,26.62,14.84,27.99,,16.87,
G06003900002011,,13.87,38.91,18.08,,12.82,41.84,32.6,39.75,11.65,24.79,8.88
G06003900002012,,11.94,42.59,15.93,,11.16,45.52,36.28,43.43,8.99,22.57,6.86
G06003900002021,,19.64,46.98,23.63,,18.87,49.91,40.67,47.82,2.02,30.27,3.16
G06003900002022,,20.65,51.93,24.64,,19.87,54.86,45.52,52.77,4.39,31.28,8.27
G06003900002023,,16.04,47.32,20.03,,15.27,50.26,40.91,48.17,6.05,26.67,6.31
G06003900002024,,22.51,48.38,26.5,,21.73,51.31,42.78,49.22,10.17,33.14,5.95
G06003900003001,,17.28,44.95,21.27,,16.51,47.88,38.63,45.79,3.67,27.92,1.13
G06003900003002,,16.38,44.98,20.37,,15.6,47.91,38.67,45.82,5.34,27.01,1.29
G06003900003003,,17.66,44.3,21.65,,16.89,47.23,37.98,45.14,3.89,28.3,0.48
G06003900003004,,17.95,44.69,21.94,,17.18,47.62,38.37,45.53,4.03,28.58,0.74
G06003900003005,,17.79,44.37,21.78,,17.01,47.3,38.06,45.21,4.23,28.42,0.41
G06003900003006,,17.95,44.97,21.94,,17.17,47.9,38.65,45.81,3.81,28.58,1.15
G06003900003007,,17.5,44.08,21.49,,16.73,47.02,37.77,44.93,4.63,28.13,0.41
G06003900004001,,21.55,56.22,25.54,,20.54,59.15,46.42,57.06,9.43,32.18,13.32
G06003900004002,,17.39,56.38,17.89,,14.93,58.01,42.86,57.23,15.33,24.34,17.37
G06003900005021,,1.59,40.64,4.59,,2.51,42.27,27.11,41.48,18.42,11.23,17.27
G06003900005022,,3.25,42.25,5.04,,3.4,43.88,28.73,43.09,19.81,12.1,18.67
G06003900005023,,2.94,42.24,3.39,,4.61,43.87,28.72,43.08,20.16,10.46,19.01
G06003900005024,,1.48,40.79,4.4,,2.93,42.42,27.27,41.63,18.71,11.13,17.56
G06003900005031,,4.42,43.4,7.17,,1.95,45.03,29.88,44.25,18.5,14.23,17.35
G06003900005032,,4.93,40.99,8.92,,3.53,43.92,29.8,41.83,15.25,15.56,14.1
G06003900005033,,8.98,45.87,12.63,,6.89,48.81,33.86,46.72,14.05,19.28,13.67
G06003900005061,,8.25,37.6,12.45,,7.19,40.53,31.29,38.44,13.23,19.16,11.94
G06003900005062,,4.24,39.57,8.44,,3.18,42.5,28.97,40.42,15.13,15.15,13.98
G06003900005063,,5.23,37.98,9.43,,4.61,40.92,29.94,38.83,16.49,16.13,15.34
G06003900005071,,3.49,38.76,7.71,,3.68,41.7,28.09,39.61,16.14,14.28,14.99
G06003900005072,,11.87,29.84,16.24,,14.88,32.77,23.53,30.68,22.35,22.37,21.05
G06003900005073,,6.72,33.99,11.14,,8.47,36.93,27.68,34.84,15.79,17.51,14.49
G06003900005074,,4.89,36.73,9.31,,5.92,39.67,29.48,37.58,16.7,15.67,15.55
G06003900005081,,4.93,37.82,9.3,37.17,7.98,37.3,21.91,,22.53,11.52,21.38
G06003900005082,,2.72,41.59,2.46,43.09,5.53,43.22,27.61,,20.79,9.6,19.65
G06003900005083,36.84,9.27,,6.8,38.27,12.78,38.4,21.67,,27.33,2.25,26.19
G06003900005091,30.87,12.25,,12.79,32.3,15.76,32.43,15.7,,30.31,6.25,29.16
G06003900005092,37.1,11.52,,7.21,38.53,13.7,38.66,21.93,,29.06,0.0,27.91
G06003900005093,36.54,12.47,,8.38,37.96,14.86,38.1,21.37,,30.23,1.17,29.08
G06003900006021,,1.35,39.19,5.76,,3.34,41.11,25.96,40.03,17.72,12.15,16.57
G06003900006022,,1.43,39.52,5.77,,2.98,41.36,26.21,40.36,17.36,12.4,16.21
G06003900006023,,1.78,39.94,5.98,,2.5,41.78,26.63,40.79,16.88,12.76,15.74
G06003900006031,,2.0,38.62,6.37,,4.23,41.46,26.31,39.46,18.45,12.51,17.3
G06003900006032,,1.71,38.84,6.13,,3.7,41.44,26.29,39.69,17.92,12.49,16.77
G06003900006041,,2.23,39.86,6.43,,2.82,42.11,26.96,40.7,17.14,13.15,15.99
G06003900006042,,1.96,39.09,6.38,,3.58,41.72,26.57,39.94,17.64,12.76,16.5
G06003900007001,,1.99,40.84,5.59,,1.8,42.46,27.31,41.68,17.95,12.23,16.81
