,10722424,112866304,115430800,115430810,116926232,117963084,152680449,232584696,239211800,242770597,242770774,242772924,245275952,249373466,255397616,277774885,284443132,284443133,284443134,284443135,284602470,296951895,299617668,299618101,305655273,340702709,340703886,35378405,356319615,356386946,358992704,35923823,35969560,396057347,401547871,401547875,403559120,414049371,424639605,445259803,499506191,499506193,506809097,506809098,530135853,544099484,544282028,544724112,547595905,549965170,569161696,579985470,585783266,585783267,629196683,629196684,629310381,629323566,629380672,629380697,629793547,630097528,630097529,652090480,652090515,652096041,652473885,655475550,655482401,655482424,655488176,655488192,655488218,655488236,655543081,655724805,659781410,659826798,659852283,659852297,659857929,659984693,659984709,659998657,659998664,659999802,660010962,691148839,7858747,804739824,840703309,858358894,858358895,865485285,866522030,866714891,867561355,875864819,895991428,896082911,899650894,900054909,900613120,900888958,901105462,939438945,939438946,939438947,939444154,958547113,969912660,970134648,970187976,970223089,970223090,970223091,970223092,970223093,970223094,970672380,975033907,975103993
G06004101011001,,,,,,,,,,,,,,,,,,,,,,3.73,,,,,,,,,,,4.01,,,,,,,,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,4.81,3.6,3.71,4.15,4.14,5.75,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101012001,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,3.32,,,,,,,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,3.02,3.46,3.59,5.19,5.52,,,,,,,,,,,,,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101021001,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,3.64,3.23,,,,,,,,,,,,3.48,,,,,3.87,,,,,,,,,,,,,,,,,,4.0,4.03,2.82,2.93,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101021002,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,0.99,2.82,,,,,,,,,,,,2.37,,,,,1.22,,,,,,,,,,,,,,,,,,1.34,2.52,3.82,3.93,,,,,,,,,,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022021,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,2.32,0.72,,,,,,,,,,,,1.05,,,,,2.0,,,,,,,,,,,,,,,,,,,1.6,1.34,1.46,1.9,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022022,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,1.65,0.88,,,,,,,,,,,,0.83,,,,,1.78,,,,,,,,,,,,,,,,,,2.0,1.39,1.91,2.02,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022023,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,1.0,2.16,,,,,,,,,,,,1.71,,,,,1.05,,,,,,,,,,,,,,,,,,1.35,1.86,3.16,3.27,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022024,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,0.95,1.89,,,,,,,,,,,,1.44,,,,,1.0,,,,,,,,,,,,,,,,,,1.3,1.59,2.89,3.0,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022025,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,0.31,2.1,,,,,,,,,,,,1.65,,,,,0.53,,,,,,,,,,,,,,,,,,0.66,1.8,3.1,3.21,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022031,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,2.96,1.39,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,2.27,1.22,1.33,1.77,2.04,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022032,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,1.36,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.94,1.06,1.5,1.73,3.23,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101022033,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,2.02,1.9,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.2,2.31,2.75,2.9,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
