,130503947,131640755,131640977,153309100,154617571,196029542,239947392,28614009,28616328,28616333,28616784,28616791,28616799,31442770,343590278,343590281,387044581,41230822,462012765,462012770,462012780,462012781,535079712,538122166,541503579,60429424,616826318,616826319,626680369,628085614,628085617,654553398,654555502,673727667,683264115,711498727,721488936,722649609,722653940,724455928,760893459,866132003,866132881,868496534,868503345,868761284,8715080,942753165
G06004500101001,,,,,46.33,53.57,,,,,,,,,,,,,,,,,31.82,32.05,32.31,45.87,,,,,,7.56,8.13,,,,,,,,,,46.24,,46.64,,,
G06004500101002,,,,,41.83,49.07,,,,,,,,70.03,,,,,,,,,27.32,27.55,27.81,41.37,,,,,,2.28,2.85,,,,,,,,,,,,42.14,,,
G06004500101003,,,,,39.24,46.48,,,,,,,,,,,,,,,,,24.74,24.96,25.22,38.78,,,,,,2.84,3.4,,,,,,,,,,39.16,,39.55,,,
G06004500102001,50.41,,,,,26.65,,,,,,,,50.53,,,,,,,,,7.82,8.05,8.31,,,,,,,33.11,33.68,,51.29,,51.65,,,,,,,,,,,
G06004500102002,43.57,,,,,0.53,,,,,,,,43.69,,,,,,,,,22.21,22.44,22.7,,,,,,,47.5,48.07,,44.45,,44.81,,,,,,,,,,,
G06004500102003,40.78,,,,,16.9,,,,,,,,40.9,,,,,,,,,36.01,36.43,35.83,,,,,,,61.61,62.18,,41.66,,42.02,,,,,,,,,,,
G06004500102004,33.97,,,,,32.56,,,,,,,,34.09,,,,,,,,,12.93,13.35,12.75,,,,,,,38.53,39.1,,34.85,,35.21,,,,,,,,,,,
G06004500102005,42.54,,,,,24.51,,,,,,,,42.66,,,,,,,,,2.45,2.87,2.26,,,,,,,28.05,28.62,,43.42,,43.78,,,,,,,,,,,
G06004500103001,4.55,,,,39.98,,,,,,,,,4.67,,,,,,,,,,,,40.03,,,,,,,,,5.44,,5.8,,,,,39.71,39.78,39.71,39.95,,,
G06004500103002,7.05,,,,36.27,,,,,,,,,8.49,,,,,,,,,,,,36.26,,,,,,,,,6.52,,6.13,,,,,36.12,36.18,36.82,36.58,,,
G06004500103003,2.72,,,,38.15,,,,,,,,,2.84,,,,,,,,,,,,38.2,,,,,,,,,3.61,,3.97,,,,,37.88,37.94,37.88,38.12,,,
G06004500103004,3.23,,,,37.17,,,,,,,,,4.66,,,,,,,,,,,,37.16,,,,,,,,,2.69,,2.3,,,,,37.02,37.09,37.72,37.48,,,
G06004500104001,0.54,,,,35.96,,,,,,,,,1.35,,,,,,,,,,,,36.0,,,,,,,,,1.42,,1.78,,,,,35.69,35.75,35.68,35.92,,,
G06004500104002,1.86,,,,37.29,,,,,,,,,1.17,,,,,,,,,,,,37.33,,,,,,,,,2.75,,3.11,,,,,37.02,37.08,37.02,37.26,,,
G06004500104003,0.23,,,,35.48,,,,,,,,,1.39,,,,,,,,,,,,35.52,,,,,,,,,0.94,,1.3,,,,,35.21,35.27,35.2,35.44,,,
G06004500104004,1.09,,,,36.18,,,,,,,,,2.53,,,,,,,,,,,,36.22,,,,,,,,,0.81,,0.43,,,,,35.91,35.97,35.91,36.14,,,
G06004500105001,0.59,,,,35.11,,5.07,,,,,,,1.89,,,,,,,,,,,,35.16,,,,,,,,,0.44,,0.81,,,,,34.84,34.91,34.84,,,,
G06004500105002,0.78,,,,35.62,,5.57,,,,,,,2.22,,,,,,,,,,,,35.66,,,,,,,,,0.25,,0.46,,,,,35.35,35.41,35.35,,,,
G06004500105003,1.35,,,,35.76,,5.72,,,,,,,2.78,,,,,,,,,,,,35.81,,,,,,,,,0.57,,0.1,,,,,35.49,35.56,35.49,,,,
G06004500105004,2.2,,,,34.25,,4.2,,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,1.87,,2.27,,,,33.46,33.98,34.04,33.97,,,,
G06004500106001,46.06,,,,10.77,,,,,,,,,47.22,,,,,,,,,,,,10.31,,,,,,,,,,,46.12,,,,11.69,10.62,10.69,11.32,11.08,,,
G06004500106002,,,,,5.9,,,,,,,,,39.64,,,,,,,,,,,,5.89,,,,,,,,,37.67,,37.29,,,,6.82,5.76,5.82,6.45,6.21,,,
G06004500106003,,,,,2.44,,,,,,,,,,,,,,,,,,,,,2.48,9.58,9.83,,,,,,,,3.69,,,,,3.01,2.17,2.23,2.64,1.71,,,
G06004500106004,,,,,4.04,,37.84,,,,,,,,,,,,,,,,,,,,10.8,11.05,,,,,,,,1.91,,,,,3.51,3.77,3.83,4.09,3.91,,,
G06004500107001,,,,,1.61,,,,,,,,,,,,,,,,,,,,,1.15,11.78,12.03,,,,,,,,3.39,,,,,2.52,1.46,1.52,2.16,1.92,,,
G06004500107002,,,,,2.44,,,,,,,,,,,,,,,,,,,,,2.43,12.61,12.86,,,,,,,,4.22,,,,,3.36,2.29,2.35,2.99,2.75,,,
G06004500107003,,,,,0.63,,,,,,,,,,,,,,,,,,,,,0.67,10.46,10.7,,,,,,,,2.06,,,,,0.94,0.36,0.42,0.52,0.59,,,
G06004500107004,,,,,0.89,,,,,,,,,,,,,,,,,,,,,0.93,10.34,10.59,,,,,,,,1.8,,,,,0.45,0.62,0.68,0.77,0.85,,,
G06004500107005,,,,,1.6,,,,,,,,,,,,,,,,,,,,,1.65,10.03,10.28,,,,,,,,1.5,,,,,0.27,1.33,1.4,1.33,1.57,,,
G06004500107006,,,,,1.63,,,,,,,,,,,,,,,,,,,,,1.67,9.65,9.9,,,,,,,,1.11,,,,,0.9,1.36,1.42,1.68,1.51,,,
G06004500107007,,,,,1.84,,,,,,,,,,,,,,,,,,,,,1.88,8.91,9.16,,,,,,,,0.57,,,,,1.31,1.57,1.63,1.89,1.71,,,
G06004500108011,,49.66,49.13,,,,47.96,,,,,,,,49.5,49.42,49.26,,,,,,,,,,3.42,3.62,,,,,,,,12.31,,,,,13.62,,,,,,,
G06004500108012,,51.06,50.52,,,,49.35,,,,,,,,50.9,50.82,50.66,,,,,,,,,,5.29,5.49,,,,,,,,13.71,,,9.21,,,,,,,,,
G06004500108013,,55.42,54.79,,,,56.74,12.53,,,,,,,55.24,55.16,55.02,,,,,,,,,,14.9,15.1,,,,,,,,,,,11.47,,,,,,,,,
G06004500108014,,50.76,50.23,,,,49.06,8.34,7.96,,,,,,50.6,50.52,50.36,,,,,,,,,,,,,,,,,,,,,,7.29,7.68,,,,,,,,
G06004500108021,,,,,23.9,,,,,,,,,,,,,,,,,,,,,23.95,14.72,14.47,,,,,,,,22.2,,,,,23.51,23.63,23.7,23.99,23.17,,,
G06004500108022,,56.56,56.02,,,,54.85,,,,,,,,56.4,56.32,56.16,,,,,,,,,,11.73,11.48,,,,,,,,19.21,,,,,20.52,,,,,,,
G06004500109001,,52.38,51.84,,,,,15.89,15.51,16.59,,,,,52.21,52.14,51.97,,,,,,,,,,,,,,,,,,,,,,15.05,15.23,,,,,,,,
G06004500109002,,49.85,49.21,,,,,6.96,6.58,7.66,,,,,49.67,49.59,49.45,,,,,,,,,,,,,,,,,,,,,,5.89,6.3,,,,,,,,
G06004500109003,,,,,,,,3.4,3.02,4.1,,4.39,,,,,,4.06,,,,,,,,,,,,3.74,3.68,,,,,,,4.02,2.51,2.74,,,,,,,,
G06004500109004,,,,,,,,4.92,4.55,5.63,,5.91,,,,,,5.63,,,,,,,,,,,,5.26,5.21,,,,,,,5.55,3.86,4.27,,,,,,,,
G06004500110011,,,,,,,,47.82,47.36,46.84,,45.76,,,,,,46.4,,,,,,,,,,,,46.23,46.25,,,,,,,46.19,49.37,46.8,,,,,,,,
G06004500110021,,10.23,,,,,5.91,,,,,,,,,,,,,,,,,,,,47.93,48.17,,,,,,,,39.39,,,,,38.04,38.55,38.61,38.55,38.78,,,
G06004500110022,,9.25,8.61,,,,12.96,,,,,,,,9.07,8.99,8.85,,,,,,,,,,49.05,49.25,,,,,,,,45.31,,,,,43.96,,,,,,,
G06004500110023,,6.28,6.46,,,,3.95,,,,,,,,6.84,6.76,6.55,,,,,,,,,,44.46,44.71,,,,,,,,35.93,,,,,34.58,,,,,,,
G06004500110024,,0.13,0.52,,,,4.37,,,,,,,,0.86,0.81,0.61,,,,,,,,,,46.11,46.36,,,,,,,,37.57,,,,,36.22,,,,,,,
G06004500110025,4.25,,,,,,1.93,,,,,,,5.41,,,,,,,,,,,,,,,,,,,,,3.91,36.39,4.31,,,,35.04,35.55,35.61,35.54,,,,
G06004500111021,,,,42.16,,,,,,,40.1,,39.15,,,,,,,40.36,39.79,39.79,,,,,,,40.23,,,,,19.5,,,,,,,,,,,,13.58,,16.45
