,170553993,170554413,170555197,170555386,170557811,195262842,205251965,205287983,210525948,232079354,292051906,295953913,295956727,295956728,295956729,296039158,296041140,296377471,296384935,296384936,296607388,296607943,297125709,297125717,297125718,297130138,297325278,297325282,297325283,297848713,297848719,298981780,299050137,299050142,299207019,299207022,299207023,299207024,299939404,299939464,299939470,300416552,300416553,300416558,300416559,302320371,303003250,303003251,303003252,303003258,303133595,303133601,303133602,303133610,303133615,303416227,303416228,303416237,303902650,304467207,304467222,305512589,305512590,305512604,305512607,305512608,305512609,306152238,306205267,306205268,306470887,306470889,306980496,306980501,307521734,307521735,307521750,307521751,307521753,307521756,311695036,311695298,311695313,311695330,311695343,311695344,311695348,311695357,311695358,311695361,311695365,311695367,311695397,311695412,311695427,311695435,311695436,311695437,311695443,311695480,311695493,311695541,311695555,311695557,311695558,311695559,311695587,311695596,311695631,311695632,311695633,311695634,311695635,311695636,311695637,311695638,311695639,311695640,311695641,311695642,311695644,311695645,311695646,311695647,311695648,311695649,311695673,311695674,311695675,311695678,311695686,311695691,311695692,311695735,311695746,311695752,311695754,311695790,311695816,311695831,311695832,311695843,311695846,311695853,311695896,311695897,311695899,311695900,311695901,311695902,311695903,311695905,311695906,311695907,311695908,311695934,311695961,311695971,311695972,311695973,311695978,311695990,311695991,311696000,311696001,311696003,311696005,311696006,311696013,311696014,311696036,311696037,311696057,311696079,311696084,311696088,311696101,311696102,311696103,311696632,311698249,311698322,311698878,311699541,311701939,311702285,311703320,311703684,311706959,311709192,311710157,311711028,311711034,311711058,311711059,311711060,311711061,311711109,311711111,311711112,311711113,311711151,311711163,311711182,311711194,311711196,311711200,311711203,311711282,311711336,311711412,311711413,311711437,311711453,311711454,311711458,311711459,311711460,311711475,311711476,311711478,311711479,311711480,311711523,311711524,311711525,311711526,311711527,311711579,311711580,311711581,311711594,311711599,311711603,311711624,311711661,311711689,311711691,311711692,311711703,311711706,311711709,311711715,311711741,311711744,311711748,311711749,311711756,311711772,311711773,311711819,311711824,311711825,311711826,311711827,311711828,311711829,311711921,311711922,311711982,311712007,311712030,311712032,311712052,311712053,311712058,311712075,311712091,311712092,311712132,311712153,311712161,311712192,311712196,311712755,311715485,311722110,311722641,311722944,311723229,33580390,33580514,33726131,33762894,33906392,33906521,37016955,393158823,393158824,4174539,4174572,4174592,41790880,41790885,42118173,42118182,43926018,461487192,606793572,77332684,77332689,79437191,79437207,81024023
G06004700002011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,2.13,1.51,,3.08,,3.16,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,,,,,,,,,,,,,,,,,,,,,,11.54,,,8.16,10.54,,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,,,,,,,6.69,6.73,,,,,,,,,,,,,,,,,,,,,,,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,1.22,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,1.47,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.52,1.22,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,1.14,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.17,0.57,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,0.83,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.81,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.71,,0.47,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.61,0.31,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,0.54,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700002035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.24,1.44,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,1.43,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004700003011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,1.04,,,,,,,,
