,102516917,102516918,139343527,172226765,172226788,42148265,42148369,42148370,42148374,42148400,42148401,42148402,42148405,42148406,42148693,42148700,42148701,42149145,42149151,42149155,42149210,42149215,42149216,42151119,42151600,42154797,42188155,421916087,42191685,42191752,42192550,42192551,42192552,42192553,42192557,42192578,42192579,42192581,42193646,42193647,42193667,42193668,42194260,42194778,42194908,42195790,42196401,445602335
G06005100001011,,,10.73,,,10.73,,,,,,,,,,,,,,,,,,30.19,,,,,,,37.7,,,,37.7,37.7,,37.7,,,,,,29.44,,15.72,28.73,
G06005100001012,13.68,13.37,,,,,,,,,,,,,,,,13.37,13.37,13.37,13.68,13.71,13.71,,3.2,,,,,,,,,,,,,,,,,,17.18,,,,,
G06005100001013,,,35.7,,,35.7,,,,,,,,,,,,,,,,,,13.44,,,,,,,,,,,,21.45,21.44,21.45,,,,,,8.86,,32.01,8.14,21.44
G06005100001014,,,,,,,,,,,,,,,,,,,,,,,,6.42,,,,,,,14.43,14.43,,,14.43,14.43,14.42,14.43,,,,,,5.18,,,6.35,14.42
G06005100001021,,,,,,,3.2,3.2,3.2,3.2,3.2,,3.2,3.2,3.2,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005100001022,,,,,,,9.14,9.14,9.14,9.14,9.14,9.14,9.14,,9.14,9.14,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005100001023,,,,21.76,21.76,,31.67,,31.67,,,31.67,,,31.67,31.67,31.67,,,,,,,,,4.5,,4.54,,,,,,,,,,,,,,,,,,,,
G06005100001024,9.62,10.3,,24.54,24.54,,,,,,,,,,,,,10.3,10.3,10.3,9.62,9.78,9.78,,,,,,,,,,,,,,,,,,,,,,,,,
G06005100002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.89,0.77,0.77,1.89,1.89,1.35,1.89,0.95,,0.95,,,,,,,
G06005100002002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,0.77,0.81,,,,0.62,,,,,0.81,0.77,0.81,0.81,0.79,,0.77,,,
G06005100002003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,0.61,0.66,,,,,,,0.79,,0.66,0.61,0.66,0.66,0.28,,0.61,,,
G06005100002004,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,1.81,1.85,,,,,,,,,1.85,1.81,1.85,1.85,1.48,,1.81,,,1.98
G06005100002005,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1.14,1.17,,,,0.99,,,,,1.17,1.14,1.17,1.17,1.16,,1.14,,,
G06005100002006,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,2.46,2.48,,,,2.3,,,,,2.48,2.46,2.48,2.48,2.36,,2.46,,,
G06005100002007,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,1.66,1.68,,,,1.5,,,,,1.68,1.66,1.68,1.68,1.56,,1.66,,,
G06005100002008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,1.78,1.83,,,,,,,,,1.83,1.78,1.83,1.83,1.65,,1.78,,,1.95
G06005100002009,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,,6.81,6.83,,,,6.65,,,,,6.83,6.81,6.83,6.83,6.72,,6.81,,,
