,187239323,187239326,187239327,203307582,208184080,273318342,273377895,273388978,299946010,325095940,463388115,463716160,463716280,466184531,466311886,466311889,466311891,466311893,466823960,467317778,467317976,467319661,468788592,484966809,546693447,551926513,556587287,627211051,719044251,768404386,825326562,911560443,949265893
G06005502002011,,,,,,,,,,,,,,1.38,0.95,0.87,1.24,1.24,0.99,1.12,1.07,0.74,,,,,,,,,,0.72,
G06005502002012,,,,,,,,,0.99,,,,,0.84,1.24,1.16,1.59,1.59,0.55,,1.38,1.04,,,,,,,,,,0.91,
G06005502002013,,,,,,,,,1.57,,,,,0.72,1.87,1.79,2.22,2.22,0.94,,1.96,1.63,,,,,,,,,,1.5,
G06005502002021,,,,,,,,1.23,0.65,,,,,,,1.52,1.7,1.7,0.7,0.7,0.44,0.24,,,,,,,,,,0.43,
G06005502002022,,,,,,,,1.54,0.11,,,,,1.62,,,1.93,1.93,0.58,0.91,0.66,0.31,,,,,,,,,,0.11,
G06005502002023,,,,,,,,,0.4,,,,,1.27,,1.54,1.97,1.97,0.23,1.15,0.9,0.54,,,,,,,,,,0.34,
G06005502002031,,,,1.61,,,,,0.9,,,,,0.83,,1.91,2.36,2.36,0.5,,1.52,1.1,,,,,,,,,,0.91,
G06005502002032,,,,1.68,,,,,0.59,,,,,1.08,,,2.38,2.38,0.3,1.51,1.26,0.8,,,,,,,,,,0.6,
G06005502003011,,,,1.21,,1.15,1.38,,0.91,,,,,2.58,,,,,1.54,1.57,1.3,1.23,,,,,,,,,,1.14,
G06005502003012,,,,0.59,,0.53,1.56,,1.24,,,,,2.35,,,,,1.87,1.91,1.64,1.56,,,,,,,,,,1.47,
G06005502003013,,,,0.94,,0.28,1.23,,1.59,,,,,2.7,,,,,2.22,2.26,1.99,1.91,,,,,,,,,,1.82,
G06005502003021,,,,1.52,,0.55,0.82,,1.68,,,,,3.27,,,,,2.31,2.35,2.08,2.0,,,,,,,,,,1.91,
G06005502003022,,,,1.26,,0.56,1.62,,2.3,,,,,3.07,,,,,2.7,2.96,2.69,2.62,,,,,,,,,,2.53,
G06005502004001,,,,,,3.37,2.62,3.86,2.44,,,,,,,,,,3.07,3.1,2.83,2.76,,4.15,,,,,,,,2.67,
