,116985849,168460628,168460629,168476311,168476318,350491296,350491334,661600987,6799555,735113453,772281686,775772931,776926295,808127583,815186744,826079849,826793595,842036043,863994437,952497113,953601082
G06005700001021,7.59,,,,,,,2.78,,8.97,5.37,9.5,10.06,10.1,7.5,9.02,7.87,,,,
G06005700001022,6.27,,,,,,,1.97,,9.35,4.5,9.87,8.74,9.71,6.0,7.81,6.55,,,,
G06005700001023,8.47,,,,,,,3.15,,9.15,6.26,9.67,10.95,10.28,8.38,9.91,8.75,,,,
G06005700001024,9.29,,,,,,,3.98,,7.21,7.31,7.74,11.77,8.35,9.2,9.99,9.57,,,,
G06005700001031,13.32,,,,,,,5.8,,3.37,11.56,3.9,15.8,2.84,13.23,14.54,13.6,,,,
G06005700001032,13.23,,,,,,,7.21,,9.09,11.46,9.61,15.71,8.56,12.57,14.78,13.51,,,,
G06005700001033,15.66,,,,,,,11.12,,3.27,13.15,3.79,18.18,4.4,16.6,15.83,15.89,,,,
G06005700001034,15.28,,,,,,,9.34,,2.89,12.77,3.42,17.81,2.36,16.23,15.45,15.52,,,,
G06005700001035,13.81,,,,,,,7.87,,1.42,11.3,1.95,16.34,0.89,14.76,13.98,14.05,,,,
G06005700001036,15.35,,,,,,,9.14,,4.8,13.59,5.33,17.83,4.28,14.69,16.9,15.63,,,,
G06005700001037,14.73,,,,,,,8.79,,2.34,12.22,2.86,17.25,1.81,15.67,14.9,14.96,,,,
G06005700001041,3.35,,,,,,,5.78,,,0.68,,5.88,11.1,4.3,4.89,3.68,,,7.77,7.77
G06005700001042,4.6,,,,,,,4.33,,,2.09,,7.13,10.08,5.16,6.13,4.93,,,9.02,9.02
G06005700001043,6.66,,,,,,,6.48,,8.11,4.64,8.64,9.32,9.25,8.06,6.73,6.8,,,,
G06005700001051,9.39,,,,,,,5.51,,6.47,6.88,6.99,11.91,7.6,10.33,9.56,9.62,,,,
G06005700001052,11.68,,,,,,,8.88,,3.09,9.17,3.78,14.21,4.61,12.63,11.85,11.92,,,,
G06005700001053,13.88,,,,,,,10.39,,2.13,11.37,2.83,16.4,3.66,14.82,14.05,14.11,,,,
G06005700002001,12.95,,,,,,,20.17,,19.58,15.94,20.27,14.75,21.11,14.34,12.05,13.14,,,,
G06005700002002,15.83,,,,,,,13.03,,5.97,13.32,6.66,18.35,7.5,16.78,15.64,16.06,,,,
G06005700003001,5.74,,,,,59.9,,12.34,,,8.74,,6.16,,6.48,3.68,4.91,,,8.94,8.94
G06005700003002,5.66,,,,,,,12.16,,,8.65,,8.31,15.36,7.05,3.5,5.79,,,10.3,10.3
G06005700004011,8.55,61.02,,,,61.91,61.97,,,,,,8.16,,9.08,9.39,7.51,,,10.95,10.95
G06005700004012,10.81,63.82,,,,64.71,,,,,13.8,,12.45,,12.2,11.87,11.0,,,13.92,13.75
G06005700004013,12.02,62.38,,,,63.27,,,,,14.83,,11.01,,12.55,12.86,10.98,,,12.48,12.31
G06005700004014,8.88,63.44,,,,64.33,,,,,11.87,,10.67,,10.28,9.94,9.07,,,13.45,13.45
G06005700004021,7.8,,,,,63.25,,15.02,,,10.79,,9.6,,9.19,8.86,7.99,,,12.38,12.38
G06005700004022,11.26,,,,,66.71,,18.49,,,14.25,,13.05,,12.66,12.24,11.45,,,15.83,15.83
G06005700004023,7.47,59.94,,,,60.83,,,,,10.28,,7.08,,8.0,8.31,6.43,,,9.86,9.86
G06005700004024,14.47,64.83,,,,65.72,,,,,17.28,,13.46,,15.0,15.31,13.43,,,14.93,14.76
G06005700005011,2.11,55.21,,,,56.1,,,,,4.92,,2.35,,2.62,3.37,1.07,,,5.14,5.14
G06005700005012,4.19,52.98,,,,53.87,,,,,7.0,,1.24,,4.47,5.56,3.27,,,2.9,2.9
G06005700005013,4.13,56.6,,,,57.49,,,,,6.94,,3.74,,4.66,4.97,3.09,,,6.53,6.53
G06005700005014,2.21,54.16,,,,55.05,,,,,5.02,,1.3,,2.71,3.51,1.21,,,4.09,4.09
G06005700005015,1.54,54.42,,,,55.31,,,,,4.35,,2.08,,1.89,2.83,0.54,,,4.5,4.5
G06005700005021,1.42,,,,,55.63,,8.31,,,4.23,,2.58,,1.95,2.45,0.19,,,4.82,4.82
G06005700005022,2.13,55.4,,,,56.29,,,,,5.01,,2.98,,2.73,2.86,1.16,,,5.48,5.48
G06005700005023,1.08,,,,,56.52,,8.3,,,4.07,,3.73,,2.47,1.31,1.21,,,5.72,5.71
G06005700005024,3.6,56.07,,,,56.96,,,,,6.42,,3.22,,4.14,4.44,2.57,,,6.0,6.0
G06005700006001,3.55,52.83,,,,53.72,,,,,6.37,,2.67,,3.83,5.06,2.86,,,2.76,2.76
G06005700006002,2.5,53.8,,,,54.69,,,,,5.31,,2.67,,2.78,3.95,1.72,,,3.88,3.88
G06005700006003,2.52,,,,,56.9,,8.07,,,5.17,,4.19,,0.61,4.31,2.28,,,6.09,6.09
G06005700006004,1.01,,,,,55.83,,7.74,,,3.66,,3.13,,1.26,2.79,1.07,,,5.02,5.02
G06005700006005,1.02,,,,,55.43,,7.75,,,3.67,,2.73,,1.27,2.79,0.59,,,4.62,4.62
G06005700007011,8.95,50.79,,,,51.68,,,,,11.68,,9.17,,8.37,10.45,8.26,,,9.51,9.51
G06005700007012,16.52,39.95,39.8,,,40.84,40.9,,,,,,16.05,,15.77,,15.74,,,13.25,13.32
G06005700007013,5.58,51.45,,,,52.34,,,,,8.41,,4.06,,5.87,7.05,4.82,,,3.02,3.08
G06005700007014,5.69,51.21,,,,52.1,,,,,8.51,,5.55,,5.97,7.14,4.91,,,4.17,4.24
G06005700007015,5.89,,,,,54.03,,11.82,,,8.63,,6.11,,5.32,7.4,5.21,,,6.45,6.45
G06005700007016,11.16,,,,,,,15.47,,,13.12,,12.31,22.88,9.25,12.94,10.91,,,12.65,12.65
G06005700007021,9.74,,,,,,,9.84,,,10.6,,10.89,16.37,7.83,11.53,9.5,,,11.23,11.23
G06005700007022,4.26,,,,,,,5.96,,,3.62,,5.93,13.37,2.35,6.04,4.01,,,7.82,7.82
G06005700008011,,53.95,53.79,57.57,,54.83,54.9,,57.9,,,,7.11,,,,8.47,,,4.04,3.88
G06005700008012,,44.88,44.72,48.5,52.79,45.76,45.83,,48.83,,,,,,,,,,17.2,7.34,7.55
G06005700008013,,43.1,42.95,46.73,,43.99,44.06,,47.06,,,,12.41,,,,,,20.94,9.27,9.48
G06005700008021,5.5,49.92,49.76,,,50.81,50.87,,,,,,3.52,,5.79,,4.82,,,0.38,0.59
G06005700008022,4.87,50.68,50.53,,,51.57,,,,,,,2.75,,5.16,6.39,4.18,,,0.61,0.61
G06005700008023,5.91,51.77,,,,52.66,,,,,8.73,,4.0,,6.2,7.43,5.22,,,1.87,1.94
G06005700008024,7.73,53.55,53.4,,,54.44,,,,,,,5.96,,8.21,8.99,6.7,,,3.65,3.48
G06005700009001,,57.0,56.85,60.62,64.92,57.89,57.95,,60.95,,,,,,,,,65.3,8.95,12.52,
G06005700009002,,64.63,64.48,68.25,,65.52,65.59,,68.59,,,,16.26,,,,,,6.6,14.73,14.56
G06005700009003,,27.0,26.85,30.62,34.92,27.89,27.95,,30.95,,,,,,,,,36.18,50.3,38.63,
G06005700012031,,3.82,4.13,6.61,11.68,4.57,4.64,,6.94,,,,,,,,,13.24,65.74,54.07,
G06005700012032,,3.12,3.43,5.52,10.98,3.87,3.94,,5.85,,,,,,,,,12.18,65.04,53.37,
G06005700012033,,4.56,4.87,1.04,8.06,3.99,3.61,,1.37,,,,,,,,,8.25,66.48,54.81,
G06005700012041,,2.91,2.76,6.59,10.89,3.8,3.86,,6.92,,,,,,,,,12.15,,48.43,48.64
G06005700012042,,5.93,6.23,8.66,13.78,6.68,6.74,,8.99,,,,,,,,,15.32,67.84,56.17,
G06005700012043,,2.8,3.11,6.44,10.66,3.56,3.62,,6.77,,,,,,,,,12.23,,53.05,53.26
G06005700012051,,9.24,9.55,8.38,3.31,8.67,8.29,,8.72,,,,,,,,,4.69,,59.49,59.7
G06005700012052,,8.07,8.38,7.21,0.09,7.5,7.12,,7.55,,,,,,,,,2.7,69.99,58.32,
G06005700012053,,12.88,13.19,10.79,6.93,12.31,11.93,,11.12,,,,,,,,,4.39,74.8,63.13,
G06005700012061,,1.59,1.9,2.44,6.66,1.02,0.64,,2.77,,,,,,,,,8.35,,51.84,52.05
G06005700012062,,0.75,1.06,3.69,7.91,0.8,0.87,,4.02,,,,,,,,,9.47,,50.99,51.21
G06005700012063,,2.84,3.15,2.8,7.02,2.27,1.89,,3.14,,,,,,,,,8.62,,53.09,53.3
G06005700012064,,2.84,3.15,2.8,7.02,2.26,1.89,,3.13,,,,,,,,,8.71,,53.09,53.3
G06005700012065,,4.51,4.81,1.53,8.0,3.93,3.55,,1.86,,,,,,,,,8.19,66.42,54.75,
