,100105745,101549637,101550620,101648160,101916822,101916832,101916927,102228024,102248880,102313544,103256468,103256474,10336934,107394090,107395191,108189470,109500430,110564872,110606046,11116765,111875959,112643273,113629919,113757041,11554850,11762595,122093766,124280032,124407888,124431826,124431827,124692882,125848464,126175396,12825590,129899353,129999041,133950651,138195089,139060346,1549211,155592680,1574085,158058983,162932457,163120278,166296045,167112180,168455541,171076770,171076771,171259443,171295801,171299876,171301937,171470066,172036717,172036718,172036748,172243775,172440602,172476828,177517013,178678769,178743373,184097726,184097730,184841917,185231329,185231332,185690814,185690817,185708037,186520400,186520408,186520410,186520415,186520424,186664931,187504615,188266336,188266337,188391640,188391643,188427752,188427754,188427756,188427759,188427761,188427762,188427763,188427767,188427775,188427782,188427788,188427798,188427804,188427805,188427810,188427813,188427819,188427823,188427824,188427825,188427829,188427830,188427832,188427834,188427837,188648764,188704201,190262195,190573602,190856987,190985061,191499726,191501722,191903149,194542813,194542819,194542820,194542884,195017594,195017596,195017601,195017602,195017616,195017622,195017624,195017631,195024945,195024946,195025169,195025171,195029788,195029791,195029793,195210875,195210877,195210879,195210883,195210884,195210885,195210889,195210892,195210898,195210900,195210902,195210904,195210906,195210909,195210911,195210912,195211590,197581894,200103043,205738860,205738864,206237938,206263418,206638593,207858047,207858053,208149859,209713766,210180855,210346935,210812894,211218996,211218998,211218999,211220853,211229230,211229235,211229239,211233453,211233455,211233458,211236180,211236183,211236184,211236185,211236196,211236197,211236198,212490895,213567409,219151401,219726157,219733368,222807189,228735159,228739547,238414197,238416632,239144306,239158828,245144945,25651743,25652280,25652286,256663266,257182534,257380815,257380816,257380818,257380819,257380820,257380821,257380822,264212618,264338096,266510306,272970745,273370539,27414874,27442481,289927998,290058848,290059654,291267087,291267461,291397378,292692580,292692605,29280620,294765173,294772161,294772162,294774168,295567787,295573193,295573194,295611287,295611291,295619968,295619969,295619983,297316325,297316326,304049201,304335222,305875121,308170712,308174801,308375110,30993073,30994660,319346389,320535920,326892041,326892042,326892043,330594968,330740004,330740070,330741244,330741245,330808933,330821462,330871058,330871419,330871420,331129294,331777211,332091166,332928236,333078293,333177032,333370486,333888329,333934979,334585052,335801168,335842320,338155865,339129575,339130661,339837055,340733985,341596141,341604338,344547107,344623006,344773181,345141351,345286108,345305783,346378166,346937055,346945263,347320912,348164491,348164492,348164493,35104139,351486138,353915750,354904751,355294583,356394556,358472482,358472485,361295629,362437019,363071429,364711414,364796493,366077063,366079973,366409004,366831350,369782007,372661858,372761670,372761671,372761672,372875969,373139317,375770900,375902931,376202748,376762557,378638493,379686659,379686667,379686668,382511765,396112900,404745187,408048927,409116395,409116396,409159124,410893858,410896620,410896621,411798703,4120066,413720784,414514059,414514063,414514098,414888815,423570560,430454765,430457082,431591969,432302407,432303166,432304982,432304986,436307983,436655763,43757364,439906902,441497339,441540396,442006648,44447058,444662222,444763326,444763327,445857171,445857173,445859037,445860962,446147611,446242790,446242791,446242792,446248347,44709632,447336816,44772924,448740835,448741253,456134111,457393702,457393714,469327226,471516491,471516578,471517448,471517818,477627842,477627935,477635119,477635133,477635227,479838928,480250392,480313494,480313495,480522955,485537318,485754760,492254845,493851514,494860395,494899471,494899472,503457373,503691446,503908353,504259515,506103807,515027296,515320393,516913567,520755811,527382864,527421821,531990996,532806993,537504483,537845081,539339498,539339499,539339500,543589973,543601688,543601689,543601690,543848387,544660437,545277303,546467250,546509507,547545435,547554874,550408104,550408106,550408108,550408116,550408126,550408133,550408687,550410686,550412402,550412403,550412404,550832128,55215296,553163803,554080948,5568540,558383867,564840805,566216032,573117342,573711235,573711244,573711246,573713994,573825942,573825944,573887527,574379106,576496966,576531594,577404949,577406467,578254554,579935738,581675658,58574872,587325392,587770196,593548588,595174664,598407553,598407570,60118521,60428680,605788082,60786572,609651233,623172285,625031950,625862749,625862750,626088465,627915182,628085345,629124583,631625688,631999697,631999698,632684512,633518632,636630879,637894482,641131990,641131991,642336454,642336473,642340027,642766706,645930233,647551782,647551997,649296505,6615918,664981016,666658555,675913799,675913830,675916069,675916070,678012434,687277519,688997496,689002677,70107365,70330995,70514890,70515899,70517979,707967163,718409289,718410446,726202834,727267415,731095364,731805100,7324943,7362991,741089836,753446603,758872478,758882566,764280354,764289564,764289565,764331717,764435263,764440017,764456544,764456545,764469738,764469741,764470289,764516740,764524106,765284352,765284404,765286879,766320403,766573045,766573656,766574528,766634052,767431555,776103308,779174787,779176323,779503071,779503089,779503118,779503119,779503120,779503121,779503122,779503123,779503124,779526702,779526703,779526704,779526705,779526706,779526707,779526708,783125358,783785413,7845509,785763913,787819780,788038993,788046783,788046784,788046785,789214952,789214953,789214954,790215261,790215262,790230933,790555540,790569339,790848169,791272689,791619102,791619103,791619105,793537176,79625255,799225959,801773316,815818266,816356704,816356706,816356707,817728881,8195649,823686576,823686577,834601266,838813626,844831082,857002773,857002777,857002778,857002779,863173406,863190751,863191128,863581840,870007277,870617886,871769034,871822304,903695762,90496589,90497246,908595361,910263842,910263843,92007050,9519019,952495402,962003878,963823220,964084310,964100580,964100581,964100582,964100583,964734219,9821035,98987179
G06005900011011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,1.2,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,3.27,,,,,,,,,,2.16,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,,,2.29,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.33,,,,,,,,,,2.79,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,1.84,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,3.87,,,,,,,,,,2.34,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,2.15,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,4.18,,,,,,,,,,2.65,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,,,1.9,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,3.93,,,,,,,,,,2.4,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,,,2.05,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,3.78,,,,,,,,,,2.24,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.72,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.43,,,,,,,,,,1.9,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,1.77,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,,,,1.97,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06005900011032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,,1.27,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,2.98,,,,,,,,,,1.45,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
