,166435596,166436530,195870835,221319847,222473836,223125608,223289015,223289016,237881575,250909848,294779081,305323076,310530911,32935535,32935760,35451682,35560444,37623738,444783776,444795487,444806139,444806750,464044699,473550865,477480658,480411836,481038146,481038440,481599042,481599050,481792976,481794537,481799727,482067952,482068034
G06001303601011,4.17,3.9,,,,,,,4.71,,4.63,,,,,,,,,5.12,,,,0.56,,3.48,,,,,4.63,4.62,4.5,,
G06001303601022,,6.55,,,,,,,,,7.28,,,8.69,8.08,,,,,7.77,,,,3.51,,6.13,,,,,7.28,7.26,7.15,,
G06001303602001,3.6,3.33,,,,,,,4.14,,4.06,,,,,,,,,4.55,,,,0.8,,2.91,,,,,4.06,4.05,3.93,,
G06001303602002,3.46,3.19,,,,,,,4.0,,3.92,,,,,,,,,4.41,,,,1.05,,2.77,,,,,3.92,3.9,3.79,,
G06001303602003,,3.87,,,,,,,,,4.6,,,6.01,5.4,,,,,5.09,,,,0.66,,3.45,,,,,4.6,4.59,4.47,,
G06001303610002,,,,,,,,,,,1.89,,,2.31,2.13,,,,,2.39,2.41,2.58,,5.22,,2.21,,,,,,1.94,1.51,,
G06001303610003,,,,,,,,,,,6.51,,,7.92,7.31,,,,,7.0,7.85,7.96,,3.01,,5.36,,,,,,6.49,6.38,,
G06001303630001,3.2,2.93,,3.88,,,,,3.99,,3.91,,,,,,,,,,,,,2.02,,2.77,,,,,3.92,3.9,3.78,,
G06001303630003,3.89,3.63,,4.57,,,,,,,4.61,,,,,,,,,,,,,2.75,,3.46,,,4.93,,4.61,4.59,4.47,,
G06001303650022,1.21,1.4,,1.88,1.76,,,,,,,,,,,,,0.86,1.48,,,,1.57,,,,1.46,1.49,,,,,,,1.93
G06001303650023,2.29,,3.24,,2.93,,,,,,,3.1,,,,3.45,,1.74,2.62,,,,2.75,,,,2.64,2.36,,,,,,,
G06001303650031,2.39,2.5,,3.07,,,,,,,,,3.71,,,,,,,,,,,3.2,,2.95,,,3.49,3.33,4.1,4.08,,,
G06001303650032,2.86,2.97,,3.53,,,,,,,,,4.17,,,,,,,,,,,3.57,,3.41,,,3.95,3.8,4.56,4.55,,,
G06001303650033,3.17,2.94,,3.85,,,,,,,,,,,,,,,,,,,,3.05,,3.08,,,4.26,4.11,4.23,4.21,4.09,,
G06001303671001,2.24,1.97,,2.91,,,,,,,,,,,,,,,,,,,,2.68,,2.33,,,3.33,3.17,3.49,3.47,3.42,,
G06001303671002,1.91,1.65,,2.59,,,,,,,3.16,,3.21,,,,,,,,,,,,,2.01,,,3.01,2.85,3.16,3.15,,,
G06001303671003,1.6,1.71,,2.27,,3.09,,,3.22,,,,2.91,,,,,,,,,,,,,2.15,,,2.69,2.54,3.3,,,,
G06001303671004,1.98,2.09,,2.66,,,,,3.61,,,,3.29,,,,,,,,,,,,,2.54,,,3.07,2.92,3.69,3.67,,,
G06001303700001,,1.86,,,,1.69,,,1.46,,1.12,,,,1.98,,,,,1.67,,,,,,0.88,,,,,1.36,1.16,0.79,,
G06001303700002,,,,,,,,,1.33,,0.98,,,2.1,1.85,,,,,1.54,2.2,,,,,1.31,,,,,1.23,1.03,0.6,,
G06001303700003,,,,,,,,,0.97,,0.62,,,1.75,1.49,,,,,1.18,1.85,,,,,1.19,,,,,0.87,0.67,0.23,,
G06001303710001,1.29,1.31,,1.33,,,,,1.38,,1.18,,,,,,,,,1.73,,,,,,0.34,,,,,1.31,1.22,1.12,,
G06001303710002,,1.68,,,,1.27,,,1.07,,0.79,,,,1.64,,,,,1.33,,,,,,0.7,,,,,0.99,0.83,0.68,,
G06001303710003,,,,,,1.06,,,0.82,,0.49,,1.15,,1.35,,,,,1.04,,,,,,0.8,,,,,0.73,0.53,0.66,,
G06001303710004,,,,,,0.89,,,0.65,,0.31,,0.98,,1.18,,,,,0.86,,,,,,1.16,,,,,0.56,0.36,0.33,,
G06001303710005,,,,,,0.59,,,0.36,,0.42,,0.68,,,,,,,0.87,,,,,,,,,0.67,0.7,0.26,0.37,0.63,,
G06001303710006,,,,0.79,,0.9,,,0.68,,0.72,,0.95,,,,,,,,,,,,,0.57,,,0.94,,0.59,0.67,0.89,,
G06001303720001,0.9,1.03,,1.08,,1.41,,,1.3,,,,1.42,,,,,,,,,,,,,0.33,,,1.41,1.34,1.38,,,,
G06001303720002,0.71,0.98,,0.9,,1.23,,,1.11,,,,1.23,,,,,,,,,,,,,0.28,,,1.22,1.16,1.2,,,,
G06001303720003,,1.46,,0.88,,1.14,,,0.93,,0.99,,,,,,,,,,,,,,,0.29,,,1.18,,0.86,0.95,1.07,,
G06001303720004,0.84,1.11,,0.53,,0.87,,,0.92,,,,0.87,,,,,,,,,,,,,0.64,,,0.86,0.79,1.02,,,,
G06001303720005,0.6,0.87,,0.3,,0.92,,,1.14,,,,0.73,,,,,,,,,,,,,0.88,,,0.71,0.56,1.24,,,,
G06001303720006,0.36,0.63,,0.54,,1.16,,,1.39,,,,0.97,,,,,,,,,,,,,0.64,,,0.96,0.8,1.48,,,,
G06001303720007,0.11,0.16,,0.79,,1.61,,,1.84,,,,1.42,,,,,,,,,,,,,1.11,,,1.2,1.05,1.93,,,,
G06001303730001,0.61,0.88,,0.56,,1.3,,,,,,,1.12,,,,,1.58,,,,,1.35,,,1.11,,,0.9,0.82,,,,,
G06001303730002,0.8,1.07,,0.75,,,,,,,,,1.3,,,,,1.39,1.15,,,,1.16,,,,1.14,,1.09,1.01,,,,,
G06001303730003,0.79,1.05,,0.93,,,,,,,,,,,,,,1.4,1.16,,,,1.17,,,,1.15,1.42,1.23,1.2,,,,,
G06001303740001,,,,0.47,,0.57,,,0.62,,0.96,,0.61,,,,,,,,,,,,,0.88,,,0.6,0.53,0.72,0.91,,,
G06001303740002,,,,0.66,,0.31,,,0.35,,0.7,,0.4,,,,,,,1.15,,,,,,,,,0.39,0.41,0.45,0.65,,,
G06001303740003,,,,0.37,,0.41,,,0.64,,0.98,,0.21,,,,,,,,,,,,,,,,0.1,0.13,0.74,0.94,,,1.19
G06001303740004,0.84,1.11,,0.16,,0.68,,,0.91,,,,0.49,,,,,,,,,,,,,1.11,,,0.48,0.32,1.0,,,,
G06001303750001,0.96,1.22,,0.29,,0.95,,,,,,,0.77,,,,,1.44,,,,,1.1,,,,,,0.55,0.48,,,,,1.16
G06001303750002,,,,0.57,,0.71,1.09,,,,,,0.53,,,,,,0.83,,,,0.81,,,,,,0.31,0.33,,,,1.14,0.87
G06001303750003,,,,0.61,1.43,,,,,,,,0.95,,,,,1.38,1.15,,,,1.15,,,,1.14,,0.73,0.7,,,,,1.29
G06001303760001,1.63,,,1.24,0.95,,,,,,,,,,,,,0.42,0.67,,,,0.77,,,,0.66,0.93,,1.5,,,,,1.13
G06001303760002,,,,,0.64,,1.51,,,,,,,,,,1.21,1.1,0.33,,,,0.73,,,,0.1,0.29,,,,,,1.25,1.09
G06001303760003,,,,,0.75,,,,,,,,,,,,0.84,1.02,0.47,,,,0.45,,,,0.47,0.72,,1.02,,,,0.78,0.63
G06001303760004,,,,,0.65,,,,,,,,,,,,0.95,0.73,0.37,,,,0.47,,,,0.36,0.62,,1.21,,,,0.98,0.82
G06001303770001,,,,,,0.75,0.71,0.71,,,,,0.66,,,,0.81,,,,,,0.51,,,,,,0.79,0.81,,,,0.76,0.49
G06001303770002,,,,,0.58,,0.64,0.64,,,,,,,,,0.64,,0.66,,,,0.26,,,,0.87,,,0.87,,,,0.59,0.42
G06001303770003,,,,,0.32,,0.8,0.8,,,,,,,,,0.49,,0.4,,,,0.01,,,,0.63,0.65,,,,,,0.54,0.38
G06001303770004,,,,,0.17,,1.06,,,,,,,,,,0.74,1.2,0.24,,,,0.26,,,,0.37,0.39,,,,,,0.79,0.64
G06001303770005,,,,,0.52,,,,,,,1.32,,,,0.94,1.09,0.98,0.53,,,,0.61,,,,0.56,0.27,,,,,,,0.98
G06001303780001,,,2.27,,3.71,,,,,,,2.14,,,,2.55,3.82,3.89,3.8,,,,3.88,,,,3.84,3.55,,,,,,,
G06001303780002,,,2.16,,3.2,,3.5,3.5,,,,2.14,,,,1.83,3.25,,,,,,,,,,,3.03,,,,,,3.3,3.45
G06001303790001,,,,,,0.69,0.78,0.78,0.89,0.54,,,0.62,,,,,,,,,,,,0.78,,,,0.77,0.79,0.98,,,,
G06001303790002,,,,,,0.89,0.4,0.4,,0.91,,,0.82,,,,0.53,,,,,,0.81,,,,,,,1.0,,,,0.47,0.43
G06001303790003,,,,,0.74,,0.15,0.15,,,,,,,,,0.16,,1.04,,,,0.64,,,,1.26,1.3,,,,,,0.11,0.37
G06001303790004,,,,,0.33,,0.78,0.78,,,,,,,,,0.47,,0.63,,,,0.65,,,,0.67,0.68,,,,,,0.52,0.58
G06001303800001,,,,,3.79,,3.98,3.98,,4.42,,,,,,2.81,3.74,,,,,,3.96,,4.67,,,,,,,,,3.79,4.04
G06001303800002,,,,,,,,,,1.96,2.21,,,1.18,1.58,,,,,1.91,0.98,0.7,,,1.53,,,,,,,2.16,2.48,,
G06001303800003,,,,,1.51,1.8,0.63,0.63,,1.07,,,,,,,0.93,,,,,,1.41,,1.32,,,,,,,,,0.88,1.04
G06001303810001,,,,,,0.76,,,0.52,,0.18,,,,0.79,,,,,0.48,1.33,,,,0.95,,,,,,0.43,0.23,0.48,,
G06001303810002,,,,,,,,,1.21,,0.96,,,1.04,0.31,,,,,0.52,0.97,,,,0.9,,,,,,1.11,0.92,1.36,,
G06001303810003,,,,,,0.81,,,0.94,0.97,0.69,,0.82,,0.79,,,,,0.47,,,,,0.65,,,,,,0.84,0.64,,,
G06001303810004,,,,,,0.24,,,0.28,,0.62,,0.43,,,,,,,0.92,,,,,1.26,,,,0.7,0.72,0.37,0.57,,,
G06001303810005,,,,0.6,,0.29,1.06,,0.52,1.03,,,0.2,,,,,,,,,,,,,,,,0.33,0.35,0.62,,,,0.85
G06001303820001,,,,,,,,,,,1.11,,,0.86,0.25,,,,,0.68,0.8,1.03,,,0.73,,,,,,1.26,1.06,1.39,,
G06001303820002,,,,,,,,,,0.9,0.97,,,0.59,0.22,,,,,0.55,0.53,0.76,,,0.59,,,,,,,0.92,1.37,,
G06001303820003,,,,,,,,,,1.43,1.64,,,0.3,0.9,,,,,1.24,0.29,0.43,,,1.11,,,,,,,1.59,1.69,,
G06001303820004,,,,,,,,,,2.08,2.29,,,1.27,1.66,,,,,1.99,1.06,0.78,,,1.76,,,,,,,2.24,2.21,,
G06001303830001,,,,,,,,,,1.98,1.8,,,0.85,1.36,,,,,1.78,0.95,1.12,,,1.66,,,,,,,1.85,1.56,,
G06001303830002,,,,,,,,,,2.33,2.49,,,1.52,1.91,,,,,2.24,1.31,1.03,,,2.01,,,,,,,2.49,2.25,,
G06001303830003,,,,,,,,,,2.37,2.58,,,1.56,1.95,,,,,2.28,1.35,1.07,,,2.05,,,,,,,2.53,2.34,,
G06001303922002,3.83,3.94,,4.51,,,,,,,,,,,,,,4.74,5.08,,,,,,,4.38,5.07,5.33,4.92,4.77,,,,,
