,100700281,103143759,103497527,103942800,104225115,104718913,104936591,105679114,105807732,105811081,105813016,106912490,107214779,107265159,107265355,107385239,107385239,107385239,108490251,108500226,109602864,110351577,111600610,111784798,112117566,112586192,112587176,112791954,113859897,114193866,114212339,114212737,114616696,114616698,114732946,115412412,115421116,117150777,117150926,117150927,117793371,117793373,118397069,118397424,118938834,120497851,120608149,120651904,121496094,121499609,121955311,122293313,122481532,122623281,122623297,12372829,12420037,124357194,127099525,131174040,135930166,137285451,142455354,142730221,142730909,142730910,142738217,142993715,143182654,143183615,143184169,143186623,1506001,156662445,161393289,164124056,172356729,172456510,172459990,172472421,172689464,174563901,186996280,187066534,187122889,187122970,187124255,187132784,187147463,188160044,191507954,1977688,199148461,199148464,199582087,2168885,2172108,2172109,2177181,2177184,2178431,2179790,2180162,218497547,2202798,222026634,224704637,226916628,227974606,232568727,232928978,232931257,232934558,232941187,233263734,233291898,233297735,233298187,233401424,233433852,233433855,233663048,234338310,234340724,234350696,234707754,234707755,234707759,234707765,234707769,234707770,234707785,236022858,238009294,244609144,245544529,245544530,248758086,2517504,2519235,2571788,2571789,2571790,2638958,265123673,278659220,279030871,279431413,280966200,282238898,282238899,282238903,283020367,284182821,284182821,2875741,2875741,292388049,296359127,3000131,304317080,304318526,305909949,305909964,3067407,307241174,311488535,315761840,316804573,316842983,316883296,316893576,328364987,328851726,328853086,331879107,348440985,364303062,364334588,364337135,364421704,364589632,364592397,368144323,368145627,372655999,373621194,373626141,374316659,374316680,3746791,375647866,377428750,380190878,381345440,383223436,385775484,386750441,386887868,389106616,391517333,391621242,391796206,391796285,393288326,393964680,393971033,394172294,399715019,399715631,399716812,400030929,400481201,404487952,404487953,404487954,404487955,406642012,406679027,410103860,410104425,414852898,421325987,430072180,430112146,430114769,435696307,43976842,43988899,43988905,43990945,441840858,44486122,44486125,44486136,44486142,44486144,44486149,44486152,44486156,44486165,44486183,44486185,44486227,44486233,44486234,44486243,44486249,44486289,44486338,44486369,44486416,44486432,44486482,44486522,44486533,44486546,44530125,446726497,450113500,45368334,461045707,46699935,468646740,468646741,468923391,469222961,469590455,470324323,47636525,478980826,479834035,480534530,480761701,480772726,480772731,482248135,482354855,485023877,486684762,488547331,488547338,488547339,488547342,488601806,491966742,492474566,492500036,493279711,498320614,507438354,514662352,519712754,530053724,545480700,545609595,545617306,545617306,546662458,548037597,551705068,553443605,553443606,553676992,553677000,556546671,556546672,560441761,562632726,562632728,562632729,565996776,577593867,5808638,585543748,591122642,591122647,591128538,619589102,62252349,62252352,62252353,625161619,625891185,627900724,634030215,663370636,663372182,663372242,663372634,663372684,663372954,663373128,665205588,665210568,665210588,666245914,667726486,669006043,670349381,677106705,677590908,681560834,683592553,69013273,69013344,695745517,698768641,70201753,704712052,70497263,706812409,706814019,706850388,711121729,71357477,71357486,71358040,719655495,72479661,72479749,72510004,731788151,742692888,759856183,765881823,766609755,772019777,774721732,777628720,777628721,777628800,777630346,777630347,777632334,777632335,777633058,777633982,777634800,777636112,777636113,777636114,779180039,779180040,779185561,779185565,779187689,779187692,779187694,779187696,779187698,779444655,779478561,779480203,779481964,779485349,779485357,779485358,779735186,78089961,782559115,791718449,79468786,79468788,79471235,79473149,79473152,79473180,79473749,79473757,79473761,79578231,79578236,79578247,79578248,79578249,79578255,79578266,79578295,796789628,796789659,79788101,798989485,798989486,798989487,80006113,80006121,80006149,80007130,8035783,8065261,80804141,80804152,80804167,80804181,80804193,80804477,80804589,80804911,80805133,80805451,80806222,80806413,80806562,80806836,80806942,80807715,80808803,80809805,80810212,80811162,80907484,80907489,80907490,80907492,80907496,80907535,80907542,80913481,80913487,80913493,80913508,80913512,80913517,80913542,826816526,827744629,83130624,83225437,83226254,838382239,84202885,844043275,84831356,85103866,85226771,86466491,86700535,86700760,86793258,868248686,869881667,869881703,87325909,881092347,886347383,886347432,886347433,888507923,893820482,899151591,904932645,905351662,905731113,910018073,910486638,911086332,911364453,911500194,915013085,916203499,91788564,918613228,923583134,923583135,923890671,923890672,923892554,923896599,923896600,925911383,926407278,93820728,938689174,94844013,949973963,958021432,958067648,958076222,958252788,958252789,958252790,958254498,958261805,958261807,958261808,958261811,958270108,958270109,958290616,958290618,958302310,958304234,958515774,958890854,958894030,958901344,958901345,958901346,958901369,958902184,958909879,958912190,958920250,958920251,958926124,958935833,958935836,958943246,958954236,958959158,958968662,958971679,958977709,958978939,958979056,958982003,958982004,958982005,958982006,959165413,959165414,959170000,959173430,959384405,959547705,959549150,959549151,959549152,959549153,959549284,959549285,959549286,959564459,959576847,959584813,959795142,959824143,959862889,959868380,959870143,959876948,959894336,960110198,960121576,960121577,960150758,960202469,960202470,960202471,960202472,960212456,960792547,960793866,960811077,960811078,960827280,960840691,960842101,960850398,960878658,960880946,960881703,961973717,961974558,961974559,961974561,961977933,961978175,961980952,961995818,961996761,961997468,961997472,962000340,962008910,962325716,962330386,962330388,962330389,962330977,962341335,962341424,962341425,962341435,973564413,97923177
G06006500301011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.02,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500301031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.51,0.33,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500301032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.7,0.68,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500301041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,2.36,2.36,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500301042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.82,1.15,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500301043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.38,1.37,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500302001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,,1.07,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500302002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,1.17,1.3,,,,,,,1.15,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006500302003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,0.0,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.24,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
