,12998869,184266456,184367608,184368584,184368620,184368635,184368748,184368843,184369490,184370262,184370346,184370396,184370712,184370722,206753508,245297315,25130296,25360088,25410229,25410365,256675198,256680477,256680792,256681596,256682158,256682392,256682857,256684799,256685207,256686511,256932778,256932861,256932862,256934326,256934327,256934483,256936599,256936602,256936603,256936849,256938370,256938371,256938711,256938925,256939220,256939310,256940594,281786884,281786888,281786889,281786898,281786913,281789061,281789424,281790050,281790654,281791924,281791936,281792328,281792342,281792349,287216952,287216954,287216955,287304123,287427188,287427191,287546489,287546501,287546510,287546525,287546804,287552651,287553614,287554333,287555085,287555457,287555894,287556418,287566482,287568573,287572439,287575093,287576900,287578511,287579015,287580295,287586208,287586899,287591156,287595024,287602379,287604281,287605408,287605783,287605789,287606254,287609202,287609404,287613438,287618560,287618747,287619656,287619802,287619972,287625629,287625752,287626383,287627814,287628218,287628342,287629041,287634065,287634068,287634073,287634075,287634087,287634088,287634089,287634092,287634093,287634096,287634101,287634103,287634166,287634183,287814113,287814116,287995788,287995819,288245624,288245625,288255550,288255679,289852752,289852753,289978954,289978979,290299309,290407005,291051887,291051888,291051895,292831319,292831320,293260218,293607638,293609583,293610132,293610141,293610525,293622311,293655774,294281444,294281445,294281459,294296222,294296224,302667190,318439304,318450483,318452665,318453526,318453712,318453718,318455919,318458424,318458450,318458458,318459454,318582145,318672898,319141866,319153603,319424450,319450182,319488094,319492000,319499532,319604817,319604894,319619430,319639511,319642761,319643239,319747107,319751161,319751836,319785587,321234060,333203490,333203645,335068732,335699313,335851248,36284759,36288212,366060435,3814589,401136992,401318235,401322226,401325252,401329543,407439030,407439032,407439034,407439553,408515011,408519886,408673992,408681519,41018343,41018418,410669952,43963240,43963280,43963349,43963353,43963362,482430811,509985349,510315422,51695688,51801793,556813494,563727097,575154502,654865770,695995438,738107093,738107142,738396309,738396310,760269555,832452231,838027424,838027430,838027434,838027447,838027453,838027454,838027458,838027461,924109525,924510438,924585651,929008110,945942100,961128996,962761585,962762215,962987498,963148692,963489466
G06007700001001,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,0.7,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,0.51,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700001002,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.42,1.11,,,,,,,,,,,,,,,0.28,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700001003,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,0.79,,1.2,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,0.79,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700001004,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,1.04,0.98,,,,,,,,,,,,,,0.99,,0.7,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700003001,,,,,,,,,,,,,,,0.79,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,0.91,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,2.78,3.0,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700003002,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.99,1.69,,,,,,,,,,,,,0.96,,0.86,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700004011,,,,,,,,,,,,,,,1.19,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,1.06,0.22,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700004012,,,,,,,,,,,,,,,0.92,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.35,,,,,0.67,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007700004013,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.52,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,1.13,,,,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
