,102655825,102656056,102657111,102657112,122358718,133596312,135307479,135307491,135307495,159067118,159194372,159195966,159196071,159202324,159202326,159202333,159215494,159233081,159252518,159253105,159254320,159366210,160239431,160308806,160380849,160395006,161081982,161091621,161116501,161217811,162029807,162029810,162029812,162029813,162113578,162119772,162119815,162119822,162126035,162454218,162507441,162798266,162799178,162908132,162979510,163107408,163129913,163129914,163131831,163142747,163742773,163742785,163830698,163832923,164766677,164860747,164861254,164867956,164869710,164883938,164889352,164890748,165691260,165758723,165758759,165758846,165794252,165794398,165794684,165794685,165800217,165800224,165800226,166141377,166264589,166528072,166628128,167079890,167079894,167229605,168642333,168642335,170950077,171112278,171421811,171790110,171790151,171935587,171967712,172074954,174333693,176222347,177697884,179812121,185204402,191776269,201186464,201186471,201186580,201349363,201349368,201349377,201512834,202892128,203406850,204435917,204435961,208782988,212503465,212772997,214578517,215318150,219428907,219501989,220148295,231028420,232165845,236641681,237599313,239487784,260394736,266046074,269726792,281603638,283458311,286681019,289587627,301848739,307759217,307956357,309932711,314472455,314476773,314482696,314490687,314499926,314609605,315334963,315359173,315366123,315380331,315382452,315385302,315539914,315547945,315548122,315557145,315675316,315677330,315680256,315688031,315695771,315825712,315958073,315978343,316459873,316462752,316464796,316550436,316556379,316563147,316569317,316590054,316591874,316605716,316613934,316692785,316704998,316714704,316714705,316834632,316845621,316849158,316855411,316997457,320838291,331307991,354919107,360623194,361605102,363818770,364214984,367900407,377013970,378235419,394724803,395694013,43702338,43702342,43702709,43703541,43703974,45594056,45594075,45594369,45594766,45595769,45596894,45597433,45597462,45599669,45600278,45611065,45617539,45629838,45630598,45630600,45630615,45630691,45634577,45634892,45634997,45638235,45638278,45643962,473425393,611344106,681232254,682939316,75717167,85687954,85690721,96027119,96027395
G06007900100021,,,,,,,58.1,,58.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83,33.72,,34.27,,,,,,,,,,,,,,,,,,,,,,,,,57.67,,,,,,28.85,,,,,,,,,,,,,,,,,,29.01,,,,,,56.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06007900100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,,,15.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06,12.61,,,14.41,,,,,,,,,,,,,,,12.78,,,,,,,,,,,,,,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,
G06007900100023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.87,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,18.52,19.08,,,20.88,,,,,,,,,,,,,,,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07,,,,
G06007900100161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,,8.5,9.3,,,10.06,,,,,,,,,,,,,,,12.34,,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,,,,
G06007900100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.13,,,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,7.55,,,9.8,,,,,,,,,,,,,,,11.87,,,,,,,,,,,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82,,,,
G06007900101011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,1.81,2.61,,,4.02,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,,,3.59,,,,,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,
G06007900101021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,0.53,0.7,,,3.0,,,,,,,,,,,,,,,4.48,,,,,,,,,,,,,,2.57,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,
G06007900101022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,0.87,0.07,,,3.19,,,,,,,,,,,,,,,4.58,,,,,,,,,,,,,,2.76,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,
G06007900101023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.8,0.52,1.31,,,2.23,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,
