,102945252,106366738,106459494,106461290,107023436,118271453,118273977,118276216,118276219,121644233,124782627,132312174,133398621,133586294,154765068,165928158,165931761,166321558,166541331,166793709,166793710,166794709,170172528,170983960,172088441,197275654,197419453,197994540,197994541,203784007,203829297,203829298,203829390,203829391,203830848,218739357,218739358,218739698,218742310,224664578,225770763,230736061,234948893,234950157,234951476,242892665,242892679,242892680,242892683,243675864,243693472,244375309,247353888,250245536,269072564,269075843,275515316,276162625,29088667,29088676,29088736,305602245,315034155,315037770,315039682,315039683,315054847,315054858,315062801,315062802,315062804,315062805,315062806,315062812,319461249,3607158,370491541,370491574,377449933,377631023,389994752,390044397,394730447,42752736,42754422,42754989,42908379,442952563,442956604,442964876,443498925,445400401,445602508,445612905,44580739,44580766,44581009,44581015,459639013,459639014,486178698,487400060,487400066,492589511,492589535,493449984,50978734,549631194,551740282,551740284,552689278,556534281,558068966,576129891,590294367,591698154,606148664,614529050,622588476,622589107,623194536,623258320,623258723,626790799,626792061,640701700,669597768,674542959,674542967,681742584,691769586,696008257,698089791,726016705,728288732,733763525,786339169,79885410,79885412,819282912,821960635,822777759,822777759,827910476,828873579,83668941,83669150,910319021,917351989,920636563,923609932,936955097,942792451,970319490,99885451,99885953
G06008300001011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,2.31,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1.16,,,1.43,,,,,,,,2.13,,,,,0.99,,,,,,,,,,,,,,,,,,1.91,,,,,,2.07,,,,,,,,,,,
G06008300001012,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.75,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,1.85,,,,,,,,1.42,,,,,1.09,,,,,,,,,,,,,,,,,1.49,1.2,,,,,,3.06,,,,,,,,,,,
G06008300001013,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.46,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,1.54,,,,,,,,0.75,,,,,1.27,,,,,1.53,,,,,,,,,,,,0.82,0.92,,,,,,,,,,,,,,,,,
G06008300001014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,0.64,0.48,,,1.72,,,,,,,,3.04,,,,,1.9,,,,,,,,,,,,,,,,,,2.47,,,,,,1.41,,,,,,,,,,,
G06008300001021,,,,,,,,,,,,,,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,0.88,1.23,,,2.43,,,,,,2.78,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,2.78,
G06008300001022,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,1.08,0.62,,,1.81,,,,,,2.41,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,2.51,
G06008300001023,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,0.91,0.76,,,1.17,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,1.92,,,,,,0.86,,,,,,,,,,,
G06008300001024,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,0.09,0.61,,,1.95,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,2.44,,,,,,1.89,,,,,,,,,,,
G06008300001031,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,2.72,,,,,,,,,,,,,3.49,,,,,,,,,,,,,1.81,,,,3.13,,,,,,,,2.01,,,,,2.69,,,,,,,,,,,,,,,,,2.08,2.77,,,,,,,,,,,,,,,,,
G06008300001032,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,2.16,,,3.13,,,,,,,,2.01,,,,,2.69,,,,,,,,,,,,,,,,,2.08,2.77,,,,,,3.07,,,,,,,,,,,
G06008300001033,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.07,,,1.42,,,,,,,,1.84,,,,,0.61,,,,,,,,,,,,,,,,,1.91,1.63,,,,,,2.98,,,,,,,,,,,
G06008300002001,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.58,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,1.14,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.08
G06008300002002,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.84,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,1.67,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.34
G06008300002003,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,0.84,,,,,,,,,,,,2.22,1.76,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,1.92,1.88
G06008300003011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.77,0.68,0.58,0.58,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.49
G06008300003012,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.97,0.77,0.87,0.77,0.77,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87
G06008300003013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.83,0.59,0.58,0.49,0.39,0.39,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68
G06008300003021,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,1.29,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.49
G06008300003022,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.87,0.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.29
