,111749946,112283057,169788284,176729816,219966796,219970805,219988730,220005434,220005435,220077183,220077186,220077186,220077188,220077199,220077200,224154643,225050605,225369873,225653867,225653868,225653870,256658125,256804299,257533485,258232608,266707373,279661235,281897271,281897313,281897453,282390757,284111497,30211889,30594010,308418995,312095,331470285,34200501,34306881,34321480,34322270,34712709,34713414,34938736,34938931,34964387,34964389,35027386,35090945,35262535,35287186,35473951,35555802,35668959,36833262,36838658,36862078,36862079,36983203,36983355,37392836,37838298,37838305,38096856,38197680,39932211,39943833,40118495,40776881,40833719,40834094,40936510,41171303,41171611,41381926,41381930,41381956,41381969,41381974,41382021,41382037,41382048,41382050,41382063,41382065,41382066,41382067,41414176,41565469,43137511,43303917,43312372,43994484,441716179,44807020,462650164,46984433,47006773,47183565,48528180,48847308,49213173,49213174,49213209,54312635,54312803,54750746,54750756,54753594,55286775,606346646,653682617,653682630,662750817,662750819,662750821,673459827,673748731,674119834,680977772,681004077,684896313,684896327,684896617,685523035,685523036,685532414,741108552,758556445,75966604,7802037,808824380,822639623,882562260,9438671,954425546
G06008701001001,,,,,,,,1.33,2.01,,2.42,2.42,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,1.71,,,,,,,,,,,,,2.43,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,
G06008701001002,,,,,,,,1.02,0.0,,0.53,0.53,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,0.35,,,,,,,,,,,,,0.92,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,
G06008701002001,,,,,,,,,1.46,,1.23,1.23,,,1.23,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,1.16,,,,,,,,,,,,,0.65,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,
G06008701002002,,,,,,,,0.33,0.94,0.74,1.35,1.35,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,1.02,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701002003,,,0.55,,,,,0.0,,0.41,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,1.13,0.51,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82
G06008701002004,,,1.11,,,,,0.85,,1.01,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.74,0.38,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
G06008701002005,,,2.79,,,,,2.47,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,2.34,2.06,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,
G06008701002006,,,1.17,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,1.1,,,,,,,,,,,,,1.15,0.54,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,
G06008701002007,,,1.09,,,,,1.25,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.46,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.55,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,
G06008701003001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,3.62,,,1.63,,,,,3.73,3.7,,,,,,,,,,3.03,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,
G06008701003002,,,,,,,1.22,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,1.06,,,,0.87,,,2.41,,,,,0.98,0.95,1.12,,,,,,,,,0.62,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701004001,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,2.92,,,,2.08,,,4.27,,,,,2.19,2.16,2.91,,,,,,,,,2.48,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701004002,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,2.44,,,,0.74,,,3.79,,,,,0.85,0.82,,,,,,,,,,2.0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
G06008701004003,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,,,,,,3.74,,,,2.13,,,5.09,,,,,2.24,2.21,,,,,,,,,,3.3,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701005001,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,1.01,,1.28,1.26,0.88,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.94,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701005002,,,,,,0.94,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,1.44,,1.14,1.11,1.31,,,,,,,,,1.43,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701005003,,,,,2.32,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,2.13,,1.59,1.56,2.03,,,,,,,,,1.88,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701006001,0.77,,,,,0.59,0.33,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,0.68,,,,,0.75,,,,,,,,,0.12,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701006002,,,,,,0.3,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,0.79,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.74,0.86,,,,,,,,0.82,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701006003,,,,,,0.54,0.87,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,1.33,1.3,0.66,,,,,,,,,0.83,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701007001,0.77,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,0.97,,,,,0.73,,,,,,,,,,,,,,0.76,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,1.26,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,
G06008701007002,0.32,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,0.21,,,,,,,,,,,,,,0.54,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.63,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,
G06008701008001,,,0.41,,,,,0.64,,0.39,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.64,0.87,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
G06008701008002,,,1.09,,,,,,,1.07,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,1.07,,,1.15,1.08,,1.05,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66
G06008701008003,,,0.66,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,0.63,0.02,0.44,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,0.85
G06008701008004,0.72,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.72,,,,,,,,,0.34,,,,0.65,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76
G06008701008005,0.92,,0.85,,,,,,,0.83,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,0.9,0.67,,0.85,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
G06008701008006,,,0.8,,,,,0.96,,0.77,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,0.85,0.89,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
G06008701009001,,,1.21,,,,,,,1.19,,,,0.57,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,0.66
G06008701009002,,,0.68,,,,,0.76,,0.66,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.91,1.13,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
G06008701009003,,,1.12,,,,,1.2,,1.1,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,1.18,1.25,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
G06008701009004,,,,,,,,,,,,,,1.01,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,1.64,,1.39,,,,,,,,,,,2.16,,,,,,2.15,2.14,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
G06008701009005,1.38,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,0.6,,,,1.18,,1.27,,,,,,,,,,1.38,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85
G06008701010001,0.24,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.12,,,,,,,,0.73,0.68,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,0.78,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010002,0.2,,,,,,0.34,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,0.53,,,,,0.22,0.17,,,,,,,,0.45,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010003,0.41,,,,,,0.13,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0.63,,,,,0.43,0.31,,,,,,,,0.23,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010004,1.05,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.93,,,,,,,,,0.35,,,,,,,,,,,,,,,,1.05,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,1.39,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010005,,,,,,0.32,0.34,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,0.68,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.35,,,,,,,,,0.59,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010006,,,,,,0.83,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,0.54,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.53,,,,,,,,,0.89,1.07,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701010007,0.62,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.5,,,,,,,,,0.43,,,,1.04,,,,,,,,,,,,0.62,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701011001,,,,,0.65,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.93,0.56,,,,,,,,0.62,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701011002,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,1.11,,,,0.85,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.55,0.88,,,,,,,,0.18,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701011003,,,,,0.81,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.57,0.61,,,,,,,,0.59,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701011004,,,,,1.34,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.15,1.26,,,,,,,,0.96,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701011005,,,,,,0.24,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,0.78,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.42,0.85,,,,,,,,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701012001,,,,,0.73,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,0.59,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.4,0.66,,,,,,,,1.45,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701012002,,,,,0.21,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,1.17,0.13,,,,,,,,1.05,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701012003,,,,,0.67,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,0.96,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.06,0.89,,,,,,,,1.94,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008701101001,,,,,,,,,,,,,,,,,0.23,,0.73,0.63,0.85,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,1.99,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,1.17,,,,,,,,,,,,,,,,,,,0.74,,
G06008701101002,,,,,,,,,,,,,,,,,0.48,,0.98,0.88,1.09,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,2.14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1.41,,,,,,,,,,,,,,,,,,,0.98,,
G06008701101003,,,,,,,,,,,,,,,,,0.85,,1.36,1.26,1.42,,,,,,,,,,1.35,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.73,,,,,,,,,,,,,,,,,,,1.3,,
G06008701101004,,,,,,,,,,,,,,,,,1.42,,1.75,1.82,2.04,,,,,,,,,,1.25,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,2.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,2.0,,
