,107938000,107938060,107938072,178280526,186035189,238196639,238795493,253422053,267606286,377679439,446306273,453364832,458120791,458143311,458290344,458330405,458637681,458726774,459027800,459343375,459343387,459990606,459996994,460186027,463034036,464252314,464523362,465348378,465348379,465838510,465844559,469328898,469351138,469358245,469806389,469810356,469882451,472461912,485954282,487921231,494765619,494766534,506051838,506051839,506051840,506051841,506169173,507825223,510034456,511582123,512795514,515127330,518468338,519946736,543801788,543997641,544433663,548368881,548999253,551913325,553697208,554190373,560997826,561946573,564320640,564540770,564547095,568866671,588652853,592312174,616466657,618737278,635992118,636246884,636246885,636246886,674376082,683343187,736680143,772092242,773820991,775221702,775444335,776192691,776391546,777266779,777266780,779529214,781778195,792375503,796379027,852164355,854057971,892824697,896439867,98569443
G06008900101001,,,,,0.85,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,0.29,,,,0.94,,,,,,,,,,,,0.47,,,,0.89,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.38,,,,,,,,,,,,,,
G06008900101002,,,,,0.8,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,0.38,,,,,,,,,,,,1.05,,,,1.02,1.06,,,,,,0.62,,,,,,,,,,,,,,,,,,,,0.54,0.48,,,,,,,,,,,,,,
G06008900102001,,,,,0.34,,0.66,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,1.13,,,,1.37,,,,,,,,,,,,,,,,,1.3,,,,,,0.98,,,2.49,,,,,,,,,,,,,,,,,1.13,0.8,,,,,,,,,,,,,,
G06008900103001,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,1.1,,,,,,,,,,,4.96,,,,,,,,,,,,,,,,,,,,1.24,,1.83,,0.35,0.4,,,2.15,,,,,,,,,1.1,,,,,1.16,,,,,,,,,,,,
G06008900103002,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,1.79,,,,,,,,,,,,2.43,2.35,2.35,,,,,,,,,,,,,,,,,,,2.52,,1.04,0.98,,,,,,,,,,,,1.79,,,,,1.46,,,,,,,,,,,,
G06008900104001,,,,,1.24,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,0.43,,,,,,,,,,,,,,,,1.67,1.62,,1.68,,,,0.64,,,,,,,,,,,,,,,,,,,,1.2,0.96,,,,,,,,,,,,,,
G06008900104002,,,,,1.86,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,6.12,,,,,,,,,,,,,,,,,,,1.33,2.29,,,,,,1.71,,,,,,,,,,,,,1.79,1.66,,,,,,,1.8,,,,,,,
G06008900104003,,,,,,,,,1.54,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,4.05,4.48,,,,,,,,,,,,,,,,,,,,4.27,,,,,,1.3,4.26,,,,,,,,,,,,,,,,3.31,,,2.0,1.66,,,,,,,
G06008900104004,,,,,,,,,1.94,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,3.77,4.2,,,,,,,,,,,,,,,,,,,,4.72,,,,,,1.07,3.98,,,,,,,,,,,,,,,,3.03,,,2.45,2.1,,,,,,,
G06008900105001,,,,,,,,,,,,,,,,0.72,,,,,0.7,,,,,,,,,,,,,0.48,,,,,0.63,,,,,,,,,,,0.37,,0.84,0.62,0.31,0.86,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900105002,,,,,,,,,,,,,,,,1.26,,,,,1.69,,,,,,,,,,,,,1.31,,,,,0.43,0.81,,,,,,,,,,1.35,1.43,0.8,,0.75,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900105003,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,1.07,0.55,,,,,,,,,,,1.01,,,,0.73,1.36,,0.55,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.03,,,,,,,,,,,,,,
G06008900106011,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,3.12,,,,,2.24,1.78,,,,,,,,,,3.16,3.07,2.58,,2.56,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,,,
G06008900106012,,,,,,,,,,,,,,,,2.07,,,,2.51,2.66,,,,,,,,,,,,,,,,,,1.41,0.94,,,,,,,,,,,2.23,1.74,2.58,1.72,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900106021,,,,,,,,,,,,,,,,,,,,2.11,0.51,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,0.31,0.7,,0.04,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,1.42,1.35,,,,,,,,,
G06008900106022,,,,,,,,,,,,,,,,0.97,,,,1.01,2.18,,,,,,,,,,,,,,,,,,2.18,1.6,,,,,,,,,,,1.14,1.7,1.88,1.86,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900106023,,,,,,,,,,,,,,,,1.08,,,,1.53,1.74,,,,,,,,,,,,,,,,,,1.32,0.86,,,,,,,,,,,1.25,0.44,1.66,1.23,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900106024,,,,,,,,,,,,,,,,1.79,,,,2.23,2.98,,,,,,,,,,,,,,,,,,2.1,1.58,,,,,,,,,,,1.95,1.68,2.7,2.42,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900106031,,,,,,,,,,,,,,,,2.93,,,,3.37,4.13,,,,,,,,,,,,,,,,,,3.91,3.21,,,,,,,,,,,3.09,3.31,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,4.82,,,,,,,,,,
G06008900106032,,,,,,,,,,,,,,,,3.06,,,,3.51,4.26,,,,,,,,,,,,,,,,,,4.04,3.34,,,,,,,,,,,3.23,3.44,3.97,3.95,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900107021,,,,,,,,,,,,,,,,,,,,3.69,,,,,,,,,,,,1.02,,1.71,,,,,,,,,,,,,,,,1.67,,,2.03,,1.5,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,1.09,1.02,,,,,,,,,
G06008900107022,,,,,,,,,,,,,,,,5.12,,,,6.36,4.93,,,,,,,,,,,3.69,,,,,,,,,,,,,,,,,,,5.25,5.33,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,3.22,3.3,,,,,,,,,
G06008900107031,,,,,,,,1.78,,,,,,,,,,,0.64,,,,,,,,,,,1.86,,,,,,,,,,,,,2.85,2.77,2.77,2.77,,,1.17,,,,,,,1.16,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900107032,,,,,3.07,,3.39,,,,,,,,,,,,1.76,,,,,,,,,,,0.85,,,,,,,,,,,,,1.93,1.85,1.85,1.85,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,
G06008900107041,,,,,,,,2.96,,,,,,,,,,,1.82,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,3.14,,0.85,,,,,,,0.4,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,2.92,,,2.99,2.92,,,,,,,,,
G06008900107042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,0.98,,2.33,,,,,,3.56,2.32,,,,,,,2.33,,,,,,,,,,,,,,,,,1.07,,,3.79,,,3.86,3.79,,,,,,,,,
