,178204934,178252188,178552253,288133446,288133448,316401339,431616362,431616363,523521755,524552492,585049763,585049841,586132095,652140721,686745058,755296674,759292378,800866908,802240749,823636356,834382028,834382030,835829995,895766850,HD9
G06009300001001,,,64.53,33.67,33.59,84.8,85.41,84.99,71.8,,,,,,,,,,,75.47,,,,86.24,77.02
G06009300002001,,,,11.27,11.35,45.66,46.27,45.85,40.25,,,,,,72.78,,,,,43.93,,,,52.14,45.47
G06009300003001,,,,41.31,41.4,19.65,20.38,19.95,32.05,,,46.85,,,45.49,,,,,,,36.27,,15.49,
G06009300003002,,,,,,11.2,11.92,11.5,,,,40.11,,,38.31,,,,28.03,,28.18,27.81,27.67,13.45,
G06009300003003,35.01,,,,,20.25,20.86,20.44,21.28,,,,,34.76,,,34.95,,,24.95,,,,29.02,26.5
G06009300004001,,,,63.09,63.18,24.24,25.18,24.76,,,48.52,33.02,,,31.66,,,,,,,41.08,,9.86,
G06009300005001,,,,,,50.06,50.65,50.37,,14.04,5.63,21.47,14.16,,22.84,,,,,,,47.44,,55.03,
G06009300005002,,,,,,,,,,1.61,20.64,36.47,1.73,,37.84,,,,62.2,,62.05,62.44,62.56,70.03,
G06009300005003,,,,,,,108.06,,,44.03,63.05,78.88,44.14,,80.26,,,,96.24,,96.26,96.48,96.34,,
G06009300006001,,,,,,20.99,20.1,20.18,,,39.65,33.59,,,34.96,,,,6.47,,6.32,6.71,6.83,,
G06009300007011,,,,,,6.74,5.86,5.94,24.72,,,,,,33.51,,,,20.86,,21.01,20.64,20.5,20.12,
G06009300007012,,,,,,8.57,9.16,8.88,,,,20.5,,,18.7,,,,26.01,,26.16,25.79,25.65,18.49,
G06009300007013,,,,,,9.17,8.28,8.36,27.34,,,,,,,,,,20.65,27.56,20.8,20.44,20.29,,27.32
G06009300007014,,,,,,24.19,23.3,23.38,20.16,,,,,,,,,,30.32,16.66,30.35,30.56,30.43,,16.42
G06009300007021,,,,,,2.01,0.69,1.06,,,,30.29,,,28.5,,,,17.28,,17.43,17.06,16.92,16.43,
G06009300007022,,,,,,1.78,1.83,1.41,,,,30.35,,,28.55,,,,17.94,,18.09,17.72,17.58,15.56,
G06009300007031,,,,,,0.94,0.61,0.33,,,,29.05,,,27.25,,,,17.46,,17.61,17.25,17.1,15.6,
G06009300007032,,,,,,0.58,0.96,0.68,,,,28.9,,,27.1,,,,17.82,,17.97,17.6,17.46,15.53,
G06009300007033,,,,,,0.7,1.7,1.42,,,,29.02,,,27.23,,,,18.54,,18.69,18.33,18.18,15.74,
G06009300008001,,,,,,29.36,28.47,28.55,,,49.77,43.7,,,45.08,,,,11.66,,11.69,11.9,11.77,,
G06009300008002,,,,,,29.43,28.54,28.62,,,,43.77,,,45.14,,,,11.73,,11.75,11.97,11.83,,43.98
G06009300008003,,,,,,,57.54,,,80.21,78.84,72.77,80.33,,74.14,,,,40.73,,40.75,40.97,40.84,,
G06009300009001,10.58,17.53,22.08,,,,,,3.52,,,,,10.32,,19.16,10.51,18.99,,0.78,,,,,2.06
G06009300009002,12.33,19.46,,,,,,,10.21,,,,,12.26,,21.09,12.27,20.92,,6.54,,,37.41,,4.99
G06009300009003,10.12,17.07,21.62,,,,,,4.24,,,,,9.86,,18.7,10.06,18.53,,0.85,,,,,1.6
G06009300009004,20.55,27.5,,,,24.07,23.18,23.26,6.81,,,,,20.29,,,20.48,,,10.48,,,,,12.03
G06009300009005,8.47,15.42,19.97,,,,,,5.61,,,,,8.22,,17.05,8.41,16.88,,1.94,,,,,1.04
G06009300009006,10.44,17.39,21.94,,,,,,3.91,,,,,10.19,,19.02,10.38,18.85,,0.44,,,,,1.93
G06009300010001,0.9,7.91,12.4,,,,,,13.56,,,,,1.27,,9.54,0.83,9.38,,9.89,,,,,9.17
G06009300010002,1.2,8.37,12.69,,,,,,13.53,,,,,0.43,,10.0,1.14,9.84,,9.86,,,,,9.14
G06009300010003,1.12,7.77,12.1,,,,,,14.02,,,,,1.01,,9.4,1.05,9.24,,10.35,,,,,9.63
G06009300010004,16.64,23.59,28.14,,,,,,2.91,,,,,16.39,,25.22,16.58,25.05,,6.58,,,,,8.13
G06009300010005,19.82,24.43,29.15,,,,,,32.5,,,,,20.11,,26.11,19.76,25.94,,28.83,,,,,28.11
G06009300011001,10.86,15.47,20.19,,,,,,23.54,,,,,11.15,,17.15,10.79,16.98,,19.87,,,,,19.15
G06009300011002,8.66,1.68,11.78,,,,,,21.32,,,,,8.84,,2.73,8.59,2.57,,17.65,,,,,16.93
G06009300011003,9.05,1.19,12.97,,,,,,21.71,,,,,9.23,,0.6,8.99,0.44,,18.04,,,,,17.32
G06009300012001,35.35,35.42,23.28,,,,,,48.06,,,,,35.5,,36.47,35.28,36.3,,44.38,,,,,43.66
