,106610217,106610297,112746734,112748276,116268231,121347781,151326395,178352226,193849643,195463192,195463195,195463215,195463236,195463246,195463249,195463272,195463282,195463289,195463312,195463335,195463378,195463401,195463409,195463411,195463503,1967292,237994252,238128685,238128686,238130018,238130025,239147680,240216882,261183211,261477840,272224861,273804084,274704090,274714293,279275102,281757473,281972139,284577883,284578059,284658526,284658527,307063692,307063759,318174614,330700863,330970249,330970265,330970314,344189632,35073459,352169992,35285827,353893611,375009814,375011811,375012179,375012372,393293673,393312620,416476759,442588084,447537123,453453554,453453555,460142773,484987523,498111400,498978787,500792236,522998648,544299977,544907998,544908003,544908009,545103161,545956805,546245486,547321963,556619044,564790532,564790533,564790534,565275314,565275326,565275349,565624441,565843862,565843870,566414987,566414998,567618963,568837643,574259698,574259979,574260373,574612473,574612479,576941989,605780527,640354885,675557972,690889877,691908350,691908353,691924018,691924020,691924031,691924034,691942964,691942978,692359155,693686593,699519757,699519758,699519855,708693961,721037770,722008965,735387807,771525362,771525363,777207288,778685261,779792787,782894949,784079888,7851877,792379185,793301549,793388297,794678180,798190499,798197815,798197840,832653846,832704560,863721376,889987606,889987607,945216838
G06009701501001,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,3.63,,,,4.51,3.42,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.63,,,2.93,3.14,2.87,,,,,,
G06009701501002,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,6.34,,,,,,,,,,,,6.04,6.33,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,6.6,,4.99,5.37,5.61,,,,,,
G06009701501003,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,13.25,,,,,,,12.9,,,,,12.95,,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.9,,,11.89,12.28,12.51,,,,,,
G06009701502021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,1.43,0.52,,,,1.56,0.47,1.13,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,1.41,1.03,,,,,,
G06009701502022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,0.27,0.97,,,,0.19,1.02,0.36,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.68,,,1.31,,,,,,,
G06009701502023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,3.31,,,,4.19,3.1,3.77,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,3.31,,,,4.02,3.52,,,,,,
G06009701502024,,,,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,4.27,3.75,,,,4.4,3.8,3.97,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4.49,6.01,,,,,,,,,
G06009701502025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,0.51,1.37,,,,0.6,1.42,0.76,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,0.6,1.33,,,,,,,,,
G06009701502031,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,1.61,,,,,,,,,,,,1.56,1.73,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,2.12,,0.5,0.77,1.12,,,,,,
G06009701502032,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,2.23,,,,,,,1.88,,,,,1.93,2.22,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,0.87,1.26,1.49,,,,,,
G06009701502033,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,0.68,,,,,,0.96,,,,,1.09,,0.84,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,1.19,,1.14,0.75,,,,,,,
G06009701502041,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,0.33,,,,,0.37,0.78,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.33,,,0.68,0.57,0.44,,,,,,
G06009701502042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,0.82,0.8,,,,0.95,,0.52,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.8,1.04,,,0.68,,,,,,,
G06009701502043,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,1.42,,,,2.3,1.21,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.42,,,1.15,1.04,0.66,,,,,,
G06009701503031,,,,,,,,,,,,,,,4.5,,,,,,,,,,,5.55,,,,,,3.7,,,,,,4.07,,,,,4.2,,3.94,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,3.16,,4.67,,,,,,,
G06009701503032,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,6.25,,,,,,6.43,7.11,,,,6.51,,6.5,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,6.16,4.77,,,,,,,,,
G06009701503033,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,2.01,,,,,,2.35,2.87,,,,2.43,,2.26,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.22,,2.98,,,,,,,
G06009701503034,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,,,,,2.45,,,,,,2.73,,,,,,,2.61,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.49,,2.22,2.32,2.83,,,,,,
G06009701503041,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,2.85,,,,,,3.03,3.72,,,,3.11,,3.1,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,2.77,1.38,,,,,,,,,
G06009701503042,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,2.02,,,,,,2.19,2.88,,,,2.27,,2.26,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,1.93,0.45,,,,,,,,,
G06009701503043,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,1.64,,,,,,1.81,2.5,,,,1.9,,1.88,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.55,0.43,,,,,,,,,
G06009701503044,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,1.09,,,,,,1.47,1.96,,,,1.59,,1.34,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,1.01,0.89,,,,,,,,,
G06009701503051,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,4.22,,,,,,4.05,4.86,,,,4.13,,4.25,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,3.88,2.89,,,,,,,,,
G06009701503052,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,1.92,,,,,,1.75,2.56,,,,1.83,,1.94,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,1.58,1.41,,,,,,,,,
G06009701503053,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,2.74,,,,,,2.57,3.39,,,,2.65,,2.77,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,2.41,1.41,,,,,,,,,
