,163348416,163348418,163755246,165796007,165797937,177228755,179048964,179069430,179238219,179238220,200523432,232198966,232385663,281221369,295540703,297137669,297309624,297486652,297486827,297488206,303720214,393170636,393170640,404489035,41157479,414228506,414283664,414295984,420431652,426257036,456519543,461207303,461517448,461764828,461764829,471773647,471773658,471783069,471783073,477835113,479820556,480258766,480690138,495954740,521738406,521738417,521738418,521738419,532646121,575174953,585187059,585628874,585628875,589566126,62203167,62203478,62203658,62232486,62238217,62240098,62242840,62244864,632307395,632308005,685589105,700607855,700607857,70799844,70925027,739459889,739459900,740526469,798941237,83069708,83069817,838909472,883972799,954013199,954013209,96328169,973233930
G06009900001011,,,,,,,,,,16.35,,,,,,,,,,,,,,15.92,,,,,,7.0,,,,,,6.46,7.15,7.02,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,15.94,16.23,,
G06009900001012,,,,,,,,,,20.25,,,,,,,,,,,,,,19.81,,,,,,10.89,,,,,,10.35,11.04,10.91,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,19.83,20.12,,
G06009900001013,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,5.02,,,,,,4.48,5.18,5.05,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,,,,6.33,,,,,,13.09,13.42,,
G06009900001014,,,,,,,,,,,,,,,,,,,,,,,,8.53,,,,,,4.57,,,,,,4.03,4.72,4.59,4.65,,,,,,,,,,,,,,,,9.35,,,,,,,,,,,,,,,,,5.88,,,,,,9.52,9.85,,
G06009900001021,,,,,,,,,,7.34,,,,,,,,,,,,,,6.92,,,,,,4.25,,,,,,4.64,4.96,4.12,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,6.94,7.22,,
G06009900001022,,,,,,,,,,13.06,,,,,,,,,,,,,,12.63,,,,,,3.94,,,,,,4.32,3.82,3.81,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,12.64,12.94,,
G06009900001023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24,,,21.13,,,11.63,11.87,11.1,11.15,,,,,,,,,,,,,20.44,20.38,,,,,,,,,,,,,,,,,,,10.46,,,,,,,17.48,,
G06009900002011,,,,,,,,,,8.14,,,,,,,,,,,,,,7.7,,,,,,1.9,,,,,,2.29,2.88,1.88,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,,,7.72,8.01,,
G06009900002012,,,,,,,,,,8.35,,,,,,,,,,,,,,7.91,,,,,,2.48,,,,,,2.87,3.46,2.47,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,,,7.93,8.23,,
G06009900002013,,,,,,,,,,9.59,,,,,,,,,,,,,,9.15,,,,,,0.31,,,,,,0.38,0.81,0.45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,9.17,9.47,,
