,507853540,559650648,654061345,669891146,669891176,690977682,707998234,707998241,761969061,762564639,766832942,766832948,766840636,800178550,946660573,962405152,962405155,962417675
G06010300001001,31.32,,,,,28.29,30.96,,,33.43,31.72,,32.12,,31.39,31.78,31.78,32.0
G06010300001002,,,,81.91,81.86,61.61,,,,66.75,65.04,65.0,65.44,,64.71,65.1,65.1,
G06010300001003,,8.88,,,,6.57,,,8.42,10.16,8.45,8.41,8.85,,8.11,8.51,8.51,
G06010300001004,6.15,,,,,3.9,5.79,6.22,,,6.55,6.51,,,6.21,6.61,6.61,6.83
G06010300002001,19.53,,19.15,,,21.44,19.61,19.53,20.63,,20.66,20.62,,19.62,,,,18.54
G06010300002002,13.04,,12.65,,,14.94,13.11,13.03,14.13,,14.16,14.12,,13.12,,,,12.05
G06010300002003,13.13,,13.44,,,14.8,13.2,13.21,14.22,,,14.21,,13.35,13.93,,,12.53
G06010300003001,26.06,26.59,25.91,,,,25.99,25.99,26.49,,,26.48,,25.99,,,26.46,27.33
G06010300003002,,32.33,,23.39,23.14,,,,32.66,31.85,32.78,32.63,32.55,,,32.52,32.52,
G06010300004001,8.46,,8.76,,,10.13,8.53,8.53,9.55,,,9.54,,8.68,9.26,,,7.86
G06010300004002,9.5,10.03,9.35,,,,9.43,9.43,9.93,,,9.91,,9.43,,,9.9,10.94
G06010300004003,10.25,,9.86,,,,10.32,10.24,11.34,,11.37,11.33,,10.33,,,11.43,9.26
G06010300005001,2.16,,1.71,,,,2.52,2.09,3.39,,3.43,3.38,,2.18,3.76,,,3.17
G06010300005002,1.19,,1.46,,,3.48,1.27,1.26,2.29,,,2.28,,1.39,2.3,,,0.36
G06010300005003,0.56,,0.83,,,,0.63,0.63,1.65,,1.68,1.64,,0.76,1.49,,,1.29
G06010300005004,0.54,,1.1,,,,0.18,0.61,1.06,,1.09,1.05,,0.75,1.14,,1.15,
G06010300005005,0.65,,0.1,,,,1.01,0.58,1.89,,1.92,1.87,,0.58,,,1.98,1.82
G06010300006001,2.04,,,,,1.77,1.69,2.12,2.42,,2.45,2.41,,,2.11,2.51,2.51,
G06010300006002,2.83,,3.38,,,1.98,2.47,2.9,3.2,,,3.19,,3.04,2.89,,,3.51
G06010300006003,3.81,,,,,1.74,3.46,3.88,4.18,,4.21,,,4.03,3.88,4.28,,4.5
G06010300007001,1.2,1.73,1.36,,,,1.13,1.13,1.63,,1.66,1.62,,1.13,,,1.6,
G06010300007002,,0.88,,,,,0.97,,0.05,,0.45,0.41,0.85,1.4,1.42,0.51,0.51,
G06010300007003,1.43,1.38,,,,,1.07,,1.31,,1.13,1.18,1.07,,0.17,1.08,1.08,
G06010300007004,,0.75,,,,,2.06,,1.41,2.38,1.2,1.05,0.7,,1.03,0.95,0.95,
G06010300007005,,1.9,,,,,2.31,,1.8,,1.96,1.81,2.02,2.3,2.62,1.77,1.77,
G06010300008001,,6.77,,,,,7.47,,6.96,4.19,6.56,6.61,6.5,,6.23,6.51,6.51,
G06010300008002,,8.53,,,,,9.73,,9.18,6.45,8.81,8.83,8.75,,8.49,8.72,8.72,
G06010300008003,,11.29,,7.47,7.36,,,,,10.52,11.73,11.58,11.51,,12.32,11.48,11.48,
G06010300008004,,9.71,,,,,10.42,,9.9,7.14,9.5,9.56,9.45,,9.18,9.45,9.45,
G06010300009001,,13.01,,7.19,7.43,,,,,10.43,12.8,12.85,12.74,,12.47,12.75,12.75,
G06010300009002,,13.21,,10.04,10.29,,,,,10.63,13.0,13.05,12.94,,12.67,12.95,12.95,
G06010300009003,,22.68,,12.39,12.5,,,,,20.11,22.47,22.53,22.42,,22.15,22.42,22.42,
G06010300010001,,27.17,,9.73,9.84,,,,,24.6,26.96,27.01,26.9,,26.64,26.91,26.91,
G06010300010002,,22.55,,5.25,5.36,,,,,19.97,22.34,22.39,22.28,,22.01,22.29,22.29,
G06010300010003,,18.75,,1.34,1.45,,,,,16.18,18.54,18.59,18.49,,18.22,18.49,18.49,
G06010300010004,,16.78,,0.95,1.2,,,,,14.2,16.57,16.62,16.51,,16.24,16.52,16.52,
G06010300010005,,16.22,,4.89,5.14,,,,,13.64,16.01,16.06,15.95,,15.68,15.96,15.96,
G06010300011001,,14.76,,3.84,3.73,,,,,14.28,15.21,15.05,14.98,,15.79,14.95,14.95,
G06010300011002,,16.57,,1.1,0.99,,,,,15.66,16.54,16.59,16.48,,16.21,16.49,16.49,
G06010300011003,,21.56,,5.62,5.37,,,,,20.76,21.54,21.6,21.49,,21.22,21.49,21.49,
G06010300011004,,17.81,,1.75,1.5,,,,,16.9,17.78,17.83,17.72,,17.45,17.73,17.73,
G06010300011005,,17.36,,0.31,0.2,,,,,15.34,17.33,17.38,17.27,,17.0,17.28,17.28,
G06010300011006,,18.78,,1.27,1.24,,,,,16.41,18.74,18.79,18.68,,18.41,18.69,18.69,
