,181367758,199360918,199458468,199458469,199481072,199483336,200689634,200689638,201871034,202537178,203213296,203234588,203234589,203234591,203234592,203344808,203346433,203346856,203347702,229367195,241600795,242224153,242229708,242231047,2727371,44581269,44581434,583275846,770775007,925224134
G06010700001001,,,,,,,,,58.05,37.59,,52.46,52.11,52.71,52.6,,54.07,,53.63,24.44,,,,,54.38,,,,,
G06010700001002,,,,,,,,,30.03,23.35,42.72,37.5,36.91,37.74,37.64,,,,39.39,32.15,,,,,40.14,,,,,
G06010700001003,,,,,,,,,14.66,16.67,25.13,19.77,19.18,20.02,19.91,,,,22.36,26.09,,,,,22.75,,,,,
G06010700001004,,,,,,,,,,14.41,,29.27,28.92,29.52,29.41,31.62,30.88,31.45,30.44,,,,,,31.19,,,,,
G06010700001005,,,,,,,,,,17.86,,32.72,32.37,32.97,32.86,,34.33,,33.89,4.7,,,,,34.64,35.23,,,,
G06010700002011,,,,,,,,,2.03,25.99,18.17,15.93,16.37,15.87,15.8,,,,16.05,35.41,,,,,16.13,,,,,
G06010700002012,,,,,,,,,1.99,25.55,18.2,15.95,16.4,15.9,15.83,,,,16.08,34.97,,,,,16.16,,,,,
G06010700002013,,,,,,,,,1.39,24.92,17.6,15.36,15.81,15.3,15.23,,,,15.48,34.34,,,,,15.56,,,,,
G06010700002014,,,,,,,,,1.58,25.53,17.72,15.47,15.92,15.42,15.34,,,,15.59,34.95,,,,,15.67,,,,,
G06010700002015,,,,,,,,,1.13,25.09,17.27,15.03,15.47,14.97,14.9,,,,15.15,34.51,,,,,15.23,,,,,
G06010700002021,,,,,,,,,3.02,23.06,19.22,15.45,14.39,15.69,15.59,,,,17.08,32.48,,,,,17.18,,,,,
G06010700002022,,,,,,,,,8.5,32.5,24.71,22.46,22.91,22.41,22.34,,,,22.59,41.92,,,,,22.67,,,,,
G06010700002023,,,,,,,,,3.64,27.6,19.78,17.53,17.98,17.48,17.41,,,,17.66,37.01,,,,,17.74,,,,,
G06010700003011,,,,,,,,,12.89,33.07,17.4,21.9,22.87,21.85,21.77,,,,20.43,,,,,,19.53,18.98,,,,
G06010700003012,,,,,,,,,4.27,28.22,17.11,18.08,18.57,18.02,17.95,,,,17.75,37.64,,,,,17.45,,,,,
G06010700003013,,,,,,,,,11.56,35.44,20.68,25.18,25.78,25.12,25.05,,,,23.71,,,,,,22.81,22.26,,,,
G06010700003014,,,,,,,,,5.88,26.01,14.88,15.85,16.34,15.79,15.72,,,,15.52,35.43,,,,,15.22,,,,,
G06010700003015,,,,,,,,,10.5,31.92,17.95,21.76,22.25,21.7,21.63,,,,21.14,,,,,,20.08,19.93,,,,
G06010700003016,,,,,,,,,9.06,32.94,19.28,22.78,23.28,22.73,22.65,,,,,42.36,,,,,21.4,21.25,,,,
G06010700003021,,,,,,,,,12.96,28.54,13.52,17.36,18.07,17.31,17.23,,,,16.72,,,,,,15.65,15.5,,,,
G06010700003022,,,,,,,,,12.15,30.3,15.29,19.13,19.84,19.08,19.0,,,,18.49,,,,,,17.42,17.27,,,,
G06010700003023,,,,,,,,,,,13.33,17.29,18.04,17.24,17.17,15.74,15.98,,16.41,,,,,,15.47,14.96,,,,
G06010700004011,,,,,,,,,7.57,31.5,19.24,21.34,21.83,21.28,21.21,,,,,40.92,,,,,20.71,20.56,,,,
G06010700004012,,,,,,,,,8.11,32.0,18.36,21.84,22.34,21.79,21.71,,,,,41.42,,,,,20.49,20.34,,,,
G06010700004013,,,,,,,,,8.0,31.9,18.26,21.74,22.23,21.68,21.61,,,,,41.32,,,,,20.38,20.23,,,,
G06010700004021,,,,,,,,,7.14,31.06,17.59,20.9,21.4,20.85,20.77,,,,,40.48,,,,,19.72,19.57,,,,
G06010700004022,,,,,,,,,7.49,31.41,18.17,21.25,21.75,21.2,21.13,,,,,40.83,,,,,20.29,20.14,,,,
G06010700004023,,,,,,,,,6.89,30.81,17.76,20.65,21.15,20.6,20.52,,,,,40.23,,,,,19.89,19.74,,,,
G06010700005011,,,,,,,,,6.28,30.2,17.44,20.04,20.53,19.98,19.91,,,,,39.62,,,,,19.41,19.26,,,,
G06010700005012,,,,,,,,,6.37,30.22,16.57,20.06,20.56,20.01,19.94,,,,,39.64,,,,,18.7,18.55,,,,
G06010700005013,,,,,,,,,5.84,29.69,17.15,19.53,20.03,19.48,19.4,,,,,39.11,,,,,18.91,18.76,,,,
G06010700005014,,,,,,,,,6.56,30.48,17.06,20.32,20.81,20.27,20.19,,,,,39.9,,,,,19.19,19.03,,,,
G06010700005021,,,,,,,,,6.17,30.01,16.09,19.85,20.35,19.8,19.73,,,,,39.43,,,,,18.22,18.07,,,,
G06010700006001,,,,,,,,,0.5,23.69,16.23,13.99,14.44,13.94,13.86,,,,14.11,33.11,,,,,14.19,,,,,
G06010700006002,,,,,,,,,0.66,24.69,16.88,14.63,15.08,14.58,14.51,,,,14.76,34.11,,,,,14.84,,,,,
G06010700006003,,,,,,,,,0.33,24.13,16.32,14.07,14.52,14.02,13.94,,,,14.2,33.55,,,,,14.28,,,,,
G06010700006004,,,,,,,,,3.39,20.8,15.98,12.64,12.13,12.58,12.51,,,,13.83,30.22,,,,,13.94,,,,,
G06010700007011,,,,,,,,,,6.35,18.03,12.67,12.08,12.92,12.81,,15.72,,15.26,16.51,,,,,15.65,,,,,
G06010700007012,,,,,,,,,,5.98,18.59,13.23,12.88,13.47,13.37,,16.17,,15.71,16.72,,,,,16.21,,,,,
G06010700007021,,,,,,,,,,8.01,17.99,12.63,12.04,12.88,12.77,,15.68,,15.22,17.45,,,,,15.61,,,,,
G06010700007022,,,,,,,,,,7.51,17.6,12.24,11.65,12.49,12.38,,15.29,,14.83,16.96,,,,,15.22,,,,,
G06010700007023,,,,,,,,,,7.72,18.54,13.18,12.59,13.43,13.32,,16.23,,15.77,16.7,,,,,16.16,,,,,
G06010700007024,,,,,,,,,,7.16,17.98,12.62,12.03,12.87,12.76,,15.67,,15.21,16.32,,,,,15.6,,,,,
G06010700008001,,,,,,,,,10.01,15.33,14.82,9.47,8.82,9.71,9.61,,,,12.05,24.8,,,,,12.45,,,,,
G06010700008002,,,,,,,,,,10.22,13.29,7.94,7.35,8.18,8.08,,10.98,,10.52,,,,,,10.92,11.8,,,,
G06010700008003,,,,,,,,,,14.72,9.36,5.17,4.11,5.42,5.32,,7.25,,6.83,,,,,,7.18,8.07,,,,
G06010700008004,,,,,,,,,,13.22,10.87,5.65,4.59,5.9,5.8,,8.7,,8.27,,,,,,8.64,9.52,,,,
G06010700008005,,,,,,,,,,12.86,11.18,5.82,5.1,6.07,5.97,,8.87,,8.41,,,,,,8.81,9.69,,,,
G06010700008006,,,,,,,,,,12.83,10.03,4.67,4.06,4.91,4.81,,7.71,,7.25,,,,,,7.65,8.54,,,,
G06010700009001,,,,,,,,,,25.98,9.51,13.35,14.1,13.3,13.22,,12.3,,12.71,,,,,,11.64,11.49,,,,
G06010700009002,,,,,,,,,,19.21,6.11,7.07,7.6,7.02,6.95,,6.92,,6.75,,,,,,6.45,6.3,,,,
G06010700009003,,,,,,,,,,,7.2,12.04,13.01,11.99,11.91,9.33,9.57,,10.0,,,,,,9.25,8.55,,,,
G06010700009004,,,,,,,,,,,4.64,9.41,10.1,9.45,9.52,7.4,7.42,,7.83,,,,,,6.77,6.62,,,,
G06010700009005,,,,,,,,,,,5.14,9.91,10.61,9.95,9.88,7.9,7.93,,8.34,,,,,,7.27,7.12,,,,
G06010700010031,,,,,,,,,,,2.28,6.74,7.44,6.7,6.63,5.04,5.06,,5.47,,,,,,4.41,4.26,,,,
G06010700010032,,,,,,,,,,,3.85,4.41,5.51,4.36,4.29,3.93,3.68,,4.04,,,,,,3.03,3.72,,,,
G06010700010033,,,,,,,,,,,3.06,4.18,5.25,4.12,4.05,3.45,3.2,,3.61,,,,,,2.54,3.24,,,,
G06010700010034,,,,,,,,,,,2.26,3.88,4.58,3.92,4.02,2.77,2.52,,2.93,,,,,,1.86,2.45,,,,
G06010700010035,,,,,,,,,,,3.16,3.24,3.94,3.28,3.38,2.25,1.99,,2.32,,,,,,1.4,2.09,,,,
G06010700010041,,,,,,,,,,,4.75,2.54,3.64,2.49,2.41,3.45,2.74,,2.37,,,,,,2.65,3.54,,,,
