,128898341,242244610,381102035,421889290,486660731,492244312,552189619,552189750,552189858,552190237,552190419,554296702,554768296,554788426,554788428,554788430,582664381,708083874
G06010900011001,2.05,,,4.36,,3.74,,,,,,5.06,4.29,4.91,4.91,5.2,4.02,7.88
G06010900011002,1.61,,,3.04,,4.53,,,,,,3.74,2.97,3.59,3.59,3.88,4.81,7.43
G06010900011003,2.65,,,4.63,,4.01,,,,,,5.33,4.56,5.18,5.18,5.47,4.29,8.48
G06010900011004,0.6,,,3.9,,3.48,,,,,,4.6,3.83,4.25,4.25,4.74,3.8,6.43
G06010900012001,2.22,,,3.91,,5.4,,,,,,4.6,3.83,4.25,4.25,4.74,5.72,8.03
G06010900012002,0.72,,,3.37,,3.9,,,,,,4.07,3.3,3.72,3.72,4.21,4.22,6.54
G06010900012003,1.14,,,5.11,,4.29,,,,,,5.81,5.04,5.45,5.45,5.95,4.61,5.99
G06010900012004,0.9,,,4.72,,3.08,,,,,,5.41,4.64,5.06,5.06,5.55,3.4,6.77
G06010900021001,,23.49,35.43,,,,41.46,41.09,41.65,41.26,41.36,,,47.14,,46.78,,43.35
G06010900021002,6.54,,,3.69,,8.88,,,,,,3.55,3.61,3.06,3.06,2.7,9.17,12.17
G06010900021003,6.88,,,3.03,,9.02,,,,,,2.19,2.96,3.92,3.92,2.76,9.3,12.7
G06010900021004,5.15,,,1.3,,7.29,,,,,,1.17,1.23,2.52,2.52,0.32,7.57,10.97
G06010900021005,4.17,,,1.74,,5.94,,,,,,2.43,1.66,3.75,3.75,2.58,6.22,9.99
G06010900021006,5.17,,,2.74,,6.94,,,,,,3.43,2.67,4.75,4.75,3.58,7.22,10.99
G06010900022001,6.36,,9.06,10.28,,,,10.17,,,,10.98,10.21,10.63,10.63,11.12,,0.85
G06010900022002,,,9.25,,,,14.19,13.82,,13.99,14.09,15.63,,15.14,15.14,14.78,,11.48
G06010900022003,,,6.45,,,,8.74,8.37,8.93,8.54,8.64,,,12.43,12.43,12.07,,5.38
G06010900022004,10.4,,3.73,,,,8.85,8.48,9.04,8.65,8.75,,,10.47,10.47,,,6.68
G06010900022005,9.96,,5.99,,,,7.96,7.59,8.16,7.76,7.87,,,13.01,13.01,,,6.24
G06010900022006,6.96,,,,,,9.46,9.09,9.65,9.26,9.36,,,11.27,11.27,11.76,,4.53
G06010900022007,4.28,,,8.2,,7.63,,,,,,8.9,8.13,8.55,8.55,9.04,7.95,3.25
G06010900031001,,,2.1,,,,8.97,8.6,9.17,8.77,8.88,,,11.45,11.45,11.09,,7.66
G06010900031002,10.01,,2.64,,,,7.9,7.53,8.09,7.7,7.8,,,11.08,11.08,,,7.29
G06010900031003,,,2.11,,,,9.34,8.97,9.53,9.14,9.24,,,13.82,13.82,13.46,,10.03
G06010900031004,13.64,,3.18,,,,9.12,8.75,9.31,8.91,9.02,,,15.85,,15.49,,11.57
G06010900031005,,29.83,45.62,,68.55,,51.65,51.28,51.84,51.45,51.55,,,57.32,,,,53.53
G06010900032001,7.94,,4.77,,,,5.3,4.93,5.49,5.1,5.2,,,12.25,12.25,,,6.19
G06010900032002,12.45,,5.67,,,,3.91,3.54,4.11,3.71,3.81,,,16.76,16.76,,,13.25
G06010900032003,11.04,,6.0,,20.4,,2.5,2.13,2.69,2.3,2.4,,,15.35,,,,11.83
G06010900032004,25.75,34.42,20.29,,34.49,,16.55,16.5,16.75,16.66,16.49,,,,,,,26.54
G06010900032005,9.85,,8.09,,17.11,,0.9,1.17,0.64,1.0,1.2,,,14.16,,,,11.21
G06010900032006,9.64,,7.06,,18.39,,0.45,0.39,0.64,0.56,0.38,,,13.95,,,,10.43
G06010900041001,2.24,,,6.17,,4.5,,,,,,6.86,6.09,6.51,6.51,7.0,4.82,6.48
G06010900041002,3.52,,,,,5.49,7.29,6.92,,7.09,,,7.41,7.83,7.83,8.32,,5.39
G06010900041003,6.23,,6.38,,,,5.04,4.67,5.23,4.84,4.94,,,10.54,10.54,,,7.37
G06010900041004,8.49,,,,14.32,8.47,9.89,10.15,9.63,9.98,10.18,,,,,,8.46,13.58
G06010900042001,67.22,85.27,70.38,,47.55,,64.61,64.88,64.35,64.71,64.9,,,,,,,70.58
G06010900042002,24.15,,27.31,,6.54,24.63,21.54,21.8,21.28,21.63,21.83,,,,,,,27.51
G06010900042003,24.21,,27.37,,5.28,21.92,21.6,21.86,21.33,21.69,21.89,,,,,,,27.57
G06010900051001,8.04,,,7.53,,5.03,,,,,,8.23,7.46,8.97,8.97,8.37,4.81,13.91
G06010900051002,2.58,,,3.97,,3.23,,,,,,4.67,3.9,4.53,4.53,4.81,3.51,8.4
G06010900051003,3.64,,,6.38,,0.25,,,,,,7.07,6.31,6.93,6.93,7.22,0.55,9.51
G06010900051004,2.56,,,6.43,,3.1,,,,,,7.13,6.36,6.78,6.78,7.27,3.1,8.43
G06010900051005,7.18,,,10.05,,3.92,,,,,,10.75,9.98,10.6,10.6,10.89,3.91,13.05
G06010900051006,3.99,,,7.95,,5.84,,,,7.45,,,7.88,8.29,8.29,8.79,6.16,7.85
G06010900052011,14.45,,,17.16,,11.21,,,,,,17.85,17.08,17.71,17.71,17.99,10.78,20.32
G06010900052012,19.32,,,,24.15,16.08,27.48,27.11,27.67,27.28,27.38,,,,22.58,,15.65,
G06010909852021,12.96,,,15.66,,9.72,,,,,,16.36,15.59,16.22,16.22,16.5,9.28,18.83
