,166435596,166436530,195870835,221319847,222473836,223125608,223289015,223289016,237881575,250909848,294779081,305323076,310530911,32935535,32935760,35451682,35560444,37623738,444783776,444795487,444806139,444806750,464044699,473550865,477480658,480411836,481038146,481038440,481599042,481599050,481792976,481794537,481799727,482067952,482068034
G06001303601011,4.14,3.85,,,,,,,4.66,,4.58,,,,,,,,,4.99,,,,0.55,,3.43,,,,,4.58,4.58,4.65,,
G06001303601022,,5.76,,,,,,,,,6.48,,,7.66,7.28,,,,,6.9,,,,1.95,,5.33,,,,,6.49,6.49,6.56,,
G06001303602001,3.57,3.29,,,,,,,4.09,,4.02,,,,,,,,,4.43,,,,0.8,,2.86,,,,,4.02,4.02,4.09,,
G06001303602002,3.44,3.15,,,,,,,3.95,,3.88,,,,,,,,,4.29,,,,1.05,,2.73,,,,,3.88,3.88,3.95,,
G06001303602003,,3.83,,,,,,,,,4.56,,,5.85,5.35,,,,,4.97,,,,0.66,,3.41,,,,,4.56,4.56,4.63,,
G06001303610002,,,,,,,,,,,2.26,,,2.48,2.52,,,,,2.62,2.68,2.82,,3.65,,2.39,,,,,,2.31,1.82,,
G06001303610003,,,,,,,,,,,4.32,,,4.6,4.64,,,,,4.74,4.8,4.94,,3.26,,3.71,,,,,,4.36,3.94,,
G06001303630001,3.28,3.0,,3.96,,,,,4.44,,4.5,,,,,,,,,,,,,2.18,,3.33,,,,,4.48,4.5,4.58,,
G06001303630003,3.87,3.59,,4.55,,,,,,,5.08,,,,,,,,,,,,,2.73,,3.92,,,4.84,,5.07,5.09,5.17,,
G06001303650022,1.19,1.4,,1.9,1.75,,,,,,,,,,,,,0.89,1.48,,,,1.57,,,,1.46,1.48,,,,,,,1.92
G06001303650023,3.42,,4.3,,4.04,,,,,,,4.22,,,,4.52,,2.88,3.73,,,,3.87,,,,3.75,3.48,,,,,,,
G06001303650031,2.51,2.6,,3.19,,,,,,,,,3.72,,,,,,,,,,,3.43,,3.01,,,3.48,3.44,4.17,4.18,,,
G06001303650032,2.83,2.92,,3.51,,,,,,,,,4.04,,,,,,,,,,,3.62,,3.33,,,3.8,3.75,4.48,4.5,,,
G06001303650033,3.21,2.98,,3.89,,,,,,,,,,,,,,,,,,,,3.14,,3.31,,,4.18,4.13,4.47,4.48,4.57,,
G06001303671001,2.25,1.96,,2.93,,,,,,,,,,,,,,,,,,,,2.68,,2.29,,,3.21,3.17,3.45,3.46,3.55,,
G06001303671002,1.94,1.66,,2.62,,,,,,,3.15,,3.15,,,,,,,,,,,,,1.99,,,2.91,2.86,3.14,3.15,,,
G06001303671003,1.6,1.69,,2.28,,2.98,,,3.21,,,,2.81,,,,,,,,,,,,,2.1,,,2.56,2.52,3.25,,,,
G06001303671004,1.99,2.08,,2.67,,,,,3.6,,,,3.2,,,,,,,,,,,,,2.49,,,2.96,2.91,3.64,3.66,,,
G06001303700001,,1.84,,,,1.76,,,1.46,,1.12,,,,1.95,,,,,1.57,,,,,,0.88,,,,,1.36,1.16,0.94,,
G06001303700002,,,,,,,,,1.3,,0.96,,,1.79,1.78,,,,,1.4,2.0,,,,,1.31,,,,,1.21,1.01,0.59,,
G06001303700003,,,,,,,,,0.89,,0.55,,,1.42,1.37,,,,,0.99,1.63,,,,,1.23,,,,,0.8,0.6,0.19,,
G06001303710001,1.3,1.34,,1.17,,,,,1.24,,1.04,,,,,,,,,1.49,,,,,,0.38,,,,,1.17,1.08,1.13,,
G06001303710002,,1.66,,,,1.35,,,1.07,,0.79,,,,1.61,,,,,1.24,,,,,,0.7,,,,,0.99,0.83,0.82,,
G06001303710003,,,,,,1.13,,,0.82,,0.49,,1.14,,1.32,,,,,0.94,,,,,,0.8,,,,,0.73,0.53,0.79,,
G06001303710004,,,,,,0.96,,,0.65,,0.31,,0.98,,1.14,,,,,0.76,,,,,,1.15,,,,,0.56,0.36,0.5,,
G06001303710005,,,,,,0.6,,,0.29,,0.35,,0.61,,,,,,,0.71,,,,,,,,,0.8,0.76,0.2,0.3,0.73,,
G06001303710006,,,,0.77,,0.97,,,0.68,,0.72,,0.95,,,,,,,,,,,,,0.57,,,0.85,,0.59,0.67,1.02,,
G06001303720001,0.91,1.0,,1.06,,1.49,,,1.3,,,,1.42,,,,,,,,,,,,,0.33,,,1.32,1.34,1.38,,,,
G06001303720002,0.72,0.97,,0.88,,1.3,,,1.11,,,,1.23,,,,,,,,,,,,,0.28,,,1.13,1.16,1.2,,,,
G06001303720003,,1.41,,0.86,,1.21,,,0.93,,0.99,,,,,,,,,,,,,,,0.29,,,1.09,,0.86,0.95,1.2,,
G06001303720004,0.85,1.1,,0.52,,0.94,,,0.92,,,,0.87,,,,,,,,,,,,,0.64,,,0.77,0.79,1.02,,,,
G06001303720005,0.55,0.8,,0.24,,0.95,,,1.2,,,,0.77,,,,,,,,,,,,,0.95,,,0.53,0.49,1.29,,,,
G06001303720006,0.35,0.61,,0.54,,1.15,,,1.4,,,,0.99,,,,,,,,,,,,,0.66,,,0.83,0.79,1.5,,,,
G06001303720007,0.13,0.16,,0.81,,1.51,,,1.76,,,,1.34,,,,,,,,,,,,,1.1,,,1.09,1.05,1.86,,,,
G06001303730001,0.61,0.88,,0.58,,1.28,,,,,,,1.11,,,,,1.6,,,,,1.35,,,1.11,,,0.86,0.81,,,,,
G06001303730002,0.8,1.07,,0.77,,,,,,,,,1.25,,,,,1.41,1.15,,,,1.16,,,,1.14,,1.05,1.0,,,,,
G06001303730003,0.82,1.1,,1.07,,,,,,,,,,,,,,1.51,1.27,,,,1.28,,,,1.26,1.53,1.35,1.29,,,,,
