,407624485,407808722,407808844,407809112,408512120,70330888,796874745,796874756,797207163,797744802,797745383,800655210
G06003702941101,,0.87,0.96,1.07,,0.71,2.25,2.14,2.72,1.9,1.15,1.86
G06003702941102,,0.53,0.68,0.74,,0.37,1.91,1.81,2.38,1.63,0.82,1.52
G06003702941103,,0.3,0.33,0.5,,0.14,1.68,1.57,2.17,1.28,1.1,1.3
G06003702941201,2.9,1.25,1.04,1.45,,1.09,2.63,2.52,,1.32,1.54,2.25
G06003702941202,2.51,1.22,1.02,1.15,,1.35,2.26,2.12,,0.5,2.27,1.95
G06003702941203,3.37,1.83,1.63,2.03,,1.67,3.14,2.98,,1.26,2.12,2.83
G06003702942001,,0.84,1.18,0.94,,0.71,1.36,1.59,1.82,2.12,0.25,0.96
G06003702942002,,0.61,0.94,0.7,,0.47,1.35,1.4,1.84,1.89,0.49,0.97
G06003702942003,,0.64,0.98,0.73,,0.51,1.04,1.38,1.52,1.92,0.51,0.65
G06003702943011,2.14,1.37,1.72,1.47,,1.25,1.76,2.11,1.62,,0.42,1.03
G06003702943012,1.85,1.08,1.48,1.18,,1.01,1.46,1.82,1.33,,0.67,0.73
G06003702943021,1.04,1.5,1.84,1.31,,1.64,0.66,1.03,0.45,,1.3,0.51
G06003702943022,1.49,1.28,1.61,1.09,,1.42,1.12,1.48,0.89,,1.07,0.4
G06003702945101,1.21,0.73,1.07,0.54,,0.89,0.83,1.19,1.15,,0.71,0.27
G06003702945102,0.92,1.05,1.39,0.85,,1.21,0.54,0.9,0.82,,1.0,0.2
G06003702945201,,0.39,0.73,0.2,,0.55,1.02,0.93,1.51,1.39,1.02,0.64
G06003702945202,0.97,0.7,1.03,0.49,,0.86,0.69,0.65,1.18,,1.26,0.51
G06003702946101,1.71,0.34,0.51,0.25,,0.51,1.43,1.32,,0.96,1.44,1.07
G06003702946102,1.38,0.62,0.78,0.52,,0.78,1.1,0.99,1.59,0.78,,0.98
G06003702946201,2.16,1.27,1.07,1.18,,1.4,1.92,1.78,,0.04,2.37,1.79
G06003702946202,2.21,0.97,0.77,0.88,,1.1,1.93,1.82,,0.31,2.07,1.69
G06003702946203,1.85,0.75,0.6,0.65,,0.91,1.57,1.46,,0.66,1.85,1.3
G06003702947011,1.74,1.46,1.27,1.37,1.65,1.6,1.53,1.35,,0.38,,1.88
G06003702947012,0.95,1.3,1.4,1.2,0.95,,0.92,0.56,1.16,1.18,,1.65
G06003702947013,0.77,0.95,1.22,0.84,0.85,,0.56,0.39,0.99,1.35,,1.29
G06003702948101,0.65,1.32,1.65,1.12,1.61,1.48,0.27,0.64,0.56,,,0.46
G06003702948102,0.48,1.49,1.82,1.28,1.44,1.65,0.1,0.47,0.39,,,0.63
G06003702948201,0.68,0.99,1.32,0.78,1.27,1.15,0.4,0.36,0.89,,,0.8
G06003702948202,0.53,1.14,1.47,0.93,1.08,1.3,0.31,0.14,0.74,,,1.01
G06003702948301,0.2,1.81,2.14,1.6,1.16,1.97,0.43,0.53,0.41,,,0.92
G06003702948302,0.3,1.51,1.84,1.31,0.66,,0.68,0.31,0.9,1.97,,1.41
G06003702949001,0.67,2.07,2.4,1.88,1.5,2.21,0.74,0.85,0.25,,,1.07
G06003702949002,0.75,1.76,2.09,1.57,1.7,1.9,0.43,0.74,0.14,,,0.77
G06003709800141,2.03,2.25,2.05,2.16,1.81,2.38,1.94,1.76,,1.04,,2.67
G06003709800151,1.3,2.31,,2.12,2.19,2.45,0.99,1.29,0.69,,2.1,1.32
