,2490,2668,2760,2776,2809,2910,3011,3032,3043,3277,3334,10486,11174,11175,11176,11177,11178,11179,11180,11181,11182,11183,11184,11185,11186,11187,11188,11189,11190,11191,11192,11193,11194,11195,11196,11197,11198,11199,11200,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11227,11228,11229,11230,11231
G06003702941101,2.21,1.21,0.43,0.68,1.04,0.25,1.31,1.89,2.71,1.96,1.15,1.12,0.98,1.09,1.56,1.92,1.69,1.73,2.06,2.54,2.56,2.81,2.98,1.96,1.05,1.47,1.84,2.74,1.92,2.97,2.68,2.0,2.51,1.84,1.84,1.3,1.33,1.08,2.08,1.83,1.61,1.77,3.0,0.88,0.79,0.9,0.55,0.51,1.35,1.35,1.31,1.12,1.92,1.59,1.43,1.89,1.59,1.72,1.38,1.7,1.65,1.7,1.82,1.82,1.82,1.82,1.96,1.77,1.74
G06003702941102,1.88,0.87,0.22,0.35,0.7,0.28,0.97,1.56,2.38,1.63,0.82,0.79,0.65,0.77,1.23,1.59,1.36,1.4,1.73,2.2,2.23,2.48,2.65,1.63,0.71,1.13,1.5,2.4,1.59,2.63,2.35,1.66,2.18,1.5,1.5,0.97,1.0,0.74,1.75,1.5,1.28,1.44,3.33,0.55,0.46,0.56,0.22,0.3,1.01,1.01,0.97,0.79,1.59,1.26,1.1,1.56,1.26,1.39,1.05,1.37,1.32,1.37,1.49,1.49,1.49,1.5,1.63,1.44,1.4
G06003702941103,1.61,0.61,0.61,0.23,0.44,0.67,0.71,1.3,2.13,1.24,1.08,0.52,0.26,0.38,0.96,1.2,1.09,1.13,1.46,1.94,1.96,2.23,2.4,1.24,0.45,0.87,1.24,2.14,1.32,2.39,2.1,1.4,1.93,1.24,1.24,0.71,1.14,0.7,1.49,1.25,1.01,1.18,3.68,0.81,0.72,0.3,0.36,0.69,0.74,0.74,0.71,0.52,1.32,0.99,0.83,1.29,0.99,1.0,0.66,0.99,0.94,0.98,1.1,1.1,1.1,1.11,1.25,1.05,1.14
G06003702941201,2.12,1.11,0.6,0.6,0.95,0.65,1.22,1.81,2.63,1.26,1.07,1.03,0.53,0.55,1.47,1.21,1.6,1.64,1.97,2.44,2.47,2.73,2.9,1.26,0.95,1.37,1.75,2.64,1.83,2.88,2.6,1.91,2.43,1.75,1.75,1.22,1.25,0.99,2.0,1.75,1.52,1.69,3.68,0.8,0.71,0.81,0.47,0.68,1.25,1.25,1.22,1.03,1.83,1.5,1.33,1.8,1.5,1.02,1.17,1.0,0.95,0.99,1.11,1.11,1.11,1.12,1.26,1.07,1.64
G06003702941202,2.16,1.26,1.77,1.46,1.39,1.83,1.36,1.96,2.76,0.46,2.24,1.18,0.97,0.98,1.54,0.85,1.67,1.71,2.01,2.49,2.51,2.86,3.03,0.46,1.1,1.5,1.82,2.69,1.86,3.02,2.78,1.98,2.57,1.82,1.82,1.94,2.37,1.93,2.12,1.93,1.67,1.84,4.85,1.97,1.88,1.25,1.59,1.85,1.4,1.4,1.36,1.18,1.86,1.63,1.41,1.87,1.63,0.55,1.24,0.35,0.3,0.25,0.2,0.2,0.2,0.12,0.47,0.18,1.72
G06003702941203,2.44,1.62,1.64,1.63,1.75,1.69,1.72,2.31,3.04,0.75,2.11,1.53,1.33,1.34,1.83,1.13,1.96,2.0,2.29,2.77,2.79,3.14,3.31,0.75,1.46,1.78,2.1,2.97,2.15,3.3,3.13,2.26,2.85,2.1,2.1,2.26,2.28,2.03,2.41,2.28,2.03,2.19,4.71,1.83,1.75,1.61,1.5,1.71,1.76,1.76,1.72,1.53,2.15,1.91,1.69,2.15,1.91,0.88,1.52,0.71,0.66,0.6,0.56,0.56,0.56,0.48,0.55,0.53,2.0
G06003702942001,1.56,1.14,0.62,0.62,0.69,0.68,0.72,0.97,1.79,2.09,0.23,0.91,1.11,1.23,1.34,2.05,1.47,1.66,1.7,1.62,1.65,1.89,2.06,2.09,0.98,1.12,1.04,1.83,1.85,2.04,1.76,1.08,1.59,1.04,1.04,0.38,0.41,0.16,1.16,0.91,0.7,0.85,2.84,0.43,0.34,0.83,0.49,0.7,1.0,1.0,0.72,0.91,1.85,1.0,1.21,1.54,1.0,1.85,1.38,1.84,1.79,1.83,1.95,1.95,1.95,1.96,2.09,1.9,1.15
G06003702942002,1.36,0.91,0.62,0.39,0.46,0.68,0.49,0.97,1.8,1.86,0.46,0.68,0.88,1.0,1.11,1.82,1.24,1.43,1.48,1.62,1.65,1.9,2.07,1.86,0.75,0.89,0.92,1.82,1.62,2.06,1.77,1.08,1.6,0.92,0.92,0.38,0.6,0.15,1.16,0.92,0.69,0.85,3.07,0.43,0.34,0.6,0.38,0.7,0.77,0.77,0.49,0.68,1.62,0.77,0.98,1.31,0.77,1.62,1.15,1.61,1.56,1.6,1.72,1.72,1.72,1.73,1.87,1.67,0.92
G06003702942003,1.36,0.94,0.94,0.56,0.49,1.0,0.52,0.65,1.48,1.89,0.44,0.71,0.91,1.03,1.14,1.85,1.27,1.46,1.5,1.3,1.42,1.58,1.75,1.89,0.78,0.92,0.84,1.5,1.65,1.74,1.45,0.76,1.28,0.84,0.84,0.06,0.49,0.17,0.84,0.6,0.49,0.53,3.03,0.75,0.66,0.63,0.69,1.02,0.8,0.8,0.52,0.71,1.65,0.8,1.01,1.34,0.8,1.65,1.18,1.64,1.59,1.63,1.75,1.75,1.75,1.76,1.9,1.7,0.94
