,407624485,407808722,407808844,407809112,408512120,70330888,796874745,796874756,797207163,797744802,797745383,800655210
G06003702941101,,0.9,1.04,1.12,,0.75,2.31,2.21,2.71,2.01,1.15,1.89
G06003702941102,,0.56,0.72,0.79,,0.42,1.98,1.88,2.38,1.68,0.81,1.56
G06003702941103,,0.3,0.33,0.52,,0.16,1.71,1.61,2.13,1.29,1.07,1.3
G06003702941201,2.47,0.81,0.6,1.03,,0.67,2.22,2.12,,1.3,1.06,1.81
G06003702941202,2.51,1.25,1.04,1.18,,1.39,2.26,2.16,,0.51,2.24,1.96
G06003702941203,2.79,1.61,1.39,1.53,,1.71,2.54,2.44,,0.7,2.1,2.31
G06003702942001,,0.83,1.18,0.91,,0.69,1.4,1.56,1.79,2.14,0.22,0.97
G06003702942002,,0.6,0.95,0.68,,0.46,1.39,1.36,1.8,1.91,0.45,0.97
G06003702942003,,0.63,0.98,0.71,,0.49,1.07,1.36,1.48,1.94,0.44,0.65
G06003702943011,2.14,1.36,1.72,1.44,,1.23,1.79,2.08,1.58,,0.33,1.03
G06003702943012,1.85,1.07,1.48,1.14,,0.99,1.5,1.79,1.29,,0.58,0.73
G06003702943021,1.01,1.46,1.81,1.25,,1.59,0.66,0.96,0.38,,1.18,0.48
G06003702943022,1.49,1.26,1.61,1.05,,1.39,1.15,1.45,0.85,,0.98,0.4
G06003702945101,1.18,0.7,1.04,0.48,,0.84,0.83,1.12,1.16,,0.67,0.3
G06003702945102,0.94,1.03,1.37,0.81,,1.17,0.59,0.89,0.85,,0.92,0.18
G06003702945201,,0.36,0.7,0.14,,0.5,1.06,0.96,1.5,1.37,0.99,0.65
G06003702945202,0.97,0.69,1.03,0.47,,0.84,0.72,0.62,1.18,,1.22,0.51
G06003702946101,1.6,0.45,0.6,0.38,,0.6,1.35,1.25,,1.12,1.51,1.15
G06003702946102,1.39,0.63,0.78,0.56,,0.78,1.14,1.04,1.61,0.74,,0.98
G06003702946201,2.17,1.29,1.07,1.21,,1.42,1.92,1.82,,0.07,2.34,1.79
G06003702946202,2.24,0.96,0.75,0.88,,1.1,1.99,1.89,,0.35,2.01,1.66
G06003702946203,1.85,0.81,0.6,0.74,,0.95,1.6,1.5,,0.62,1.86,1.4
G06003702947011,1.75,1.48,1.27,1.41,1.57,1.62,1.5,1.4,,0.35,,1.88
G06003702947012,0.95,1.32,1.4,1.25,0.87,,0.9,0.6,1.2,1.15,,1.66
G06003702947013,0.75,0.92,1.26,0.85,0.73,,0.5,0.4,0.99,1.35,,1.26
G06003702948101,0.65,1.32,1.66,1.09,1.52,1.46,0.31,0.6,0.59,,,0.46
G06003702948102,0.45,1.52,1.86,1.3,1.32,1.66,0.1,0.4,0.4,,,0.67
G06003702948201,0.68,0.98,1.32,0.76,1.19,1.13,0.43,0.33,0.92,,,0.8
G06003702948202,0.51,1.15,1.49,0.93,0.96,1.3,0.26,0.16,0.76,,,1.03
G06003702948301,0.2,1.76,2.1,1.54,1.07,1.91,0.35,0.45,0.45,,,0.92
G06003702948302,0.32,1.54,1.88,1.32,0.55,,0.67,0.38,0.97,1.97,,1.44
G06003702949001,0.67,2.05,2.4,1.84,1.42,2.18,0.71,0.81,0.21,,,1.07
G06003702949002,0.75,1.74,2.09,1.53,1.62,1.87,0.4,0.7,0.1,,,0.77
G06003709800141,2.03,2.27,2.05,2.19,1.72,2.41,1.9,1.8,,1.0,,2.67
G06003709800151,0.91,2.22,,2.01,1.57,2.35,0.88,1.06,0.46,,1.94,1.24
