,120650951,120651117,120651164,120652982,120653487,120653492,120653588,120653938,166307902,166317560,166318235,167646752,199460935,199460950,202063630,202063631,202063632,202063637,202063659,202063664,202063703,202063823,202064297,227216708,23646951,23646969,23647470,24429267,24429342,246355854,246367741,246374055,246505339,249414359,25155286,25178270,25178292,25203727,25207198,25366892,25400206,254084682,254569247,254569250,256261740,268198707,270124366,270163691,270510800,270513457,270513472,270513483,270513959,28310693,28310821,291993697,303264201,305748245,32500740,32501832,32515601,32560940,32615084,32656696,32656765,331475334,33794967,339104739,339104740,339104741,34686114,37012286,37012379,37012520,37012558,386422937,391848109,394808949,397850200,398996496,403387687,40905762,40905782,40905785,410980081,412588395,413048507,413048754,45210694,45212573,479820274,55462239,5927371,660072821,660082740,686736411,694214837,738282145,738282146,761409135,785984853,825257996,90489925,925603925,931619005,HD4
G06011300101011,,,,1.3,1.44,1.79,,,,,,,1.79,,1.28,,1.51,1.83,1.36,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101012,,,,0.63,0.79,1.19,0.89,,,,,,1.19,,0.68,,0.92,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101013,,,,1.04,1.03,1.6,1.14,,,,,,,,1.09,1.14,,,1.1,1.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101014,,,1.48,,1.2,,0.93,1.27,,,,,,,,0.93,,,,0.93,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,1.5,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95,,,18.46,,,,,,,,,,,,,,,,,17.57,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16,,,,,,,,,,,,,23.54,,,,,,16.54,17.44,,,,17.0,16.44
G06011300101022,,,,0.24,1.07,0.64,1.54,,,,,,0.64,1.74,0.2,,0.26,0.37,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101023,,,,0.38,1.14,0.34,,,,,,,0.34,,0.22,,0.09,0.52,0.42,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300101024,,,,0.38,0.65,0.94,1.09,,,,,,,1.8,0.43,,0.66,0.91,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102011,0.68,0.6,1.06,,,,,0.64,,,,,,,,0.81,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.91,1.05,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102012,0.57,0.5,1.23,,,,,1.19,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,1.53,0.69,1.22,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102031,2.63,,2.0,,,,3.11,,,,,,,2.21,,,,2.63,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.86,1.99,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102032,,,1.02,,1.57,,1.83,,,,,,,0.35,,1.27,,1.14,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,1.04,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102033,1.3,1.46,0.63,,,,1.74,1.32,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.53,0.62,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102034,2.77,2.94,2.44,,,,,2.82,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,2.28,3.0,2.42,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102041,,,0.4,,1.46,,1.19,1.12,,,,,,0.79,,0.63,,,2.05,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102042,0.7,,0.01,,,,,0.72,,,,,,0.86,,0.57,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.94,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300102043,0.22,0.48,0.94,,,,,1.04,,,,,,,,1.14,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.08,0.92,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103021,1.7,1.61,,,,,,2.04,,,,,,,,,,,,,0.7,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.43,,,,,,,,,,,,2.64,1.85,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103022,2.91,2.82,,,,,,3.25,,,,,,,,,,,,,1.2,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1.84,3.72,,,,,,,,,,,3.85,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103023,1.83,1.74,,,,,,2.17,,,,,,,,,,,,,0.4,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.82,,,,,,,,,,,,2.77,1.98,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103101,4.27,4.18,,,,,,,,,,,,,,,,,,,3.13,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,3.51,0.94,,,,,,,,,,,4.62,4.42,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103102,3.82,3.73,,,,,,,,,,,,,,,,,,,2.68,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,3.08,1.25,,,,,,,,,,,4.16,3.97,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103103,4.53,4.44,,,,,,,,,,,,,,,,,,,3.39,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.67,0.42,,,,,,,,,,,5.24,4.68,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103121,4.53,4.44,,,,,,4.88,,,,,,,,,,,,,3.39,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.67,0.91,,,,,,,,,,,5.4,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103122,2.68,2.59,,,,,,3.03,,,,,,,,,,,,,1.54,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.37,2.71,,,,,,,,,,,3.63,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300103123,3.01,2.92,,,,,,3.36,,,,,,,,,,,,,1.87,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,0.59,2.44,,,,,,,,,,,3.95,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300104011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,2.4,,,,,3.63,6.8,,,3.61,2.21,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,1.82,,,
G06011300104012,,,,,,,,,,,,,,,,,,,,,,,17.9,,,,,9.18,9.07,,,,,,13.47,,,,8.13,,,,,,,,,,,,,,,,,,,,17.58,18.49,19.61,,,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,,
