,252242463,432299720,436963222,527919647,527931333,965219488
G06011500401001,3.11,6.15,16.6,16.38,16.31,
G06011500401002,1.03,4.08,14.21,13.99,13.92,
G06011500401003,1.07,4.28,14.08,13.86,13.78,
G06011500401004,0.78,3.99,13.79,13.57,13.49,
G06011500401005,0.08,3.43,13.58,13.36,13.28,
G06011500402001,2.01,4.67,15.5,15.29,15.21,
G06011500402002,2.35,4.91,15.84,15.62,15.55,
G06011500402003,1.71,4.27,15.2,14.98,14.9,
G06011500402004,1.39,3.96,14.88,14.66,14.59,
G06011500402005,0.86,3.58,14.35,14.13,14.05,
G06011500402006,1.71,4.27,15.2,14.98,14.91,
G06011500402007,1.87,4.43,15.36,15.14,15.07,
G06011500403011,3.3,0.96,12.35,12.13,12.06,
G06011500403021,2.56,1.67,12.1,11.88,11.81,
G06011500403031,3.86,0.66,11.8,11.58,11.51,
G06011500403032,3.49,0.51,11.8,11.58,11.51,
G06011500404001,2.48,2.56,12.07,11.85,11.77,
G06011500404002,2.37,2.46,11.43,11.21,11.13,
G06011500404003,3.82,3.9,12.61,12.4,12.32,
G06011500405001,3.54,2.42,10.44,10.23,10.15,
G06011500405002,4.4,3.1,10.01,9.79,9.71,
G06011500405003,4.48,3.18,9.86,9.64,9.57,
G06011500406001,4.82,3.81,10.02,9.81,9.73,
G06011500406002,5.0,3.7,9.44,9.22,9.15,
G06011500406003,5.5,4.2,8.93,8.72,8.64,
G06011500406004,6.73,5.45,8.23,8.01,7.93,
G06011500406005,6.37,5.09,8.1,7.88,7.81,
G06011500407001,7.93,7.17,11.83,11.61,11.24,
G06011500407002,6.7,5.68,10.35,10.13,10.05,
G06011500407003,8.05,6.77,6.98,6.76,6.69,
G06011500407004,8.52,8.6,13.35,13.13,12.85,
G06011500407005,11.93,10.65,10.47,10.25,9.88,
G06011500408001,10.31,8.92,3.12,2.91,2.83,
G06011500408002,17.22,15.61,4.3,4.77,5.24,
G06011500408003,14.09,11.75,4.17,4.65,5.12,
G06011500409011,15.56,13.03,12.89,12.84,12.76,
G06011500409012,6.81,3.8,8.89,8.67,8.6,
G06011500409021,13.46,10.93,11.3,11.25,11.17,
G06011500409022,18.85,16.33,9.84,10.31,10.78,
G06011500409023,17.65,15.12,9.36,9.84,10.31,
G06011500410001,20.95,23.51,29.83,30.31,,19.38
G06011500410002,17.87,20.43,30.6,31.08,,18.72
G06011500410003,12.61,15.17,26.1,25.88,,24.88
G06011500410004,4.12,6.69,17.62,17.4,17.32,
G06011500410005,10.74,13.39,24.23,24.01,,27.47
G06011500411001,47.52,47.56,49.33,49.81,,25.82
G06011500411002,28.12,30.69,37.95,38.43,,11.13
G06011500411003,30.37,32.93,40.2,40.67,,5.95
G06011500411004,29.5,32.16,42.42,42.77,,7.4
