service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,1,1,0,0,20220807,20221203
2,1,1,1,1,1,0,0,20220807,20221203
3,1,1,1,1,1,0,0,20220807,20221203
5,0,0,1,0,0,0,0,20220807,20221203
6,1,1,1,1,1,0,0,20220807,20221203
7,1,1,0,1,1,0,0,20220807,20221203
8,0,1,0,0,0,0,0,20220807,20221203
9,0,0,0,0,0,1,0,20220807,20221203
10,0,0,0,0,1,0,0,20220807,20221203
11,1,1,1,1,1,0,0,20220807,20221203
13,1,1,1,1,1,0,0,20220807,20221203
14,1,1,0,1,1,0,0,20220807,20221203
16,0,0,0,0,0,0,1,20220807,20221203
18,1,1,0,1,1,0,0,20220807,20221203
19,0,0,1,0,0,0,0,20220807,20221203
21,0,0,1,0,0,0,0,20220807,20221203
24,1,1,1,1,0,0,0,20220807,20221203
25,1,1,1,1,1,0,0,20220807,20221203
26,1,1,1,1,1,0,0,20220807,20221203
27,0,0,1,0,0,0,0,20220807,20221203
28,1,1,0,1,1,0,0,20220807,20221203
16-1,0,0,0,0,0,1,0,20220807,20221202
26-1,1,1,1,1,0,0,1,20220807,20221202
9-1,0,0,0,0,1,0,0,20220807,20221202
