service_id,date,exception_type
4,20221122,1
4,20221121,1
4,20220808,1
4,20220812,1
4,20220809,1
4,20221010,1
4,20221125,1
4,20221123,1
4,20221111,1
4,20220815,1
4,20220810,1
4,20220811,1
12,20220808,1
12,20221003,1
12,20221010,1
12,20220809,1
12,20221122,1
12,20221121,1
12,20221123,1
12,20221111,1
12,20221125,1
15,20221125,1
15,20220809,1
15,20220808,1
16,20221124,1
16,20220905,1
17,20221118,1
20,20220916,1
20,20221010,1
20,20221121,1
20,20221125,1
20,20221123,1
20,20221122,1
20,20221111,1
22,20221121,1
22,20221010,1
22,20220812,1
22,20220811,1
22,20220810,1
22,20221111,1
22,20221125,1
22,20221123,1
22,20220808,1
22,20221122,1
22,20220902,1
22,20220809,1
23,20221122,1
23,20220808,1
23,20220815,1
23,20220810,1
23,20220816,1
23,20221123,1
23,20220811,1
23,20220809,1
23,20221125,1
23,20221111,1
23,20220812,1
23,20221121,1
1,20220808,2
3,20220808,2
6,20220808,2
7,20220808,2
11,20220808,2
13,20220808,2
18,20220808,2
24,20220808,2
25,20220808,2
28,20220808,2
3,20220809,2
6,20220809,2
7,20220809,2
8,20220809,2
11,20220809,2
13,20220809,2
18,20220809,2
24,20220809,2
25,20220809,2
28,20220809,2
3,20220810,2
6,20220810,2
13,20220810,2
19,20220810,2
27,20220810,2
1,20220811,2
3,20220811,2
6,20220811,2
7,20220811,2
13,20220811,2
18,20220811,2
28,20220811,2
1,20220812,2
3,20220812,2
6,20220812,2
7,20220812,2
13,20220812,2
18,20220812,2
28,20220812,2
1,20220815,2
3,20220815,2
7,20220815,2
13,20220815,2
18,20220815,2
3,20220816,2
8,20220816,2
18,20220816,2
19,20220817,2
6,20220902,2
28,20220902,2
1,20220905,2
2,20220905,2
3,20220905,2
6,20220905,2
7,20220905,2
11,20220905,2
13,20220905,2
14,20220905,2
18,20220905,2
24,20220905,2
25,20220905,2
26,20220905,2
28,20220905,2
2,20220916,2
14,20220916,2
11,20221003,2
24,20221003,2
2,20221010,2
6,20221010,2
7,20221010,2
11,20221010,2
13,20221010,2
14,20221010,2
24,20221010,2
28,20221010,2
1,20221111,2
2,20221111,2
3,20221111,2
6,20221111,2
7,20221111,2
10,20221111,2
11,20221111,2
13,20221111,2
14,20221111,2
18,20221111,2
28,20221111,2
1,20221121,2
2,20221121,2
3,20221121,2
6,20221121,2
7,20221121,2
11,20221121,2
13,20221121,2
14,20221121,2
18,20221121,2
24,20221121,2
28,20221121,2
2,20221122,2
3,20221122,2
6,20221122,2
7,20221122,2
8,20221122,2
11,20221122,2
13,20221122,2
14,20221122,2
18,20221122,2
24,20221122,2
28,20221122,2
2,20221123,2
3,20221123,2
5,20221123,2
6,20221123,2
11,20221123,2
13,20221123,2
19,20221123,2
24,20221123,2
27,20221123,2
1,20221124,2
2,20221124,2
3,20221124,2
6,20221124,2
7,20221124,2
11,20221124,2
13,20221124,2
14,20221124,2
18,20221124,2
24,20221124,2
25,20221124,2
26,20221124,2
28,20221124,2
1,20221125,2
2,20221125,2
3,20221125,2
6,20221125,2
7,20221125,2
10,20221125,2
11,20221125,2
13,20221125,2
14,20221125,2
18,20221125,2
25,20221125,2
28,20221125,2
16-1,20220904,1
16-1,20221123,1
26-1,20220904,2
26-1,20221123,2
