trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6997010,20,16,"Dimond District",,1,117241901,shp-20-18,0,0
6340020,200,26,"Union City BART",,1,116955502,shp-200-15,0,0
11894010,1T,16,"Uptown Oakland",,1,115834401,shp-1T-05,0,0
7960070,72M,9,"Jack London Square",,0,115886407,shp-72M-62,0,0
1877010,F,16,"San Francisco",,0,116803201,shp-F-73,0,0
11176070,45,9,"Foothill Square",,1,115819507,shp-45-04,0,0
13368020,79,26,"Rockridge BART",,0,117142302,shp-79-55,0,0
9772010,805,16,"Uptown Oakland",,0,115829601,shp-805-21,0,0
1881070,88,9,"Downtown Berkeley",,1,116798907,shp-88-07,0,0
2723020,76,26,"El Cerrito Del Norte BART",,1,117368902,shp-76-06,0,0
8363010,12,16,"Oakland Amtrak at Jack London Square",,0,116802601,shp-12-56,0,0
11904020,57,26,"Public Market Emeryville",,0,117124702,shp-57-69,0,0
13553010,73,16,"Oakland Airport",,0,117187601,shp-73-51,0,0
8047070,62,9,"Fruitvale BART",,1,115821007,shp-62-02,0,0
11742020,33,26,"Piedmont",,0,117142102,shp-33-17,0,0
1696020,1T,26,"Uptown Oakland",,1,116621102,shp-1T-05,0,0
11352010,57,16,"Foothill Square",,1,116857001,shp-57-13,0,0
634010,1T,16,"Uptown Oakland",,1,115834201,shp-1T-05,0,0
8522070,217,9,"Fremont BART",,1,117206307,shp-217-09,0,0
2357070,28,9,"Hayward BART",,0,117199407,shp-28-59,0,0
322010,72R,16,"Jack London Square",,0,115888901,shp-72R-14,0,0
1011020,33,26,"Montclair",,1,117137302,shp-33-15,0,0
2108010,6,16,"Downtown Oakland",,0,116805601,shp-6-60,0,0
7454010,90,16,"Coliseum BART",,0,115829901,shp-90-54,0,0
3208070,62,9,"Fruitvale BART",,1,115821107,shp-62-02,0,0
4362020,210,26,"Ohlone College",,0,116953602,shp-210-55,0,0
9928020,6,25,"Downtown Oakland",,0,117144302,shp-6-60,0,0
13583070,96,9,"Alameda Point",,0,116797707,shp-96-58,0,0
9190010,212,16,"Fremont BART",,1,117215201,shp-212-07,0,0
12002010,19,16,"Downtown Oakland",,0,116803501,shp-19-64,0,0
7250020,40,26,"Downtown Oakland",,1,116507502,shp-40-18,0,0
7723070,99,9,"Hayward BART",,1,117198607,shp-99-11,0,0
12948020,NX,14,"MacArthur Blvd. & Millsbrae Ave.",,1,116514602,shp-NX-08,0,0
8970070,33,9,"Piedmont",,0,116796907,shp-33-70,0,0
3148070,88,9,"Lake Merritt BART",,0,116798507,shp-88-10,0,0
8184010,200,16,"Union City BART",,1,117214601,shp-200-15,0,0
13409010,200,16,"Fremont BART",,0,117211701,shp-200-60,0,0
22020,36,26,"West Oakland BART",,0,117143302,shp-36-55,0,0
8351020,51B,2,"Rockridge BART",,0,117144402,shp-51B-17,0,0
10465070,98,9,"Eastmont Transit Center",,1,115820407,shp-98-02,0,0
11131010,40,16,"Downtown Oakland",,1,116752401,shp-40-19,0,0
819020,33,26,"Montclair",,1,117137302,shp-33-15,0,0
5811020,6,26,"Downtown Berkeley",,1,117138302,shp-6-16,0,0
794070,71,9,"El Cerrito Plaza BART",,0,115885407,shp-71-51,0,0
9267070,6,9,"Downtown Berkeley",,1,116796407,shp-6-16,0,0
365020,76,26,"Richmond Parkway Transit Center",,0,117369102,shp-76-09,0,0
12910070,60,9,"South Hayward BART",,0,117202307,shp-60-09,0,0
8485010,79,16,"Rockridge BART",,0,116992701,shp-79-55,0,0
5289070,29,9,"Mandana Blvd. & Lakeshore Ave.",,1,117097307,shp-29-37,0,0
6995010,12,16,"Oakland Amtrak at Jack London Square",,0,116802901,shp-12-56,0,0
13849070,40,9,"Downtown Oakland",,1,116751207,shp-40-19,0,0
8609020,86,26,"Hayward BART",,1,116952002,shp-86-01,0,0
9663070,95,9,"Hayward BART",,0,117199107,shp-95-53,0,0
5207070,40,9,"Eastmont Transit Center",,0,116751407,shp-40-21,0,0
5292010,57,16,"Public Market Emeryville",,0,116856501,shp-57-69,0,0
11143070,98,9,"Eastmont Transit Center",,1,115820207,shp-98-02,0,0
5659020,57,26,"Foothill Square",,1,117136402,shp-57-13,0,0
7199010,200,16,"Fremont BART",,0,117214301,shp-200-60,0,0
6891020,33,26,"Montclair",,1,117141302,shp-33-15,0,0
4408020,78,14,"Fruitvale BART",,1,116510002,shp-78-03,0,0
3576010,45,16,"Eastmont Transit Center",,0,115827901,shp-45-53,0,0
3268070,60,9,"South Hayward BART",,0,117202307,shp-60-09,0,0
1457070,NL,9,"Eastmont Transit Center",,1,115819207,shp-NL-12,0,0
4803020,57,26,"Foothill Square",,1,117124402,shp-57-13,0,0
1517070,F,9,"U.C. Campus",,1,116794307,shp-F-19,0,0
10202070,98,9,"Coliseum BART",,0,115820507,shp-98-52,0,0
13690010,98,16,"Coliseum BART",,0,115828701,shp-98-52,0,0
932020,O,26,"Fruitvale BART",,1,116509402,shp-O-03,0,0
9986020,6,26,"Downtown Berkeley",,1,117142702,shp-6-16,0,0
5780070,36,9,"U.C. Campus",,1,116793807,shp-36-10,0,0
2740020,51A,26,"Fruitvale BART",,0,117157402,shp-51A-55,0,0
12131020,212,26,"Pacific Commons",,0,116955002,shp-212-57,0,0
5214010,6,16,"Downtown Berkeley",,1,116805701,shp-6-16,0,0
2293020,36,26,"U.C. Campus",,1,117143302,shp-36-10,0,0
1105020,18,26,"Lake Merritt BART",,0,117138802,shp-18-63,0,0
1695020,57,26,"Public Market Emeryville",,0,117124702,shp-57-69,0,0
7885070,72M,9,"Point Richmond",,1,115884807,shp-72M-49,0,0
13803070,51B,9,"Rockridge BART",,0,116796107,shp-51B-17,0,0
4446010,76,16,"Richmond Parkway Transit Center",,0,115890301,shp-76-09,0,0
11024070,10,9,"San Leandro BART",,1,117201407,shp-10-09,0,0
3892020,73,26,"Oakland Airport",,0,115912402,shp-73-51,0,0
11369010,45,16,"Foothill Square",,1,115828001,shp-45-04,0,0
3476020,675,7,"21st St. & Macdonald Ave.",,0,117367702,shp-675-57,0,0
1336070,18,9,"Lake Merritt BART",,0,116798307,shp-18-63,0,0
5685020,NL,26,"Eastmont Transit Center",,1,116512702,shp-NL-12,0,0
101020,33,26,"Montclair",,1,117137302,shp-33-15,0,0
1444020,801,26,"Fremont BART",,0,116938902,shp-801-69,0,0
11801010,F,16,"San Francisco",,0,116802201,shp-F-73,0,0
9194070,72R,9,"Contra Costa College",,1,116808207,shp-72R-13,0,0
2304010,1T,16,"Uptown Oakland",,1,115835401,shp-1T-05,0,0
975200,652,17,"90th Ave. & International Blvd.",,1,115727420,shp-652-07,0,0
4868010,79,16,"Rockridge BART",,0,116992701,shp-79-55,0,0
11416020,90,26,"Coliseum BART",,0,115961502,shp-90-54,0,0
4157070,57,9,"Foothill Square",,1,116856007,shp-57-13,0,0
13093010,73,16,"Oakland Airport",,0,117187501,shp-73-51,0,0
13037070,6,9,"Downtown Berkeley",,1,116796407,shp-6-16,0,0
7171010,74,16,"Hilltop Mall",,1,116808101,shp-74-10,0,0
4921070,51B,9,"Rockridge BART",,0,116794207,shp-51B-17,0,0
9258070,200,9,"Fremont BART",,0,117198807,shp-200-60,0,0
3920070,73,9,"Eastmont Transit Center",,1,117187907,shp-73-01,0,0
1937010,98,16,"Coliseum BART",,0,115828501,shp-98-52,0,0
2960070,52,9,"University Village, Albany",,1,116795607,shp-52-18,0,0
2446010,232,16,"Fremont BART",,0,117212401,shp-232-59,0,0
8395010,F,16,"U.C. Campus",,1,116801801,shp-F-19,0,0
2005070,6,9,"Downtown Berkeley",,1,116796307,shp-6-16,0,0
14040020,217,26,"Fremont BART",,1,116960002,shp-217-09,0,0
3295070,18,9,"Lake Merritt BART",,0,116798207,shp-18-63,0,0
11976020,1T,26,"Uptown Oakland",,1,116621502,shp-1T-05,0,0
7027070,72M,9,"Point Richmond",,1,115887007,shp-72M-47,0,0
