service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BA:75724,1,1,1,1,1,0,0,20220214,20220909
SC:77876,0,0,0,0,1,0,0,20220617,20220812
SC:76350,1,0,1,0,1,0,0,20220815,20221028
SC:77820,0,0,1,0,1,0,0,20220824,20221028
SC:77836,1,1,0,0,0,0,0,20220815,20221017
SC:76360,1,0,0,0,0,0,0,20220815,20221024
SC:77823,0,0,0,0,0,1,0,20220827,20220827
SO:77389,0,0,0,0,0,1,0,20220612,20220813
UC:74965,0,0,0,0,0,1,0,20220212,20220911
SC:76356,0,0,0,0,1,0,0,20220815,20221028
SC:76293,0,0,1,0,1,0,0,20220817,20221028
AC:77902,1,1,1,1,1,0,0,20220807,20221203
VC:72877,0,0,0,0,0,1,0,20220801,20230601
SC:76277,0,1,0,1,0,0,0,20220823,20221027
AC:76767,0,1,0,0,0,0,0,20220807,20221203
ST:77943,1,1,1,1,1,0,0,20220918,20231231
CT:72982,1,1,1,1,1,0,0,20220307,20221101
SA:76456,0,0,0,0,0,1,1,20220430,20230630
SC:76299,1,1,1,1,1,0,0,20220822,20221028
SC:77828,0,1,0,1,0,0,0,20220816,20221027
GG:75205,0,0,0,0,0,0,1,20220821,20220905
SC:72915,1,1,0,1,0,0,0,20220822,20221027
SC:77814,0,0,0,0,0,0,1,20220918,20220918
AC:77900,0,0,1,0,0,0,0,20220807,20221203
3D:77957,0,0,0,0,0,1,0,20220912,20231231
SC:76290,1,1,1,1,0,0,0,20220829,20221027
AF:77687,1,1,1,1,1,0,0,20220601,20220831
EM:72791,0,0,0,0,0,1,0,20220527,20221231
FS:75720,1,1,1,1,1,0,0,20220807,20230101
SC:77832,1,0,1,0,1,0,0,20220815,20221028
SC:77865,1,1,1,1,1,0,0,20220613,20220809
SC:76513,1,0,0,0,0,0,0,20220815,20221024
SC:77817,0,1,0,1,0,0,0,20220823,20221027
AC:77909,0,0,0,0,0,0,0,20220808,20221125
SC:77871,1,1,1,1,1,0,0,20220613,20220810
SC:77819,0,0,1,0,1,0,0,20220824,20221028
SO:73086,0,0,0,0,0,1,1,20220814,20221231
ST:77947,0,0,0,0,0,0,1,20220816,20231231
AF:77968,0,0,0,0,0,1,1,20221010,20221031
DE:77763,1,1,1,1,1,0,0,20220328,20220610
WC:76918,1,1,0,1,1,0,0,20220816,20221118
SM:77923,1,1,0,1,1,0,0,20220815,20221104
SO:77940,0,0,0,0,0,0,0,20221125,20221125
VN:73049,1,1,1,1,1,0,0,20220814,20230301
ST:73006,1,1,1,1,1,0,0,20220816,20221120
PE:72837,0,0,1,0,0,0,0,20210628,20220628
SC:77854,1,1,1,1,1,0,0,20220613,20220811
AF:77965,1,1,1,1,1,0,0,20220901,20220911
CC:75938,0,0,0,0,0,1,0,20220807,20221112
SC:77860,0,0,0,0,0,1,0,20220618,20220813
SC:72914,1,1,1,1,1,0,0,20220815,20221028
SO:73087,0,0,0,0,0,0,1,20220814,20221231
AM:75701,0,0,0,0,0,1,1,20220815,20221231
SM:77786,0,1,0,0,0,0,0,20220808,20220812
CC:75937,0,0,1,0,0,0,0,20220807,20221112
PE:76184,0,0,0,0,0,0,0,20210705,20211220
MV:77730,0,0,0,0,0,0,0,20220715,20221007
VC:76944,0,0,0,0,0,1,0,20210801,20220731
SC:77885,1,1,1,1,1,0,0,20220613,20220812
SC:76355,0,0,0,0,0,1,0,20220820,20221029
SC:77859,1,1,1,1,1,0,0,20220613,20220809
SC:77869,0,0,0,0,0,0,1,20220619,20220814
BA:75726,0,0,0,0,0,1,0,20220219,20220910
mtc-fares:sept2021,1,1,1,1,1,1,1,20210901,20210930
CM:73306,1,1,1,1,1,0,0,20220523,20230101
SC:76345,0,0,0,1,0,0,0,20220818,20221027
SC:76351,1,0,0,0,0,0,0,20220822,20221010
WH:77798,1,0,0,0,0,0,0,20220813,20220930
SF:73693,0,0,0,0,0,1,0,20220730,20220930
SC:76302,1,1,0,1,0,0,0,20220815,20221027
AC:77914,0,0,0,0,0,0,0,20220808,20221125
GF:76707,0,0,0,0,0,0,1,20220710,20220905
SI:74999,1,1,1,1,1,1,1,20210505,20291231
SC:77840,1,1,1,1,1,0,0,20220613,20220811
SC:76287,0,0,1,0,1,0,0,20220817,20221028
SC:76300,1,1,1,1,1,0,0,20220815,20221017
AF:77685,0,0,0,0,0,1,1,20220401,20220531
SS:75014,1,1,1,1,1,0,0,20220101,20230131
SC:77808,1,1,1,1,1,0,0,20220817,20221028
