route_id,direction_id,direction
TD:Berk - P52 - P1.5,1,West
TD:Berk-SF,1,West
TD:Berk-SF,0,East
SI:West Field Garage,0,Loop
SI:Red Line,0,Loop
SI:Lot D,0,Inbound
SI:Blue Line,0,Loop
PE:2,1,Inbound
PE:2,0,Outbound
PE:3,1,Loop
PE:24,0,Outbound
PE:24,1,Inbound
PE:501,1,Loop
PE:501,0,Outbound
PE:11,0,Outbound
PE:11,1,Inbound
PE:301,0,Outbound
PE:302,1,Inbound
PE:303,1,Inbound
PE:311,1,Inbound
PE:311,0,Outbound
PE:33,1,Loop
PE:312,1,Inbound
PE:10,0,Outbound
PE:10,1,Inbound
UC:1,1,Inbound
UC:1,0,Outbound
UC:3,1,Inbound
UC:3,0,Outbound
UC:4,1,Inbound
UC:4,0,Outbound
UC:5,1,Inbound
UC:5,0,Outbound
UC:2,0,Outbound
UC:2,1,Inbound
EM:Hollis,0,Loop
EM:Shellmound/Powell,0,Loop
CE:ACE,1,Outbound
CE:ACE,0,Inbound
SS:BLUE,1,Outbound
SS:GREEN,0,Inbound
CT:B7,0,North
CT:B7,1,South
CT:L1,1,South
CT:L1,0,North
CT:L2,1,South
CT:L2,0,North
CT:L3,0,North
CT:L3,1,South
CT:L4,1,South
CT:L4,0,North
CT:L5,0,North
CT:L5,1,South
RV:50,1,East
RV:50,0,West
SA:SMART,1,North
SA:SMART,0,South
MV:C - Morning,0,Loop
MV:A - Morning,0,Loop
MV:C - Afternoon,0,Loop
MV:A - Afternoon,0,Loop
MV:B - Morning,0,Loop
MV:B - Afternoon,0,Loop
MV:D - Morning,0,Loop
MV:B - Afternoon Concert,0,Loop
MV:C - Afternoon Concert,0,Loop
MV:D - Afternoon,0,Loop
VC:2,1,ALoop
VC:2,0,BLoop
VC:3,0,Loop
VC:4,0,Loop
VC:5,0,Inbound
VC:5,1,Outbound
VC:6,0,Inbound
VC:6,1,Outbound
CM:NB Shuttle,0,Loop
CM:LC Shuttle,0,Loop
CM:RLC Shuttle,0,Loop
CM:OPF Shuttle,0,Loop
CM:SEA Shuttle,0,Loop
CM:OTP Shuttle,0,Outbound
CM:MB Shuttle,0,Loop
CM:M3 Shuttle (City of Menlo Park),0,Loop
CM:DCB Shuttle (SamTrans),1,East
CM:DCB Shuttle (SamTrans),0,West
CM:MPT Shuttle,0,Loop
CM:M4 Shuttle (City of Menlo Park),0,Loop
CM:MAR Shuttle,0,Loop
CM:OPC Shuttle,0,Loop
