fare_product_id,fare_product_name,rider_category_id,fare_container_id,bundle_amount,duration_start,duration_amount,duration_unit,duration_type,offset_amount,offset_unit,service_id,timeframe_id,timeframe_type,cap_required,eligible_cap_id,amount,min_amount,max_amount,currency
FS:ten-ride,FAST Transit 10-Ride Pass,,,10,,,,,,,,,,,,17.5,,,USD
AC:local,AC Transit Disabled Monthly,AC:discount,clipper,,,31,3,1,,,,,,,,34,,,USD
AC:local,AC Transit Senior Monthly,AC:discount,clipper,,,31,3,1,,,,,,,,34,,,USD
AC:local,AC Transit Youth 31 Day,AC:discount,clipper,,,31,3,1,,,,,,,,34,,,USD
AC:local,AC Transit Adult Local 31 Day,,clipper,,,31,3,1,,,,,,,,84.6,,,USD
AC:day,AC Transit Local Day Pass,,,,,1,3,1,,,,,,,,5.5,,,USD
AC:day,AC Transit Local Day Pass,,clipper,,,1,3,1,,,,,,2,,5,,,USD
AC:day,AC Transit Local Day Pass (Disabled),AC:discount,,,,1,3,1,,,,,,,,2.75,,,USD
AC:day,AC Transit Local Day Pass (Disabled),AC:discount,clipper,,,1,3,1,,,,,,2,,2.5,,,USD
AC:day,AC Transit Local Day Pass (Senior),AC:discount,,,,1,3,1,,,,,,,,2.75,,,USD
AC:day,AC Transit Local Day Pass (Senior),AC:discount,clipper,,,1,3,1,,,,,,2,,2.5,,,USD
AC:day,AC Transit Local Day Pass (Youth),AC:discount,,,,1,3,1,,,,,,,,2.75,,,USD
AC:day,AC Transit Local Day Pass (Youth),AC:discount,clipper,,,1,3,1,,,,,,2,,2.5,,,USD
AC:transbay,AC Transit Adult Transbay 31 Day,,clipper,,,31,3,1,,,,,,,,216,,,USD
CT:1zone:monthly,Caltrain 1 Zone,,clipper,,,1,5,1,,,,,,,,96,,,USD
CT:1zone:day,Caltrain 1 Zone Day Pass,,,,,1,3,1,,,,,,,,7.5,,,USD
CT:1zone:day,Caltrain 1 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,3.75,,,USD
CT:1zone:monthly,Caltrain 1 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,48,,,USD
CT:multizone:2:monthly,Caltrain 2 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,78,,,USD
CT:multizone:3:monthly,Caltrain 3 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,108,,,USD
CT:multizone:4:monthly,Caltrain 4 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,138,,,USD
CT:multizone:5:monthly,Caltrain 5 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,168,,,USD
CT:multizone:6:monthly,Caltrain 6 Zone (Discount),CT:discount,clipper,,,1,5,1,,,,,,,,198,,,USD
CT:multizone:2:monthly,Caltrain 2 Zone,,clipper,,,1,5,1,,,,,,,,163.5,,,USD
CT:multizone:2:day,Caltrain 2 Zone Day Pass,,,,,1,3,1,,,,,,,,12,,,USD
CT:multizone:2:day,Caltrain 2 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,6,,,USD
CT:multizone:3:monthly,Caltrain 3 Zone,,clipper,,,1,5,1,,,,,,,,231,,,USD
CT:multizone:3:day,Caltrain 3 Zone Day Pass,,,,,1,3,1,,,,,,,,16.5,,,USD
CT:multizone:3:day,Caltrain 3 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,8.25,,,USD
CT:multizone:4:monthly,Caltrain 4 Zone,,clipper,,,1,5,1,,,,,,,,298.5,,,USD
CT:multizone:4:day,Caltrain 4 Zone Day Pass,,,,,1,3,1,,,,,,,,21,,,USD
CT:multizone:4:day,Caltrain 4 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,10.5,,,USD
CT:multizone:5:monthly,Caltrain 5 Zone,,clipper,,,1,5,1,,,,,,,,366,,,USD
CT:multizone:5:day,Caltrain 5 Zone Day Pass,,,,,1,3,1,,,,,,,,25.5,,,USD
CT:multizone:5:day,Caltrain 5 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,12.75,,,USD
CT:multizone:6:monthly,Caltrain 6 Zone,,clipper,,,1,5,1,,,,,,,,433.5,,,USD
CT:multizone:6:day,Caltrain 6 Zone Day Pass,,,,,1,3,1,,,,,,,,30,,,USD
CT:multizone:6:day,Caltrain 6 Zone Day Pass (Discount),CT:discount,,,,1,3,1,,,,,,,,15,,,USD
