from_leg_group_id,to_leg_group_id,is_symmetrical,spanning_limit,transfer_id,transfer_sequence,duration_limit,duration_limit_type,fare_transfer_type,amount,min_amount,max_amount,currency,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,inactive
SC,AC,0,,,,9000,1,0,0,,,USD,SC:express,cash,adult,,
AC,DE:transbay,0,,,,7200,1,0,1.75,,,USD,AC:day,cash,DE:discount,,
AC,DE:transbay,0,,,,7200,1,0,1.75,,,USD,AC:transbay,cash,DE:discount,,
AC,DE:transbay,0,,,,7200,1,0,1.75,,,USD,AC:local,cash,DE:discount,,
AC,AC:transbay,0,,,,,,0,3.5,,,USD,AC:day,cash,adult,,
AC,AC:transbay,0,,,,,,0,1.75,,,USD,AC:day,cash,AC:discount,,
AC,DE:transbay,0,,,,7200,1,0,3.5,,,USD,AC:day,cash,adult,,
AC,DE:transbay,0,,,,7200,1,0,3.5,,,USD,AC:transbay,cash,adult,,
AC,DE:transbay,0,,,,7200,1,0,3.5,,,USD,AC:local,cash,adult,,
AC,DE,0,,,,7200,1,0,0,,,USD,AC:day,cash,adult,,
AC,DE,0,,,,,,0,0,,,USD,AC:day,cash,adult,,
AC,DE:transbay,0,,,,,,0,3.5,,,USD,AC:local,cash,adult,,
AC,DE:transbay,0,,,,,,0,3.5,,,USD,AC:day,cash,adult,,
AC,DE,0,,,,7200,1,0,0,,,USD,AC:transbay,cash,adult,,
AC,DE,0,,,,7200,1,0,0,,,USD,AC:local,cash,adult,,
AC:transbay,SM,0,,,,7200,1,0,0,,,USD,AC:transbay,cash,adult,,
DE,DE:transbay,0,,,,7200,1,0,1.88,,,USD,AC:day,clipper,DE:discount,,
DE,DE:transbay,0,,,,7200,1,0,1.88,,,USD,AC:transbay,clipper,DE:discount,,
DE,DE:transbay,0,,,,7200,1,0,1.88,,,USD,AC:local,clipper,DE:discount,,
DE,DE:transbay,0,,,,7200,1,0,3.75,,,USD,AC:day,clipper,adult,,
DE,DE:transbay,0,,,,7200,1,0,3.75,,,USD,AC:transbay,clipper,adult,,
AC:transbay,SM:express,0,,,,7200,1,0,1,,,USD,AC:local,clipper,SM:discount,,
AC:transbay,SM:express,0,,,,7200,1,0,1,,,USD,AC:transbay,clipper,SM:discount,,
AC:transbay,SM:express,0,,,,7200,1,0,1.95,,,USD,AC:local,clipper,adult,,
AC:transbay,SM:express,0,,,,7200,1,0,1.95,,,USD,AC:transbay,clipper,adult,,
AC:transbay,SM,0,,,,7200,1,0,0,,,USD,AC:local,clipper,adult,,
AC:transbay,SM,0,,,,7200,1,0,0,,,USD,AC:transbay,clipper,adult,,
DE,DE:transbay,0,,,,7200,1,0,3.75,,,USD,AC:local,clipper,adult,,
SM,SC,0,,,,7200,1,0,0,,,USD,SM:express:monthly,clipper,adult,,
SM,SC:express,0,,,,7200,1,0,2.5,,,USD,SM:express:monthly,clipper,adult,,
SM,SC:express,0,,,,7200,1,0,0,,,USD,SM:express:monthly,clipper,SC:youth,,
SM,SC:express,0,,,,7200,1,0,0,,,USD,SM:express:monthly,clipper,SC:discount,,
SM,AC,0,,,,7200,1,0,0,,,USD,SM:express:monthly,cash,adult,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:2:monthly,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:3:monthly,clipper,AC:discount,,
