agency_id,feed_version,sha1,feed_start_date,feed_end_date
RV,20220624,64499f381fdabddfa730ebdae5a3fe15fceed441,20210622,20221101
TD,20220323,b0f168b2d7a7afa4a31f7b4f885d5701c8729fce,20220322,20221001
SI,20220323,427667e072baa8c6d23b5c9e32395193fcf63e92,20210505,20291231
PE,20220323,f1935d48a920214bf1e337afd88f00b9001a16bb,20210628,20220628
SR,20220814,742768c5af7728052734a90401590f71129754f0,20220814,20230808
FS,20220803,82114dcf6d13313d731c1b865ff8e0d951e9394b,20220402,20230101
SC,20220805,91503ef3859336af1fdf7ae7214cda5ebb5bdbac,20220613,20221030
AC,20220806,b51696a372bd8f7f200f11aa56024782da4b496a,20220807,20221203
GF,20220808,e00644a8271a710aad04779d5277dd1a28acbd55,20220612,20220910
BA,20220809,3009a972194caec00f133c4df465f5d64c70aa37,20220214,20220911
SO,20220809,67cdeef3df2c924ea79ec4431c3def75f4d07e17,20220612,20221231
SM,20220809,f6606360b3733159781624337186140e42e867fd,20220807,20221105
WC,20220809,b93506e02b3f49a24247faa1280a970351834a4e,20200418,20230228
SA,20220711,d61408996f3cb0b2825bfcd64a172de95a726c79,20220430,20230630
MV,20220715,88bfe53efb224b021f117721d9d0e83fcbc41c7f,20220523,20221231
GG,20220816,de0cea11419de3d560be95298ec0bfe8787907c7,20220815,20220910
MA,20220816,b3b91165f87bf0f6e003e381090bb2325ca1ad73,20220101,20230610
VN,20220816,dccbae7f2aa0651db015ecfcbd3af0c1a217e278,20220814,20230301
CC,20220816,91082c70486521d2eaa327f88c4cee1997159dec,20220807,20221112
ST,20220817,7647a30e64cf07e44b873a35e83a3b1ba9de84c3,20220816,20231231
UC,20220526,5eebb8336702237503779d3d1acde58bbb7b2106,20220212,20220911
EM,20220526,01c1de7eeee6ef2ae34e6f691c97b005ef2428a7,20220527,20221231
VC,20220725,cb465148002b336d583047ac6c2fcee5647eaddf,20210801,20230601
CM,20220725,e013fabe6802c33fc19a12cc2d05c9b9f2c7c728,20220523,20230101
DE,20220727,601c15a7a25c02aa17e122dd94b16e19367b149e,20220328,20221202
CE,20220607,be69a359da0a3d9bce001ec929d751efe8604895,20200323,20221231
SF,20220810,62a8e79e8e43de0bff4e772d02f633ff3bfe353c,20220730,20220930
WH,20220811,aa89932d7492eca18efb764ae15ffb43aa051dc6,20220617,20220930
SB,20220812,a50b7331f628057e132d66c0b2aa331372d1a6bc,20210701,20230801
3D,20220812,bfdd4ed91d9d50e17fa178989d43ec0ce73ea522,20220214,20231231
AF,20220814,e6186f5d00d845c24634f1e1b6b152f0b7d88734,20220401,20221031
AM,20220814,c10fe8febd6582e13fcffb23e8133bb1f30af536,20220815,20221231
SS,20220615,abeea04eef78c6c4de6994d01353314bbfb13097,20220101,20230131
CT,20220617,6e16181b0e7abd99cbd191fef00ce7557d33a70a,20220307,20221101
