pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
mtc:3487-3491-1586751273559,mtc:powell_n1_concourse,mtc:1586751243014,1,1,65.00731,,,,,,
mtc:25274-25273-1589954213813,mtc:fruitvale_bus_bays,55886,1,1,71.55885,,,,,,
mtc:25272-25274-1589954219187,55522,mtc:fruitvale_bus_bays,1,1,53.06321,,,,,,
mtc:25270-25274-1589954234641,55533,mtc:fruitvale_bus_bays,1,1,35.73637,,,,,,
mtc:25267-25274-1589954243761,55550,mtc:fruitvale_bus_bays,1,1,13.26560,,,,,,
mtc:25274-25266-1589954247032,mtc:fruitvale_bus_bays,59000,1,1,11.57954,,,,,,
mtc:25265-25274-1589954251785,51333,mtc:fruitvale_bus_bays,1,1,28.11996,,,,,,
mtc:25290-25288-1590030192447,mtc:1590030180029,mtc:1590030012044,1,1,15.70721,,,,,,
mtc:25295-25292-1590031917285,mtc:1590031873581,51716,1,1,58.77662,,,,,,
mtc:25293-25295-1590031924824,52057,mtc:1590031873581,1,1,84.52412,,,,,,
mtc:25298-25297-1590032052390,mtc:1590032026787,mtc:1590031994266,6,1,13.05914,,,,,,
mtc:25299-25297-1590032159905,mtc:1590032127604,mtc:1590031994266,6,1,14.84539,,,,,,
mtc:25299-25301-1590032228160,mtc:1590032127604,mtc:1590032208908,1,1,1.82949,,,,,,
mtc:25300-25302-1590032286159,mtc:1590032183118,mtc:1590032234026,4,1,14.48302,,,,,,
mtc:25304-25305-1590032546835,mtc:1590032501030,mtc:1590032525953,5,1,0.62869,,,,,,
mtc:25304-25298-1590032555250,mtc:1590032501030,mtc:1590032026787,1,1,12.00804,,,,,,
mtc:25306-25295-1590032631576,mtc:1590032572629,mtc:1590031873581,1,1,27.15352,,,,,,
mtc:25306-25307-1590032640538,mtc:1590032572629,mtc:1590032592706,5,1,0.58723,,,,,,
mtc:25311-25295-1590095724985,mtc:1590095710368,mtc:1590031873581,1,1,8.40537,,,,,,
mtc:25311-25296-1590095730321,mtc:1590095710368,mtc:1590031959728,4,1,12.36349,,,,,,
mtc:25304-25305-1590095841760,mtc:1590032501030,mtc:1590032525953,5,1,0.62869,,,,,,
mtc:25305-25312-1590095958907,mtc:1590032525953,mtc:1590095924653,1,1,20.28562,,,,,,
mtc:25314-25313-1590096110207,mtc:1590096086384,mtc:1590096026092,2,1,14.49342,,15,,,,
mtc:25315-25288-1590156360323,mtc:1590156340882,mtc:1590030012044,1,1,13.86845,,,,,,
mtc:25329-25324-1590157176476,mtc:1590157161749,mtc:1590156908006,1,1,63.06508,,,,,,
mtc:25353-25354-1590158956990,mtc:1590158945944,mtc:1590158956736,5,1,0.83442,,,,,,
mtc:25357-25360-1590159118814,mtc:1590159048520,mtc:1590159090122,1,1,16.20918,,,,,,
mtc:25358-25360-1590159121547,mtc:1590159062261,mtc:1590159090122,1,1,19.26212,,,,,,
mtc:25356-25362-1590159173671,mtc:1590159038022,mtc:1590159143222,2,1,14.53549,,15,,,,
mtc:25355-25361-1590159178731,mtc:1590159014012,mtc:1590159132142,2,1,13.40065,,15,,,,
mtc:25363-25358-1590159182627,mtc:1590159153335,mtc:1590159062261,4,1,13.29091,,,,,,
mtc:25364-25357-1590159187872,mtc:1590159163739,mtc:1590159048520,4,1,10.03022,,,,,,
mtc:25366-25367-1590159396674,mtc:1590159362426,mtc:1590159379295,5,1,1.06341,,,,,,
mtc:25384-25374-1590160882384,mtc:1590160871773,832246,1,1,41.19691,,,,,,
mtc:25373-25384-1590160889098,832247,mtc:1590160871773,1,1,58.59483,,,,,,
mtc:25372-25384-1590160892431,832248,mtc:1590160871773,1,1,75.85223,,,,,,
mtc:25378-25384-1590160895011,832241,mtc:1590160871773,1,1,47.84420,,,,,,
mtc:25377-25384-1590160897629,832242,mtc:1590160871773,1,1,62.78521,,,,,,
mtc:25380-25384-1590160900506,832239,mtc:1590160871773,1,1,67.14228,,,,,,
mtc:25376-25384-1590160907081,832243,mtc:1590160871773,1,1,78.49118,,,,,,
mtc:25371-25384-1590160911961,832249,mtc:1590160871773,1,1,92.69400,,,,,,
mtc:25381-25384-1590160918370,827002,mtc:1590160871773,1,1,100.28041,,,,,,
mtc:25375-25384-1590160921687,832244,mtc:1590160871773,1,1,95.31112,,,,,,
mtc:25370-25384-1590160925104,832250,mtc:1590160871773,1,1,109.73666,,,,,,
mtc:25393-25387-1590161274796,mtc:1590161266960,mtc:1590161103916,6,1,5.78493,,,,,,
mtc:25395-25393-1590161306508,mtc:1590161295752,mtc:1590161266960,1,1,13.65441,,,,,,
mtc:25390-25393-1590161320965,mtc:1590161174218,mtc:1590161266960,1,1,7.99878,,,,,,
mtc:25394-25393-1590161323712,mtc:1590161284885,mtc:1590161266960,1,1,11.45442,,,,,,
mtc:25391-25393-1590161327021,mtc:1590161190483,mtc:1590161266960,1,1,7.74872,,,,,,
mtc:25385-25396-1590161367602,mtc:1590160940536,mtc:1590161344860,5,1,0.66249,,,,,,
mtc:25401-25391-1590161429658,mtc:1590161416673,mtc:1590161190483,2,1,14.88726,,15,,,,
mtc:25398-25390-1590161434416,mtc:1590161387307,mtc:1590161174218,2,1,15.15451,,15,,,,
mtc:25400-25395-1590161441829,mtc:1590161407267,mtc:1590161295752,4,1,14.86337,,,,,,
mtc:25399-25394-1590161450540,mtc:1590161396906,mtc:1590161284885,4,1,16.80513,,,,,,
mtc:25420-25419-1590165219682,mtc:1590165205958,mtc:1590165188012,5,1,4.69185,,,,,,
mtc:25422-25421-1590165261482,mtc:1590165248455,mtc:richmond_nevin_street_stairs,2,1,7.79432,,15,,,,
mtc:25417-25423-1590165319832,mtc:richmond-nevin-street-ramp,mtc:1590165293699,1,1,44.23896,,,,,,
mtc:25424-25423-1590165357140,mtc:1590165341444,mtc:1590165293699,1,1,5.62185,,,,,,
mtc:25422-25424-1590165364452,mtc:1590165248455,mtc:1590165341444,1,1,6.06875,,,,,,
mtc:25420-25424-1590165371937,mtc:1590165205958,mtc:1590165341444,1,1,5.94390,,,,,,
mtc:25429-25427-1590174293083,mtc:1590174281640,mtc:1590174242289,5,1,1.35426,,,,,,
mtc:25428-25425-1590174297999,mtc:1590174266342,mtc:1590174006737,2,1,10.94036,,15,,,,
mtc:25430-25428-1590174331956,mtc:1590174313166,mtc:1590174266342,1,1,4.15910,,,,,,
mtc:25429-25430-1590174334864,mtc:1590174281640,mtc:1590174313166,1,1,5.09407,,,,,,
mtc:25424-25431-1590174435531,mtc:1590165341444,mtc:1590174353545,1,1,19.25717,,,,,,
mtc:25432-25431-1590174445102,mtc:1590174371432,mtc:1590174353545,6,1,3.90435,,,,,,
mtc:25433-25432-1590174451379,mtc:1590174394158,mtc:1590174371432,1,1,7.60652,,,,,,
mtc:25434-25432-1590174454399,mtc:1590174408597,mtc:1590174371432,1,1,6.88504,,,,,,
mtc:25435-25432-1590174457060,mtc:1590174420212,mtc:1590174371432,1,1,23.37892,,,,,,
mtc:25426-25406-1590174540641,mtc:1590174226226,51673,1,1,69.60157,,,,,,
mtc:25407-25426-1590174543902,51674,mtc:1590174226226,1,1,73.13403,,,,,,
mtc:25408-25426-1590174546838,51672,mtc:1590174226226,1,1,93.26947,,,,,,
mtc:25409-25426-1590174551219,51679,mtc:1590174226226,1,1,89.42041,,,,,,
mtc:25410-25426-1590174556775,51646,mtc:1590174226226,1,1,133.49058,,,,,,
mtc:25411-25426-1590174560563,51643,mtc:1590174226226,1,1,125.69805,,,,,,
mtc:25412-25426-1590174565094,51641,mtc:1590174226226,1,1,113.15145,,,,,,
mtc:25439-25438-1590174620517,mtc:1590174614115,mtc:1590174503707,5,1,1.26278,,,,,,
mtc:25440-25437-1590174672166,mtc:1590174647729,mtc:1590174487639,2,1,12.71999,,15,,,,
mtc:25441-25439-1590174696340,mtc:1590174683662,mtc:1590174614115,1,1,5.97494,,,,,,
mtc:25440-25441-1590174701858,mtc:1590174647729,mtc:1590174683662,1,1,2.56372,,,,,,
mtc:25444-25434-1590174765917,mtc:1590174755235,mtc:1590174408597,4,1,9.96552,,,,,,
mtc:25433-25442-1590174771943,mtc:1590174394158,mtc:1590174727796,2,1,9.86765,,15,,,,
mtc:25435-25443-1590174775908,mtc:1590174420212,mtc:1590174739520,5,1,1.09203,,,,,,
mtc:25447-25448-1590524971684,mtc:1590524918751,mtc:1590524936487,2,1,11.98622,,15,,,,
mtc:25299-25447-1590524976670,mtc:1590032127604,mtc:1590524918751,1,1,2.02093,,,,,,
mtc:25301-25446-1590524981175,mtc:1590032208908,mtc:1590524904898,4,1,11.83086,,,,,,
mtc:25462-25471-1590526265116,mtc:1590526043230,mtc:1590526238028,1,1,6.57887,,,,,,
mtc:25467-25462-1590526271155,mtc:1590526183914,mtc:1590526043230,1,1,6.29295,,,,,,
mtc:25463-25462-1590526275638,mtc:1590526065141,mtc:1590526043230,1,1,30.21126,,,,,,
mtc:25464-25462-1590526278585,mtc:1590526091297,mtc:1590526043230,1,1,30.05303,,,,,,
mtc:25468-25462-1590526281647,mtc:1590526198667,mtc:1590526043230,1,1,5.78264,,,,,,
mtc:25472-25462-1590526284998,mtc:1590526248264,mtc:1590526043230,1,1,6.51492,,,,,,
mtc:25470-25462-1590526288246,mtc:1590526223380,mtc:1590526043230,1,1,5.84681,,,,,,
mtc:25469-25462-1590526290770,mtc:1590526212064,mtc:1590526043230,1,1,6.32630,,,,,,
mtc:25466-25462-1590526295342,mtc:1590526160168,mtc:1590526043230,1,1,26.74585,,,,,,
mtc:25465-25462-1590526298238,mtc:1590526105433,mtc:1590526043230,1,1,26.98640,,,,,,
mtc:25482-25465-1590526494426,mtc:1590526484707,mtc:1590526105433,4,1,14.20603,,,,,,
mtc:25466-25481-1590526502220,mtc:1590526160168,mtc:1590526475885,4,1,13.79534,,,,,,
mtc:25479-25470-1590526506581,mtc:1590526453771,mtc:1590526223380,2,1,13.96107,,15,,,,
mtc:25469-25480-1590526512986,mtc:1590526212064,mtc:1590526466928,2,1,13.44749,,15,,,,
mtc:25477-25472-1590526519807,mtc:1590526429254,mtc:1590526248264,5,1,1.22717,,,,,,
mtc:25471-25478-1590526527696,mtc:1590526238028,mtc:1590526443167,5,1,0.98199,,,,,,
mtc:25476-25467-1590526537130,mtc:1590526418388,mtc:1590526183914,2,1,13.00699,,15,,,,
mtc:25475-25468-1590526546209,mtc:1590526407790,mtc:1590526198667,2,1,13.36038,,15,,,,
mtc:25473-25464-1590526551525,mtc:1590526381445,mtc:1590526091297,4,1,12.14917,,,,,,
mtc:25474-25463-1590526556174,mtc:,mtc:1590526065141,4,1,12.73874,,,,,,
mtc:25488-25486-1590527259250,mtc:1590527216020,mtc:1590527192369,4,1,18.62510,,,,,,
mtc:25489-25487-1590527263949,mtc:1590527226134,mtc:1590527204785,2,1,18.79327,,15,,,,
mtc:25493-25492-1590527353691,mtc:1590527345690,mtc:1590527332683,5,1,0.40075,,,,,,
mtc:25502-25501-1590528706642,mtc:1590528681703,mtc:1590528669453,1,1,8.35491,,,,,,
mtc:25500-25501-1590528709668,mtc:1590528652222,mtc:1590528669453,1,1,18.11438,,,,,,
mtc:25516-25515-1590530181921,mtc:1590530136821,mtc:1590530116932,2,1,7.85722,,15,,,,
mtc:25518-25517-1590530357202,mtc:1590530341106,mtc:1590530150869,2,1,10.56845,,15,,,,
mtc:25517-25520-1590530968380,mtc:1590530150869,mtc:1590530953164,1,1,12.98114,,,,,,
mtc:25520-25516-1590530972500,mtc:1590530953164,mtc:1590530136821,1,1,11.32292,,,,,,
mtc:25522-25521-1590531021317,mtc:1590530999769,mtc:1590530979285,1,1,6.04043,,,,,,
mtc:25520-25522-1590531046562,mtc:1590530953164,mtc:1590530999769,1,1,9.56182,,,,,,
mtc:25523-25524-1590531112072,mtc:1590531075225,mtc:1590531089291,1,1,36.23840,,,,,,
mtc:25530-25529-1590531747673,mtc:1590531675177,mtc:1590531660372,1,1,38.89777,,,,,,
mtc:25532-25531-1590531796699,mtc:1590531776816,mtc:1590531761846,1,1,39.16197,,,,,,
mtc:25534-25533-1590531841392,mtc:1590531827477,mtc:1590531802457,1,1,36.72544,,,,,,
mtc:25526-25533-1590531848525,mtc:1590531198491,mtc:1590531802457,1,1,13.33212,,,,,,
mtc:25530-25526-1590531851596,mtc:1590531675177,mtc:1590531198491,1,1,14.90709,,,,,,
mtc:25525-25528-1590531854561,mtc:1590531185940,mtc:1590531641880,1,1,16.02664,,,,,,
mtc:25532-25525-1590531857377,mtc:1590531776816,mtc:1590531185940,1,1,12.52763,,,,,,
mtc:25543-25512-1590532348859,mtc:1590532322702,60328,1,1,12.53909,,,,,,
mtc:25543-25513-1590532351905,mtc:1590532322702,60519,1,1,33.90590,,,,,,
mtc:25514-25543-1590532354931,347082,mtc:1590532322702,1,1,38.85463,,,,,,
mtc:25511-25543-1590532358112,347609,mtc:1590532322702,1,1,35.95803,,,,,,
mtc:25543-25510-1590532363016,mtc:1590532322702,55003,1,1,56.11791,,,,,,
mtc:25543-25508-1590532368364,mtc:1590532322702,61563,1,1,93.32179,,,,,,
mtc:25543-25509-1590532371612,mtc:1590532322702,347084,1,1,91.97064,,,,,,
mtc:25543-25507-1590532374699,mtc:1590532322702,347085,1,1,110.87858,,,,,,
mtc:25543-25506-1590532377941,mtc:1590532322702,64836,1,1,110.96728,,,,,,
mtc:25548-25543-1590532902285,mtc:1590532894481,mtc:1590532322702,1,1,24.91871,,,,,,
mtc:25521-25548-1590532912550,mtc:1590530979285,mtc:1590532894481,1,1,4.31738,,,,,,
mtc:25557-25556-1590533273064,mtc:1590533256879,mtc:1590533243539,1,1,3.21754,,,,,,
mtc:25523-25559-1590533307705,mtc:1590531075225,mtc:1590533296218,1,1,2.52159,,,,,,
mtc:25560-25556-1590533426733,mtc:1590533412274,mtc:1590533243539,1,1,15.59617,,,,,,
mtc:25562-25554-1590533520017,mtc:1590533507036,mtc:Northbound-South-Plaza,1,1,3.54911,,,,,,
mtc:25627-25622-1590601922568,mtc:1590601912389,mtc:1590601745654,4,1,14.34058,,,,,,
mtc:25626-25623-1590601928871,mtc:1590601902142,mtc:1590601775443,2,1,14.41532,,15,,,,
mtc:25625-25621-1590601932868,mtc:1590601891345,mtc:1590601726711,5,1,2.04054,,,,,,
mtc:25620-25624-1590601938513,mtc:1590601695811,mtc:1590601868722,2,1,13.50064,,15,,,,
mtc:25638-25633-1590602231135,mtc:1590602209435,mtc:1590602098795,4,1,14.00647,,,,,,
mtc:25632-25637-1590602235938,mtc:1590602089328,mtc:1590602196198,2,1,14.03642,,15,,,,
mtc:25629-25634-1590602246630,mtc:1590602036618,mtc:1590602116296,2,1,14.33838,,15,,,,
mtc:25635-25630-1590602258703,mtc:1590602133632,mtc:1590602063175,4,1,14.31125,,,,,,
mtc:25624-25628-1590602323278,mtc:1590601868722,mtc:1590602019996,1,1,25.72271,,,,,,
mtc:25625-25628-1590602326444,mtc:1590601891345,mtc:1590602019996,1,1,16.79052,,,,,,
mtc:25627-25628-1590602329519,mtc:1590601912389,mtc:1590602019996,1,1,20.39652,,,,,,
mtc:25626-25628-1590602332306,mtc:1590601902142,mtc:1590602019996,1,1,22.21290,,,,,,
mtc:25631-25628-1590602343521,mtc:1590602076776,mtc:1590602019996,1,1,10.80689,,,,,,
mtc:25643-25642-1590602879625,mtc:1590602862971,mtc:1590602845570,1,1,15.21473,,,,,,
mtc:25638-25642-1590602886215,mtc:1590602209435,mtc:1590602845570,1,1,7.32700,,,,,,
mtc:25637-25642-1590602889254,mtc:1590602196198,mtc:1590602845570,1,1,5.35085,,,,,,
mtc:25645-25554-1590603912475,mtc:1590603892207,mtc:Northbound-South-Plaza,1,1,31.91891,,,,,,
mtc:25646-25559-1590604026473,mtc:1590604002013,mtc:1590533296218,1,1,2.73805,,,,,,
mtc:25648-25561-1590608768137,mtc:1590608734108,mtc:1590533465432,1,1,7.44745,,,,,,
mtc:25556-25648-1590608776167,mtc:1590533243539,mtc:1590608734108,1,1,36.97198,,,,,,
mtc:25564-25649-1590608829263,mtc:1590533636807,mtc:1590608805265,1,1,3.06009,,,,,,
mtc:25664-25635-1590609758577,mtc:1590609742937,mtc:1590602133632,1,1,5.95133,,,,,,
mtc:25664-25634-1590609765707,mtc:1590609742937,mtc:1590602116296,1,1,4.54821,,,,,,
mtc:25676-25673-1590610052332,mtc:1590610028108,mtc:1590609988732,1,1,6.45764,,,,,,
mtc:25674-25676-1590610054910,mtc:1590610007141,mtc:1590610028108,1,1,6.32706,,,,,,
mtc:25675-25676-1590610057531,mtc:1590610014638,mtc:1590610028108,1,1,17.32913,,,,,,
mtc:25693-25691-1590610935905,mtc:1590610890461,mtc:1590610870373,6,1,10.54037,,,,,,
mtc:25696-25692-1590611155792,mtc:1590611086962,mtc:1590610879551,1,1,11.00334,,,,,,
mtc:25697-25692-1590611158709,mtc:1590611116274,mtc:1590610879551,1,1,13.19737,,,,,,
mtc:25698-25692-1590611161251,mtc:1590611128077,mtc:1590610879551,1,1,11.75138,,,,,,
mtc:25628-25691-1590611190828,mtc:1590602019996,mtc:1590610870373,1,1,14.30161,,,,,,
mtc:25702-25696-1590616729170,mtc:1590616697574,mtc:1590611086962,4,1,13.65686,,,,,,
mtc:25703-25697-1590616757690,mtc:1590616737777,mtc:1590611116274,2,1,13.07848,,15,,,,
mtc:25708-25693-1590616930627,mtc:1590616908054,mtc:1590610890461,1,1,13.72176,,,,,,
mtc:25707-25693-1590616934011,mtc:1590616890205,mtc:1590610890461,1,1,11.53122,,,,,,
mtc:25714-25673-1590617099930,mtc:1590617089406,mtc:1590609988732,2,1,13.67247,,15,,,,
mtc:25715-25674-1590617120752,mtc:1590617109330,mtc:1590610007141,4,1,13.46752,,,,,,
mtc:25716-25675-1590617135973,mtc:1590617125452,mtc:1590610014638,5,1,1.60754,,,,,,
mtc:25676-25718-1590617364794,mtc:1590610028108,mtc:1590617348835,1,1,22.66040,,,,,,
mtc:25676-25691-1590617469727,mtc:1590610028108,mtc:1590610870373,1,1,18.79760,,,,,,
mtc:25751-25750-1590692745368,mtc:1590692730297,mtc:1590692717733,6,1,16.23422,,,,,,
mtc:25758-25756-1590692957299,mtc:1590692868953,mtc:1590692842336,4,1,14.14092,,,,,,
mtc:25752-25762-1590692962059,mtc:1590692762984,mtc:1590692911038,5,1,0.40847,,,,,,
mtc:25754-25763-1590692966293,mtc:1590692798029,mtc:1590692924547,2,1,14.49461,,15,,,,
mtc:25755-25764-1590692974804,mtc:1590692806381,mtc:1590692933273,2,1,13.72762,,15,,,,
mtc:25765-25753-1590692981989,mtc:1590692941302,mtc:1590692778050,5,1,0.03846,,,,,,
mtc:25759-25757-1590692987418,mtc:1590692880936,mtc:1590692852120,4,1,13.81468,,,,,,
mtc:25751-25754-1590692997916,mtc:1590692730297,mtc:1590692798029,1,1,10.45283,,,,,,
mtc:25752-25751-1590693000391,mtc:1590692762984,mtc:1590692730297,1,1,13.22179,,,,,,
mtc:25756-25751-1590693002707,mtc:1590692842336,mtc:1590692730297,1,1,9.87099,,,,,,
mtc:25755-25751-1590693005130,mtc:1590692806381,mtc:1590692730297,1,1,9.08828,,,,,,
mtc:25753-25751-1590693007592,mtc:1590692778050,mtc:1590692730297,1,1,11.26073,,,,,,
mtc:25757-25751-1590693010088,mtc:1590692852120,mtc:1590692730297,1,1,9.37729,,,,,,
mtc:25766-25750-1590693095492,mtc:1590693042389,mtc:1590692717733,1,1,15.08361,,,,,,
mtc:25728-25766-1590693100095,831073,mtc:1590693042389,1,1,35.11625,,,,,,
mtc:25729-25766-1590693102755,832136,mtc:1590693042389,1,1,36.44089,,,,,,
mtc:25732-25766-1590693106160,831074,mtc:1590693042389,1,1,18.36733,,,,,,
mtc:25731-25766-1590693108765,832135,mtc:1590693042389,1,1,13.91148,,,,,,
mtc:25730-25766-1590693111064,75398,mtc:1590693042389,1,1,9.59614,,,,,,
mtc:25766-25733-1590693116496,mtc:1590693042389,831072,1,1,62.45974,,,,,,
mtc:25734-25766-1590693119577,832137,mtc:1590693042389,1,1,63.54954,,,,,,
mtc:25735-25766-1590693126499,51431,mtc:1590693042389,1,1,84.64778,,,,,,
mtc:25736-25766-1590693129544,831071,mtc:1590693042389,1,1,91.14063,,,,,,
mtc:25737-25766-1590693132405,832138,mtc:1590693042389,1,1,86.75505,,,,,,
mtc:25770-25765-1590693174058,mtc:1590693160704,mtc:1590692941302,1,1,12.08180,,,,,,
mtc:25770-25764-1590693177064,mtc:1590693160704,mtc:1590692933273,1,1,27.48908,,,,,,
mtc:25759-25770-1590693179691,mtc:1590692880936,mtc:1590693160704,1,1,11.58950,,,,,,
mtc:25762-25769-1590693182161,mtc:1590692911038,mtc:1590693150141,1,1,9.79827,,,,,,
mtc:25769-25763-1590693185140,mtc:1590693150141,mtc:1590692924547,1,1,24.60121,,,,,,
mtc:25758-25769-1590693188121,mtc:1590692868953,mtc:1590693150141,1,1,13.64855,,,,,,
mtc:25788-25787-1590696831460,mtc:1590696820464,mtc:1590696789280,6,1,18.54512,,,,,,
mtc:25796-25788-1590697425186,mtc:1590697406157,mtc:1590696820464,1,1,16.88835,,,,,,
mtc:25794-25788-1590697428672,mtc:1590697374168,mtc:1590696820464,1,1,9.52853,,,,,,
mtc:25792-25788-1590697430929,mtc:1590697355234,mtc:1590696820464,1,1,11.59979,,,,,,
mtc:25790-25788-1590697433181,mtc:1590697320725,mtc:1590696820464,1,1,20.66905,,,,,,
mtc:25791-25788-1590697436388,mtc:1590697345027,mtc:1590696820464,1,1,18.64697,,,,,,
mtc:25795-25788-1590697445054,mtc:1590697384512,mtc:1590696820464,1,1,9.79702,,,,,,
mtc:25788-25793-1590697456201,mtc:1590696820464,mtc:1590697364130,1,1,9.80401,,,,,,
mtc:25790-25805-1590697767302,mtc:1590697320725,mtc:1590697705465,4,1,14.26090,,,,,,
mtc:25791-25809-1590697771801,mtc:1590697345027,mtc:1590697750394,4,1,14.71013,,,,,,
mtc:25804-25792-1590697776013,mtc:1590697691706,mtc:1590697355234,5,1,0.59410,,,,,,
mtc:25808-25793-1590697844114,mtc:1590697736510,mtc:1590697364130,5,1,0.58187,,,,,,
mtc:25794-25803-1590697850011,mtc:1590697374168,mtc:1590697671719,2,1,19.79520,,15,,,,
mtc:25806-25796-1590697856101,mtc:1590697716877,mtc:1590697406157,2,1,11.59801,,15,,,,
mtc:25807-25795-1590697863627,mtc:1590697724835,mtc:1590697384512,4,1,12.09328,,,,,,
mtc:25810-25803-1590698118472,mtc:1590698022172,mtc:1590697671719,1,1,22.59946,,,,,,
mtc:25810-25804-1590698122253,mtc:1590698022172,mtc:1590697691706,1,1,10.15974,,,,,,
mtc:25810-25805-1590698125470,mtc:1590698022172,mtc:1590697705465,1,1,34.56482,,,,,,
mtc:25806-25811-1590698161924,mtc:1590697716877,mtc:1590698075365,1,1,22.66771,,,,,,
mtc:25807-25811-1590698164295,mtc:1590697724835,mtc:1590698075365,1,1,10.78747,,,,,,
mtc:25811-25809-1590698168721,mtc:1590698075365,mtc:1590697750394,1,1,34.70641,,,,,,
mtc:25808-25811-1590698180579,mtc:1590697736510,mtc:1590698075365,1,1,7.89447,,,,,,
mtc:25827-25828-1590699813954,mtc:1590699358267,mtc:1590699396351,5,1,0.41937,,,,,,
mtc:25830-25829-1590699833650,mtc:1590699822312,mtc:1590699425194,5,1,0.65527,,,,,,
mtc:25832-25831-1590699908046,mtc:1590699890862,mtc:1590699859884,4,1,5.49958,,,,,,
mtc:25834-25833-1590699950340,mtc:1590699941154,mtc:1590699924606,4,1,7.36606,,,,,,
mtc:25836-25835-1590700026902,mtc:1590700019709,mtc:1590700001727,2,1,7.14525,,15,,,,
mtc:25838-25837-1590700061136,mtc:1590700050496,mtc:1590700035754,2,1,5.44883,,15,,,,
mtc:25848-25847-1590700535358,mtc:1590700526399,mtc:1590700513597,1,1,22.24157,,,,,,
mtc:25843-25848-1590700538333,mtc:1590700407221,mtc:1590700526399,2,1,5.13468,,,,,,
mtc:25842-25848-1590700548603,mtc:1590700333854,mtc:1590700526399,1,1,16.34599,,,,,,
mtc:25841-25842-1590700551726,mtc:1590700143280,mtc:1590700333854,2,1,5.42532,,15,,,,
mtc:25829-25819-1590700571050,mtc:1590699425194,mtc:1590699116115,1,1,13.10591,,,,,,
mtc:25827-25819-1590700578359,mtc:1590699358267,mtc:1590699116115,1,1,4.73605,,,,,,
mtc:25838-25819-1590700581649,mtc:1590700050496,mtc:1590699116115,1,1,6.56228,,,,,,
mtc:25850-25836-1590700621502,mtc:1590700615369,mtc:1590700019709,1,1,4.46279,,,,,,
mtc:25834-25850-1590700624185,mtc:1590699941154,mtc:1590700615369,1,1,5.46861,,,,,,
mtc:25830-25850-1590700626982,mtc:1590699822312,mtc:1590700615369,1,1,7.58657,,,,,,
mtc:25851-25835-1590700644368,mtc:1590700634506,mtc:1590700001727,1,1,6.02714,,,,,,
mtc:25833-25851-1590700647105,mtc:1590699924606,mtc:1590700634506,1,1,5.47089,,,,,,
mtc:25832-25851-1590700650095,mtc:1590699890862,mtc:1590700634506,1,1,4.94612,,,,,,
mtc:25837-25851-1590700653191,mtc:1590700035754,mtc:1590700634506,1,1,4.54360,,,,,,
