trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-_3uV2MjGIO,4445,183-3,Southbound,"",0,293536,13220,
183-_694En4HMYp,4446,183-3,Union Station/South Park,"",1,293541,18480,
183-_YUYwDUy6X,4445,183-3,Southbound,"",0,293535,13220,
183--784XcojfNQ,4446,183-3,Union Station/South Park,"",0,293539,17538,
183--HZ6PxH8z9R,4446,183-3,Union Station/South Park,"",1,293542,18480,
183--N47c2f9CGf,4446,183-3,Union Station/South Park,"",0,293541,17538,
183-00dqgv6kf,4446,183-1,Union Station/South Park,"",1,293453,18480,
183-031a0ikvr,4447,183-1,Little Tokyo/City West,"",0,293440,18751,
183-045yfk8ua,4444,183-1,Southbound,"",0,293471,16607,
183-04hytkcoa,4444,183-1,Southbound,"",0,293479,16607,
183-04kvg3785,4444,183-1,Southbound,"",0,293451,16607,
183-04u26szx9,4445,183-1,Southbound,"",0,293464,13220,
183-04vq6dp71,4446,183-1,Union Station/South Park,"",1,293477,18480,
183-0541i4kgy,4446,183-1,Union Station/South Park,"",1,293472,18480,
183-066aq3qyh,4447,183-2,Little Tokyo/City West,"",0,293489,18751,
183-06s8vjy3f,4445,183-1,Southbound,"",0,293466,13220,
183-07lhx83sb,4446,183-1,Union Station/South Park,"",1,293472,18480,
183-07rte49wt,4446,183-1,Union Station/South Park,"",1,293453,18480,
183-0a4s2s6kq,4444,183-2,Southbound,"",0,293506,16607,
183-0acgsnuu3,4446,183-1,Union Station/South Park,"",0,293470,17538,
183-0ajep6c3a,4446,183-1,Union Station/South Park,"",1,293476,18480,
183-0aukuxotm,4443,183-1,Southbound,"",0,293454,12224,
183-0bkeqbb4h,4445,183-1,Southbound,"",0,293466,13220,
183-0bubzfd8d,4446,183-1,Union Station/South Park,"",1,293476,18480,
183-0c3yai6ml,4443,183-1,Southbound,"",0,293456,12224,
183-0c4k8mvka,4443,183-2,Southbound,"",0,293498,12224,
183-0dou6d6lq,4443,183-1,Southbound,"",0,293458,12224,
183-0e3frqkfc,4446,183-2,Union Station/South Park,"",1,293516,18480,
183-0evse3vyy,4445,183-2,Southbound,"",0,293507,13220,
183-0g1mu2t9n,4444,183-2,Northbound,"",1,293495,16606,
183-0hb2t4vkt,4444,183-1,Northbound,"",1,293471,16606,
183-0hfp2sm5e,4446,183-1,Union Station/South Park,"",0,293472,17538,
183-0j9ptpq4e,4446,183-1,Union Station/South Park,"",1,293463,18480,
183-0mcc5ucpq,4446,183-1,Union Station/South Park,"",0,293459,17538,
183-0pzi4h8cu,4446,183-2,Union Station/South Park,"",0,293512,17538,
183-0rjkhjagy,4444,183-1,Southbound,"",0,293484,16607,
183-0u2uy7n28,4444,183-1,Southbound,"",0,293486,16607,
183-0uxsirdxo,4446,183-2,Union Station/South Park,"",1,293515,18480,
183-0vdo4o2eh,4444,183-1,Northbound,"",1,293478,16606,
183-0vgjcqnes,4444,183-1,Southbound,"",0,293483,16607,
183-0voy4esla,4446,183-2,Union Station/South Park,"",1,293513,18480,
183-0wrmizary,4445,183-1,Southbound,"",0,293467,13220,
183-0xcvdib90,4447,183-2,Little Tokyo/City West,"",0,293491,18751,
183-0y8ilbk3f,4444,183-2,Southbound,"",0,293519,16607,
183-0yehdfu2w,4444,183-3,Northbound,"",1,293544,16606,
183-10l9d9i48,4443,183-3,Southbound,"",0,293529,12224,
183-1280gvfjy,4446,183-2,Union Station/South Park,"",0,293512,17538,
183-130eq75x1,4447,183-2,Little Tokyo/City West,"",0,293492,18751,
183-13sbt6uih,4444,183-1,Northbound,"",1,293480,16606,
183-14j7ebey8,4446,183-1,Union Station/South Park,"",1,293474,18480,
183-14s16kect,4446,183-2,Union Station/South Park,"",1,293515,18480,
183-15uy4utrc,4447,183-1,Little Tokyo/City West,"",0,293442,18751,
183-16x8br4bm,4444,183-2,Northbound,"",1,293518,16606,
183-17fdt230n,4443,183-2,Southbound,"",0,293500,12224,
183-17m6byd5h,4446,183-1,Union Station/South Park,"",0,293453,17538,
183-1993bu47i,4446,183-1,Union Station/South Park,"",0,293474,17538,
183-19ga9ydwr,4444,183-1,Southbound,"",0,293482,16607,
183-19h748kxz,4443,183-1,Southbound,"",0,293457,12224,
183-19is60t2h,4444,183-1,Northbound,"",1,293451,16606,
183-19mxrg5s1,4446,183-1,Union Station/South Park,"",1,293453,18480,
183-1bi7v67kw,4444,183-1,Southbound,"",0,293449,16607,
183-1c4hey9q6,4445,183-1,Southbound,"",0,293468,13220,
183-1c5ndppzo,4443,183-2,Southbound,"",0,293502,12224,
183-1cqil5cvb,4446,183-1,Union Station/South Park,"",0,293459,17538,
183-1d8p3skw2,4446,183-1,Union Station/South Park,"",1,293475,18480,
183-1e0n5l42e,4444,183-3,Southbound,"",0,293546,16607,
183-1fv7nkciz,4446,183-1,Union Station/South Park,"",0,293475,17538,
183-1geaaon7o,4447,183-1,Little Tokyo/City West,"",0,293443,18751,
183-1git90if0,4446,183-1,Union Station/South Park,"",0,293472,17538,
183-1hv3t8f9i,4443,183-3,Southbound,"",0,293531,12224,
183-1hz24lbjr,4446,183-2,Union Station/South Park,"",0,293514,17538,
183-1hzqxhr5d,4444,183-3,Southbound,"",0,293546,16607,
183-1ihvylttc,4444,183-3,Southbound,"",0,293547,16607,
183-1jd0k9ftm,4444,183-2,Southbound,"",0,293495,16607,
183-1leg98wsg,4444,183-3,Southbound,"",0,293545,16607,
