,blockgroup,hub
0,G06000104001001,226852758
1,G06000104001001,286961510
2,G06000104001001,400277094
3,G06000104001001,433769471
4,G06000104001001,45303398
5,G06000104001001,45303399
6,G06000104001001,479030247
7,G06000104002001,226852758
8,G06000104002001,286961510
9,G06000104002001,400277094
10,G06000104002001,433769471
11,G06000104002001,45303398
12,G06000104002001,45303399
13,G06000104002001,479030247
14,G06000104002002,226852758
15,G06000104002002,286961510
16,G06000104002002,400277094
17,G06000104002002,433769471
18,G06000104002002,45303398
19,G06000104002002,45303399
20,G06000104002002,479030247
21,G06000104003001,226852758
22,G06000104003001,286961510
23,G06000104003001,400277094
24,G06000104003001,433769471
25,G06000104003001,45303398
26,G06000104003001,45303399
27,G06000104003001,479030247
28,G06000104003002,226852758
29,G06000104003002,286961510
30,G06000104003002,400277094
31,G06000104003002,433769471
32,G06000104003002,45303398
33,G06000104003002,45303399
34,G06000104003002,479030247
35,G06000104003003,226852758
36,G06000104003003,286961510
37,G06000104003003,400277094
38,G06000104003003,433769471
39,G06000104003003,45303398
40,G06000104003003,45303399
41,G06000104003003,479030247
42,G06000104003004,226852758
43,G06000104003004,286961510
44,G06000104003004,400277094
45,G06000104003004,433769471
46,G06000104003004,45303398
47,G06000104003004,45303399
48,G06000104003004,479030247
49,G06000104004001,226852758
50,G06000104004001,286961510
51,G06000104004001,400277094
52,G06000104004001,433769471
53,G06000104004001,45303398
54,G06000104004001,45303399
55,G06000104004001,479030247
56,G06000104004002,226852758
57,G06000104004002,286961510
58,G06000104004002,400277094
59,G06000104004002,433769471
60,G06000104004002,45303398
61,G06000104004002,45303399
62,G06000104004002,479030247
63,G06000104004003,226852758
64,G06000104004003,286961510
65,G06000104004003,400277094
66,G06000104004003,433769471
67,G06000104004003,45303398
68,G06000104004003,45303399
69,G06000104004003,479030247
70,G06000104005001,226852758
71,G06000104005001,286961510
72,G06000104005001,400277094
73,G06000104005001,433769471
74,G06000104005001,45303398
75,G06000104005001,45303399
76,G06000104005001,479030247
77,G06000104005002,226852758
78,G06000104005002,286961510
79,G06000104005002,400277094
80,G06000104005002,433769471
81,G06000104005002,45303398
82,G06000104005002,45303399
83,G06000104005002,479030247
84,G06000104005003,226852758
85,G06000104005003,286961510
86,G06000104005003,400277094
87,G06000104005003,433769471
88,G06000104005003,45303398
89,G06000104005003,45303399
90,G06000104005003,479030247
91,G06000104006001,226852758
92,G06000104006001,286961510
93,G06000104006001,400277094
94,G06000104006001,433769471
95,G06000104006001,45303398
96,G06000104006001,45303399
97,G06000104006001,479030247
98,G06000104006002,226852758
99,G06000104006002,286961510
100,G06000104006002,400277094
101,G06000104006002,433769471
102,G06000104006002,45303398
103,G06000104006002,45303399
104,G06000104006002,479030247
105,G06000104007001,226852758
106,G06000104007001,286961510
107,G06000104007001,400277094
108,G06000104007001,433769471
109,G06000104007001,45303398
110,G06000104007001,45303399
111,G06000104007001,479030247
112,G06000104007002,226852758
113,G06000104007002,286961510
114,G06000104007002,400277094
115,G06000104007002,433769471
116,G06000104007002,45303398
117,G06000104007002,45303399
118,G06000104007002,479030247
119,G06000104007003,226852758
120,G06000104007003,286961510
121,G06000104007003,400277094
122,G06000104007003,433769471
123,G06000104007003,45303398
124,G06000104007003,45303399
125,G06000104007003,479030247
126,G06000104007004,226852758
127,G06000104007004,286961510
128,G06000104007004,400277094
129,G06000104007004,433769471
130,G06000104007004,45303398
131,G06000104007004,45303399
132,G06000104007004,479030247
133,G06000104008001,226852758
134,G06000104008001,286961510
135,G06000104008001,400277094
136,G06000104008001,433769471
137,G06000104008001,45303398
138,G06000104008001,45303399
139,G06000104008001,479030247
140,G06000104008002,226852758
141,G06000104008002,286961510
142,G06000104008002,400277094
143,G06000104008002,433769471
144,G06000104008002,45303398
145,G06000104008002,45303399
146,G06000104008002,479030247
147,G06000104008003,226852758
148,G06000104008003,286961510
149,G06000104008003,400277094
150,G06000104008003,433769471
151,G06000104008003,45303398
152,G06000104008003,45303399
153,G06000104008003,479030247
154,G06000104009001,226852758
155,G06000104009001,286961510
156,G06000104009001,400277094
157,G06000104009001,433769471
158,G06000104009001,45303398
159,G06000104009001,45303399
160,G06000104009001,479030247
161,G06000104009002,226852758
162,G06000104009002,286961510
163,G06000104009002,400277094
164,G06000104009002,433769471
165,G06000104009002,45303398
166,G06000104009002,45303399
167,G06000104009002,479030247
168,G06000104010001,226852758
169,G06000104010001,286961510
170,G06000104010001,400277094
171,G06000104010001,433769471
172,G06000104010001,45303398
173,G06000104010001,45303399
174,G06000104010001,479030247
175,G06000104010002,226852758
176,G06000104010002,286961510
177,G06000104010002,400277094
178,G06000104010002,433769471
179,G06000104010002,45303398
180,G06000104010002,45303399
181,G06000104010002,479030247
182,G06000104010003,226852758
183,G06000104010003,286961510
184,G06000104010003,400277094
185,G06000104010003,433769471
186,G06000104010003,45303398
187,G06000104010003,45303399
188,G06000104010003,479030247
189,G06000104010004,226852758
190,G06000104010004,286961510
191,G06000104010004,400277094
192,G06000104010004,433769471
193,G06000104010004,45303398
194,G06000104010004,45303399
195,G06000104010004,479030247
196,G06000104010005,226852758
197,G06000104010005,286961510
198,G06000104010005,400277094
199,G06000104010005,433769471
200,G06000104010005,45303398
201,G06000104010005,45303399
202,G06000104010005,479030247
203,G06000104010006,226852758
204,G06000104010006,286961510
205,G06000104010006,400277094
206,G06000104010006,433769471
207,G06000104010006,45303398
208,G06000104010006,45303399
209,G06000104010006,479030247
210,G06000104011001,226852758
211,G06000104011001,286961510
212,G06000104011001,400277094
213,G06000104011001,433769471
214,G06000104011001,45303398
215,G06000104011001,45303399
216,G06000104011001,479030247
217,G06000104011002,226852758
218,G06000104011002,286961510
219,G06000104011002,400277094
