,site_id,site_yn
37,915941401,1.0
42,31516213,1.0
46,31540470,1.0
51,31357750,1.0
53,31363855,1.0
54,31364163,1.0
56,326482018,1.0
59,342781637,1.0
60,459852718,1.0
61,460130237,1.0
62,460261844,1.0
63,460468494,1.0
64,460678854,1.0
65,460682833,1.0
66,460682836,1.0
71,460117414,1.0
72,460117415,1.0
73,460682860,1.0
77,313765399,1.0
79,459843920,1.0
83,460261840,1.0
86,451675376,1.0
93,459513357,1.0
142,31239840,1.0
144,517797163,1.0
251,280421424,1.0
434,727952282,1.0
436,9219199,1.0
437,205328816,1.0
439,473550865,1.0
440,473550872,1.0
441,909193794,1.0
442,943344307,1.0
443,943603621,1.0
446,943344295,1.0
448,834309464,1.0
458,479032693,1.0
469,250909848,1.0
477,444806750,1.0
487,223289015,1.0
488,223289016,1.0
489,35560444,1.0
493,479032686,1.0
495,480382407,1.0
496,481038146,1.0
499,482068034,1.0
500,195870835,1.0
502,35451682,1.0
505,195248360,1.0
506,195254080,1.0
