model_id,con_n_hub_min,con_n_hub_max,con_cap_factor,con_pct_tot_pop,con_pct_ces_cutoff,con_pct_ces_factor,con_pct_ces_min,res_dist_traveled,res_pop_served,res_agg_ces,res_dist_traveled_avg
2022-03-15_0800,0,50,5,0.5,0.5,1,0,500751,565199,0.597,0.885972905
2022-03-15_0902,0,50,5,0.6,0.5,1,0,1952160,696898,0.486,2.801213377
2022-03-15_0907,0,50,5,0.7,0.5,1,0,2142715,792011,0.452,2.705410657
2022-03-15_0917,0,50,5,0.75,0.5,1,0,NA,NA,NA,NA
2022-03-15_0915,0,50,5,0.8,0.5,1,0,NA,NA,NA,NA
2022-03-15_0920,0,50,5,0.5,0.75,0,0.95,NA,NA,NA,NA
2022-03-15_0924,0,50,5,0.4,0.75,0,0.95,NA,NA,NA,NA
2022-03-15_0927,0,50,5,0.1,0.75,0,0.95,NA,NA,NA,NA
2022-03-15_0931,0,25,5,0.1,0,0,0,28243,113040,0.518,0.249849611
2022-03-15_0938,0,25,5,0.2,0,0,0,117965,226080,0.576,0.521784324
2022-03-15_0941,0,25,5,0.3,0,0,0,267014,339120,0.569,0.787373201
2022-03-15_0942,0,25,5,0.4,0,0,0,478239,452160,0.521,1.057676486
2022-03-15_0943,0,25,5,0.5,0,0,0,777669,565200,0.501,1.375918259
2022-03-15_0944,0,25,5,0.6,0,0,0,NA,NA,NA,NA
2022-03-15_0945,0,25,5,0.55,0,0,0,NA,NA,NA,NA
2022-03-15_0959,0,25,5,0.15,0.75,0,0.95,65917,169560,0.55,0.388753244
2022-03-15_1001,0,25,5,0.25,0.75,0,0.95,185451,282600,0.571,0.656231423
2022-03-15_1004,0,25,5,0.35,0.75,0,0.95,363899,395640,0.548,0.919773026
2022-03-15_1005,0,25,5,0.05,0.75,0,0.95,612622,508680,0.51,1.204336715
2022-03-15_1014,0,25,5,0.05,0.75,0,0.5,97060,102453,0.845,0.947361229
2022-03-15_1016,0,25,5,0.05,0.75,0,0.55,107056,112698,0.845,0.949937
2022-03-15_1017,0,25,5,0.05,0.75,0,0.6,116957,122943,0.845,0.95131077
2022-03-25_1018,0,25,5,0.05,0.75,0,0.65,126948,133188,0.845,0.953148932
2022-03-25_1019,0,25,5,0.05,0.75,0,0.7,137148,143434,0.845,0.956174965
2022-03-25_1020,0,25,5,0.05,0.75,0,0.75,147642,153679,0.845,0.960716819
2022-03-25_1021,0,25,5,0.05,0.75,0,0.8,158426,163924,0.845,0.966460067
2022-03-25_1021,0,25,5,0.05,0.75,0,0.85,168931,174170,0.845,0.969920193
2022-03-25_1022,0,25,5,0.05,0.75,0,0.9,184415,179596,0.845,1.026832446
2022-03-25_1024,0,25,5,0.05,0.75,0,0.95,190342,194660,0.845,0.977817733
2022-03-15_1027,0,15,5,0.05,0.75,0,0.5,117743,102452,0.845,1.149250381
2022-03-15_1031,0,5,5,0.05,0.75,0,0.95,NA,NA,NA,NA
2022-03-15_1032,0,7,5,0.05,0.75,0,0.95,NA,NA,NA,NA
2022-03-15_1034,0,8,5,0.05,0.75,0,0.95,352965,194660,0.845,1.813238467
2022-03-15_1035,0,9,5,0.05,0.75,0,0.95,316013,194660,0.845,1.623410048
2022-03-15_1029,0,10,5,0.05,0.75,0,0.95,289963,194660,0.845,1.489586972
2022-03-15_1028,0,15,5,0.05,0.75,0,0.95,234114,194660,0.845,1.202681599
2022-03-15_1042,0,20,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-15_1044,0,21,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-15_1045,0,25,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-15_1045,0,30,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-15_1045,0,40,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-15_1045,0,60,5,0.05,0.75,0,0.95,206729,194660,0.845,1.062000411
2022-03-22_0533,0,15,5,0.05,0.75,0,0.95,NA,NA,NA,NA
2022-03-22_0538,0,16,5,0.05,0.75,0,0.95,680205,415042,0.727,1.63888233
2022-03-22_0537,0,17,5,0.05,0.75,0,0.95,648468,415042,0.727,1.56241537
2022-03-22_0535,0,18,5,0.05,0.75,0,0.95,619772,415042,0.727,1.493275379
2022-03-22_0531,0,20,5,0.05,0.5,0,0.95,566907,415042,0.727,1.365902728
2022-03-22_0542,0,25,5,0.05,0.5,0,0.95,514672,415042,0.727,1.240047995
2022-03-22_0545,0,30,5,0.05,0.5,0,0.95,485086,415042,0.727,1.168763643
2022-03-22_0547,0,35,5,0.05,0.5,0,0.95,462382,415042,0.727,1.114060746
2022-03-22_0549,0,40,5,0.05,0.5,0,0.95,444898,415042,0.727,1.071934889
,0,45,5,0.05,0.5,0,0.95,,415042,0.727,
,0,50,5,0.05,0.5,0,0.95,,415042,0.727,
,0,55,5,0.05,0.5,0,0.95,,415042,0.727,
,0,60,5,0.05,0.5,0,0.95,,415042,0.727,
