model_id,con_max_hubs,con_cap_factor,con_pct_tot,con_min_ces_score,con_min_prop_ej,res_dist_traveled,res_pop_served,res_agg_ces_score,res_avg_dist
2022-03-23_2106,50,1,0.5,0.5,0.5,792681.9168,565200,0.415916099,1.402480391
2022-03-23_2106,50,1,0.5,0.55,0.5,766871.2361,565200,0.419055739,1.356813935
2022-03-23_2106,50,1,0.5,0.65,0.5,735801.8632,565200,0.417249643,1.301843353
2022-03-23_2107,50,1,0.5,0.7,0.5,728475.0137,565200,0.415191158,1.288880067
2022-03-23_2107,50,1,0.5,0.75,0.5,711323.0588,565200,0.409861731,1.258533367
2022-03-23_2109,50,1,0.5,0.5,0.55,819973.0929,565200,0.422447012,1.450766265
2022-03-23_2109,50,1,0.5,0.55,0.55,784849.2542,565200,0.424540589,1.388622177
2022-03-23_2110,50,1,0.5,0.65,0.55,747870.502,565200,0.419750241,1.323196217
2022-03-23_2110,50,1,0.5,0.7,0.55,738291.3663,565200,0.417421236,1.306247994
2022-03-23_2110,50,1,0.5,0.75,0.55,718755.4015,565200,0.411402594,1.271683301
2022-03-23_2111,50,1,0.5,0.5,0.6,854290.7807,565200,0.433778932,1.511484042
2022-03-23_2112,50,1,0.5,0.55,0.6,806239.3771,565200,0.431145044,1.426467405
2022-03-23_2112,50,1,0.5,0.65,0.6,761484.2892,565200,0.425736205,1.34728289
2022-03-23_2112,50,1,0.5,0.7,0.6,750713.4841,565200,0.421941178,1.328226263
2022-03-23_2113,50,1,0.5,0.75,0.6,728131.8727,565200,0.413724027,1.288272952
2022-03-23_2115,50,1,0.5,0.5,0.65,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2116,50,1,0.5,0.55,0.65,838934.9611,565200,0.439681592,1.484315218
2022-03-23_2116,50,1,0.5,0.65,0.65,776534.1132,565200,0.429534933,1.373910321
2022-03-23_2117,50,1,0.5,0.7,0.65,763285.5471,565200,0.426284059,1.350469829
2022-03-23_2117,50,1,0.5,0.75,0.65,737516.0882,565200,0.418869408,1.304876306
2022-03-23_2120,50,1,0.5,0.5,0.7,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2120,50,1,0.5,0.55,0.7,911892.378,565200,0.453174578,1.613397696
2022-03-23_2120,50,1,0.5,0.65,0.7,794291.9744,565200,0.434561595,1.405329042
2022-03-23_2121,50,1,0.5,0.7,0.7,777177.1565,565200,0.426329617,1.375048048
2022-03-23_2121,50,1,0.5,0.75,0.7,747788.7341,565200,0.418293575,1.323051547
2022-03-23_2122,50,1,0.5,0.5,0.75,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2122,50,1,0.5,0.55,0.75,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2123,50,1,0.5,0.65,0.75,818806.5528,565200,0.442713709,1.448702323
2022-03-23_2123,50,1,0.5,0.7,0.75,793441.3163,565200,0.426599056,1.403823985
2022-03-23_2124,50,1,0.5,0.75,0.75,759052.401,565200,0.415396875,1.342980186
2022-03-23_2125,50,1,0.5,0.5,0.8,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2125,50,1,0.5,0.55,0.8,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2126,50,1,0.5,0.65,0.8,861352.3266,565200,0.452598343,1.523977931
2022-03-23_2126,50,1,0.5,0.7,0.8,812821.2575,565200,0.441202904,1.438112628
2022-03-23_2127,50,1,0.5,0.75,0.8,771467.4074,565200,0.417976682,1.364945873
2022-03-23_2127,50,1,0.5,0.5,0.85,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2128,50,1,0.5,0.55,0.85,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2128,50,1,0.5,0.65,0.85,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2129,50,1,0.5,0.7,0.85,838487.8669,565200,0.450501905,1.483524181
2022-03-23_2129,50,1,0.5,0.75,0.85,785832.191,565200,0.430202287,1.390361272
2022-03-23_2131,50,1,0.5,0.5,0.9,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2131,50,1,0.5,0.55,0.9,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2132,50,1,0.5,0.65,0.9,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2132,50,1,0.5,0.7,0.9,105155119.6,38413342,0.381945754,2.737463446
2022-03-23_2133,50,1,0.5,0.75,0.9,801907.3896,565200,0.434816606,1.418802883
