model_id,con_max_hubs,con_cap_factor,con_pct_tot,con_min_ces_score,con_min_prop_ej,res_dist_traveled,res_pop_served,res_agg_ces_score,res_avg_dist
2022-03-23_1950,5,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1950,10,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1951,15,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1951,20,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1952,25,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1952,30,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1953,35,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1953,40,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1954,45,1,0.5,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_1954,50,1,0.5,0.75,0.5,711323.058772814,565199.9999999999,0.40986173065730014,1.2585333665477958
2022-03-23_1955,55,1,0.5,0.75,0.5,621332.3389892114,565200.0,0.4206653944180202,1.0993141171075926
2022-03-23_1955,60,1,0.5,0.75,0.5,568693.0007505794,565199.9999999998,0.42159783489056823,1.0061801145622429
2022-03-23_1955,65,1,0.5,0.75,0.5,530367.9647482752,565200.0,0.4410369797650451,0.9383721952375712
2022-03-23_1956,70,1,0.5,0.75,0.5,502350.8994395946,565199.9999999999,0.43676750670038395,0.8888020159936212
2022-03-23_1956,75,1,0.5,0.75,0.5,478095.9025043358,565199.9999999999,0.4435996678146678,0.845888008677169
2022-03-23_1957,80,1,0.5,0.75,0.5,457926.4882419895,565199.9999999999,0.4492062452266761,0.8102025623531309
2022-03-23_1957,85,1,0.5,0.75,0.5,441850.5937712951,565199.9999999998,0.4450323343696312,0.7817597200482931
2022-03-23_1957,90,1,0.5,0.75,0.5,428785.3624906258,565199.9999999998,0.44718922717158593,0.7586435995941719
2022-03-23_1958,95,1,0.5,0.75,0.5,417349.4640120584,565200.0000000001,0.44586596509027565,0.7384102335669821
2022-03-23_2007,5,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2008,10,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2008,15,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2009,20,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2009,25,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2010,30,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2010,35,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2011,40,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2011,45,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2012,50,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2012,55,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2013,60,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2013,65,1,0.6,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2014,70,1,0.6,0.75,0.5,823793.1776735864,678239.9999999999,0.38706845934474243,1.2146042369568095
2022-03-23_2014,75,1,0.6,0.75,0.5,746565.0446325587,678239.9999999999,0.40367312212134077,1.1007387423811024
2022-03-23_2015,80,1,0.6,0.75,0.5,698917.6900232137,678239.9999999999,0.4113166015027594,1.0304872759247667
2022-03-23_2015,85,1,0.6,0.75,0.5,663448.6064533568,678239.9999999999,0.41517289138005015,0.9781915051506206
2022-03-23_2016,90,1,0.6,0.75,0.5,634648.712111062,678239.9999999999,0.41416489101130893,0.935728815922184
2022-03-23_2016,95,1,0.6,0.75,0.5,610830.4547560546,678240.0,0.42529254111686354,0.9006110738913283
2022-03-23_2017,5,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2018,10,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2018,15,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
2022-03-23_2019,20,1,0.7,0.75,0.5,105155119.56,38413342.0,0.3819457536394516,2.7374634459037694
