,0
172600443,1.0
204345954,1.0
263003895,1.0
270279264,0.0
271403973,0.0
292031477,1.0
31298330,1.0
31298928,1.0
31357750,1.0
31363855,0.0
31364163,0.0
31364237,0.0
31368512,1.0
31516213,1.0
31516227,1.0
31528158,0.0
31530054,1.0
31530517,1.0
31540470,1.0
31540640,1.0
31551423,0.0
31553746,1.0
31555561,0.0
31556371,0.0
31556463,1.0
31556529,0.0
31556616,0.0
31556696,1.0
31557528,0.0
31577889,0.0
31579349,0.0
31583869,0.0
31583931,0.0
31583964,0.0
31795090,1.0
31795879,0.0
31796415,1.0
31797869,0.0
31820764,0.0
31856156,1.0
321775870,0.0
326482018,1.0
420207183,1.0
460682833,0.0
460682836,0.0
552580195,1.0
666402942,1.0
675888211,1.0
679932345,0.0
6989477,1.0
779799288,1.0
915941401,1.0
941658784,0.0
941658785,1.0
966639189,0.0
966639190,0.0
969939118,1.0
969948921,0.0
969948925,0.0
